id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"NGC  4945" 0.0017968563040435814 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 7757.9999923706055 1065.9269 2666.105577411751 283.01534 1659.9999432052884 200.73365 1232.075741487922 111.82165640074557 nan nan 4679.999828338623 140.3999948501587 1095.6666632095973 94.55384086134325 7989.999771118164 270.0 nan nan 11040.000057220459 1779.421254228464 5813.888774447971 569.4664873504323 13800.416909853617 993.829973413613 nan nan 23783.3332379659 3265.4375281116622 456166.6666666667 46000.70023651814 nan nan nan nan 904666.6666666666 110776.57154042095 nan nan nan nan nan nan 780000.0 54600.00000000001 nan nan 105000.0 7350.000000000001
"UGC 11680" 0.026 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 27.599999999999998 2.54 25.0 2.54 nan nan 26.599999999999998 2.69 78.5 7.2299999999999995 238.50000274181366 18.45562244954095 nan nan nan nan nan nan 505.7500008344651 35.60480932431776 2879.9999594688416 210.34258774794634 nan nan nan nan 4707.500061988831 356.0814500882628 nan nan nan nan nan nan nan nan nan nan nan nan
"SWIFT J0624.1-6059" 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.14200000441633165 0.034999999999999996 5.757116666531025 0.3454269999918615 nan nan nan nan 4.245191666778725 0.2547115000067235 nan nan nan nan nan nan 14.933333333333334 0.896 35.53333333333333 2.1319999999999997 nan nan nan nan 159.0 30.200000000000003 nan nan nan nan nan nan nan nan nan nan nan nan 183.0 20.0 89.0 15.0 nan nan
"2C 1066" 0.996 nan nan nan nan nan nan 0.010296666687281686 0.0026450898 0.016761666453627793 0.004340933 0.03168333281185672 0.0066910384 nan nan nan nan nan nan nan nan 0.22742272782343737 0.013645363669406241 nan nan nan nan 0.48651999527675804 0.02919119971660548 nan nan nan nan nan nan 3.2385714578149574 0.19431428746889742 9.24357131704688 1.3451413484027952 9.295000211894513 0.45069390943299864 nan nan nan nan 11.19999960064888 1.9999999999999998 18.2 3.9999999999999996 nan nan nan nan nan nan 10.999999940395355 3.6 nan nan nan nan nan nan
"3C 343.1" 0.75238 nan nan nan nan nan nan 0.007945000106701627 0.0011543397 0.018449999970471254 0.0011661904 0.02705000042624306 0.0018867962000000001 0.04340000123193022 0.006129437 nan nan nan nan nan nan 0.19087499929745017 0.01382017181121285 nan nan nan nan 0.15789285797379646 0.017097111559116127 nan nan nan nan nan nan nan nan nan nan 1.2800000241026281 0.05590169943749475 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"IC 4518A" 0.016568128608492213 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.14099999680183828 0.03471311 0.8769999840296805 0.22000000000000003 nan nan 32.366667092839876 1.9420000255703924 24.9 0.7469999999999999 nan nan 54.16666666666667 3.25 87.10000000000001 2.613 nan nan nan nan 231.0 13.86 922.6666518847148 55.359999113082885 931.0 37.24 nan nan nan nan 5210.000019073486 521.0000019073486 nan nan nan nan nan nan nan nan 5010.0 501.0 5660.0 396.20000000000005 2300.0 175.0 788.0 94.0
"NGC  4395" 0.0010546186507665034 47.49999954501788 4.749999954501788 54.47500144839287 5.447500144839287 1.0057499748654664 0.06302381 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 14.340606211365172 1.006418264973675 163.05499845027924 7.500000258016661 115.99999904632568 5.000000556892469 9.295757831796777 0.5577454699078066 143.97999415874483 6.50000294404741 196.76000166893004 9.000001457155438 nan nan 22.70833341230949 2.03557139465695 75.98888858954112 12.397777043363872 160.92500077337027 27.500073949255572 178.75000089406967 37.90148320887852 3985.0000190734863 886.3125610615944 nan nan 10600.000381469727 1300.0 11259.999809265137 2791.502767949056 nan nan 27299.999237060547 4300.0 nan nan nan nan nan nan nan nan
"3C  22.0" 0.936501 nan nan nan nan nan nan 0.04569999873638153 0.0009139999747276306 0.08879999950295314 0.0017759999900590628 0.11800000356743112 0.0023600000713486224 0.13499999477062374 0.002699999895412475 nan nan nan nan nan nan 0.8326166637594967 0.0499569998255698 1.16975 0.0350925 2.3249999999999997 0.06974999999999999 1.8569750064625985 0.1114185003877559 3.6875 0.110625 5.6075 0.16822499999999999 nan nan 6.758750062659383 0.40552500375956296 14.037499791383743 0.9754888518071336 12.328000000000001 1.3041543236902602 nan nan nan nan 15.299999999999999 2.4099999999999997 22.8 5.6 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"IRAS F00183-7111" 0.326999 0.012200000128359534 0.004 0.01095000015993719 0.0031112697 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7460908911360258 0.24865236 1.872916656328986 0.11237499937973916 2.59 0.30156533288824827 nan nan 7.409444478915797 0.4445666687349478 22.166666666666668 2.008321189451528 nan nan nan nan 27.03333318815345 1.621999991289207 92.18809510100456 5.531285706060274 nan nan 133.0 10.200000000000001 1200.0 83.7 nan nan 1500.0 225.0 1190.0 119.0 nan nan 540.0 80.0 nan nan nan nan nan nan nan nan
"[LGE2006] 12" 0.974 nan nan nan nan nan nan nan nan 0.006347007481053043 0.0017689898002963443 0.009035404343983509 0.0026545809579624807 nan nan nan nan nan nan nan nan 0.06905000191181898 0.012317467 0.07200000000000001 0.007200000000000001 0.0726 0.0073 0.07734999962849542 0.022991736999999998 0.079 0.008 0.112 0.012 nan nan nan nan nan nan 0.5734285701839253 0.05865364846175897 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 46.74999974668026 3.2724999822676186 31.84999991208315 2.6870058 19.949999637901783 4.4654226
