id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"3C 234.0" 0.18494 0.10159999801544473 0.015652477 0.07938000198919326 0.007938000198919326 0.14400000509340316 0.003 0.23200000578071922 0.004640000115614384 nan nan nan nan 0.6730000022798777 0.013460000045597553 2.2184615417455253 0.6072891 3.530000067817477 1.1287604 5.045454483479261 0.6277739 11.515909117527984 0.690954547051679 14.700000000000001 0.441 25.4 0.7619999999999999 24.960227420655166 1.4976136452393098 42.7 1.2810000000000001 nan nan 160.0 28.8 115.26389057768715 6.915833434661229 289.90277647972107 17.394166588783264 274.5 10.98 291.00000047683716 21.880585001320235 171.99999901652336 18.990853061408274 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"2MASS J13000535+1632148" 0.07993 nan nan 0.02402499967502081 0.006718630600000001 0.21749999723397195 0.011401755 0.8004999835975468 0.034234486999999994 2.1699999924749136 0.17058722999999998 3.5866666585206985 0.09110433999999999 5.844999803230166 0.11689999606460333 4.738888832637006 0.6480741 7.277777754805154 1.1301769 11.521249893121421 1.1670904000000002 25.551666749812043 1.5331000049887225 nan nan nan nan 41.49033305126552 2.489419983075931 nan nan nan nan nan nan 90.7500009417534 5.4450000565052035 173.89583517362672 10.433750110417604 156.0000022649765 6.24000009059906 nan nan nan nan nan nan 68.9999982714653 7.3999999999999995 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"NGC   262" 0.015260233939595302 0.19701666860040276 0.019701666860040278 0.4016666728500277 0.040166667285002775 nan nan 3.7700000684708357 0.15 7.50999990850687 0.1501999981701374 10.700000450015068 0.21400000900030136 nan nan 24.153845814558174 3.2664968 30.176923252069034 5.5803224 27.472727678038858 5.038849 54.37291664841275 3.2623749989047646 47.00000040233135 2.8112497220986965 74.2 5.47 89.79583419387541 5.3877500516325245 98.3 5.43 180.0 6.630000000000001 309.0000011920929 26.213736908964584 276.16666995343707 16.570000197206223 672.0000003973643 40.32000002384186 649.9999761581421 25.999999046325684 826.3333249092102 36.22554340382625 1314.9999968210855 119.01260572436225 808.0000281333923 80.80000281333923 nan nan 1549.999976158142 173.49424335828328 nan nan nan nan 995.0000047683716 99.50000047683716 1330.0000429153442 179.99999999999997 711.0000252723694 110.0 nan nan
"IRAS 04385-0828" 0.015064 nan nan nan nan nan nan 1.610000035725534 0.08 3.9400001987814903 0.1 6.029999814927578 0.4699999999999999 nan nan 9.315000008791685 1.317953 14.285999909043312 2.3535292 19.233332739935978 2.1748564 52.87166693160931 3.1723000158965586 53.900000000000006 4.790763050913705 109.0 6.04 120.55555564496252 7.233333338697751 174.00000000000003 8.09781729850705 356.0 10.68 435.99999845027924 28.20017730440715 368.3333362473382 22.10000017484029 1264.2916792134445 75.85750075280667 1320.0 52.800000000000004 1644.9999785423279 66.2386782778763 2860.000023841858 174.45343218177163 nan nan nan nan 2335.000052452087 242.0743687382041 nan nan nan nan nan nan nan nan nan nan nan nan
"IC 4553" 0.0184 0.10450000263517722 0.025709918 0.4137499927310273 0.04368066 2.3400000017322604 0.08574671995101751 6.900000014528632 0.3731574734612721 13.989999971911312 0.5204325124355703 26.727499992400407 0.7608054936689671 41.05000005066395 1.2496499509862753 46.861562766355924 3.3918543768608713 54.84423075083357 4.2245739714632435 57.4653846054123 3.627409452259297 35.357272598249 2.196760190231626 nan nan nan nan 34.335909135301 2.06015454811806 nan nan nan nan 569.9999957680701 28.655889299425 468.66666534211896 28.119999920527135 4931.666711171469 295.90000267028813 5665.000200271606 510.0980000000001 7961.66659673055 288.4812181338717 103833.33333333334 4930.917298281934 139000.0 13900.0 75000.0 7500.0 112833.33333333334 2259.357928704525 nan nan 54900.001525878906 6700.0 86300.0 8630.0 30500.0 2436.4728605096343 12250.0 999.9999999999999 3885.0 312.4099870362662
"Mrk  279" 0.030601 3.8799999747425318 0.3879999974742532 4.335000179708004 0.4335000179708004 nan nan 3.0900000128895044 0.54 6.930000148713589 0.64 9.879999794065952 0.95 nan nan 24.056249763816595 2.1908903 37.149999756366014 2.9899831999999997 48.742857362542836 3.5171007999999992 23.53500015735626 1.4121000094413756 51.9 1.557 62.6 1.878 30.099999952316285 1.805999997138977 79.19999999999999 2.3759999999999994 113.0 3.3899999999999997 nan nan 133.89583115776384 8.03374986946583 359.1666646401087 21.54999987840652 361.0000014305115 14.440000057220459 nan nan 1260.0 62.8 851.9999980926514 85.19999980926514 nan nan 2200.0 154.0 nan nan nan nan 822.0000267028809 82.20000267028809 342.00000762939453 23.94000053405762 131.99999928474426 10.0 nan nan
"UGC 11680" 0.026 0.24799998936941847 0.025806976 0.7010000117588788 0.14051335 nan nan nan nan nan nan nan nan nan nan 16.649999655783176 0.72111026 16.5500002913177 0.9899494000000001 13.599999714642763 0.72111026 2.513999992515892 0.1508399995509535 27.599999999999998 2.54 25.0 2.54 1.2330000463407487 0.07398000278044492 26.599999999999998 2.69 78.5 7.2299999999999995 238.50000274181366 18.45562244954095 0.886999987415038 0.05321999924490228 0.6140000041341409 0.036840000248048455 nan nan 505.7500008344651 35.60480932431776 2879.9999594688416 210.34258774794634 nan nan nan nan 4707.500061988831 356.0814500882628 nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA   45656" 0.15434 1.5462500450666994 0.15462500450666994 1.3824999914504588 0.13824999914504588 2.259999979287386 0.04519999958574772 2.054999931715429 0.050990194999999995 2.0650000078603625 0.04130000015720725 3.2500000670552254 0.06500000134110451 2.409999957308173 0.048199999146163464 3.440555586065683 0.42154477 4.307777905422781 0.63 7.200666734327872 0.8214011999999999 8.975359518473617 0.538521571108417 9.669999592006207 0.2900999877601862 12.600000016391277 0.3780000004917383 12.785781174281144 0.7671468704568686 nan nan nan nan nan nan 29.48086463943958 1.7688518783663747 70.71133300426105 4.584418900622412 68.77499975363413 2.7509999901453654 nan nan nan nan 51.30000039935112 5.130000039935112 86.30000054836273 9.2 nan nan 54.20000106096268 5.420000106096268 nan nan 44.70000043511391 6.0 nan nan nan nan nan nan
"Mrk 1239" 0.019596890592891433 nan nan nan nan 1.7099999822676182 0.034199999645352364 4.285000031813979 0.24020823000000002 8.339999942108989 0.16679999884217978 9.800000116229057 0.55443664 nan nan 22.646153775545265 2.4207437 46.69230832503392 5.296225 88.99166869620483 7.1923574 180.77083152284223 10.846249891370533 234.0 8.61 277.0 10.200000000000001 260.83333292272357 15.649999975363414 344.0 10.32 500.0 15.0 675.4999876022339 47.64779638136479 537.1666764418284 32.2300005865097 920.7857037952969 55.24714222771781 nan nan 1175.000019073486 59.51942960076146 1369.9999833106995 84.18580640464282 nan nan nan nan 1070.0000524520874 240.0 nan nan nan nan nan nan nan nan nan nan nan nan
"LEDA   89032" 0.07411794195302938 nan nan nan nan nan nan 2.409999957308173 0.35 3.4000000450760126 0.39 6.670000031590462 0.55 nan nan 7.2276924306956625 0.9685557000000001 9.733077210302536 1.4714957999999998 11.899999681521546 1.4696938000000002 13.458333301016438 0.8074999980609863 nan nan nan nan 16.163679677707094 0.9698207806624256 nan nan nan nan 89.80000000000001 18.9 44.50208378632864 2.670125027179718 118.39166709880034 7.10350002592802 107.5 4.3 180.0 15.299999999999999 373.0 48.599999999999994 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
