id redshift xray_box_car_2to10keV xray_box_car_2to10keV_err xray_box_car_0p5to2keV xray_box_car_0p5to2keV_err FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err VLA_C VLA_C_err VLA_L VLA_L_err HI21cm HI21cm_err
"3C 234.0" 0.18494 nan nan nan nan 0.10159999801544473 0.015652477 0.07938000198919326 0.007938000198919326 0.12168760283278365 0.004588063170048556 0.19911266922463255 0.003982253384492651 0.46338666991990374 0.009870157999999999 0.5747533335428064 0.01403923 0.604496665497815 0.016634980329802016 2.0773333342125015 0.61318843 nan nan 5.038461468827267 0.6604544 11.51666669199864 0.6910000015199184 14.700000000000001 0.441 25.4 0.7619999999999999 24.97916678947707 1.4987500073686242 42.7 1.2810000000000001 nan nan 160.0 28.8 115.22500169277191 6.9135001015663144 289.92499858140945 17.395499914884567 274.5 10.98 258.0 35.2 231.0 36.900000000000006 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"M  84" 0.00327 nan nan nan nan 0.7200916729404949 0.1616562275281175 3.0804883431037724 0.7012790154585334 168.0749986730516 16.887911442660073 276.86499935186777 8.58330425911389 546.3376212349783 24.454584718653074 457.6099968398921 56.28791708861703 721.0112630273215 147.3731 nan nan 1214.1266842683156 209.51718 763.1357269627707 168.03016000000002 457.67308149429465 32.201410809852725 412.5 80.67775406728666 175.06666666666666 46.30000003142013 304.27307501664524 28.8284003110999 111.39999999999999 28.400000794480626 105.875 19.01195749471895 178.12500163912776 43.31584441972735 44.0 2.6399999999999997 36.1 2.166 58.58750036656857 8.180516190215688 184.99999928474426 53.66192586742391 484.91666493813193 77.27167578899156 nan nan 596.999993165334 47.39989549402087 1002.9166744152707 285.8325629105615 2390.0000351667404 411.0887763635612 586.833343664805 78.71308679278323 4257.249997138977 852.0699480349735 239.83333381017047 27.249816016755506 139.66666730244955 9.776666711171469 125.24999998509884 11.006361529497669 nan nan nan nan 5174.999942736967 714.1433000000001
"2MASS J13000535+1632148" 0.07993 nan nan nan nan nan nan 0.024666666528598096 0.005960704 0.21484999888343737 0.016248076889447016 0.8364499924937263 0.018411953325684707 2.232700002787169 0.08780091509073495 3.4850151430212217 0.06970030286042443 5.616999889025465 0.1123399977805093 4.738888832637006 0.6480741 7.277777754805154 1.1301769 11.521249893121421 1.1670904000000002 25.551666749812043 1.5331000049887225 nan nan nan nan 41.49033305126552 2.489419983075931 nan nan nan nan nan nan 90.7500009417534 5.4450000565052035 173.89583517362672 10.433750110417604 148.0 5.92 nan nan nan nan nan nan 68.9999982714653 7.3999999999999995 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 11.375000012665986 0.6383572813228967
"NGC   262" 0.015260233939595302 nan nan nan nan 0.19701666860040276 0.019701666860040278 0.4016666728500277 0.040166667285002775 2.6366666425019503 0.05385164700000001 3.7700000684708357 0.15 7.50999990850687 0.1501999981701374 18.175000130819775 0.36350000261639553 27.443333878181875 0.5488666775636375 22.31999970972538 3.3421551 27.833333487311997 5.723635000000001 25.73846194606561 5.1643 55.02166668723027 3.301300001233816 47.00000040233135 2.8112497220986965 74.2 5.47 90.8333339681228 5.450000038087368 98.3 5.43 180.0 6.630000000000001 309.0000011920929 26.213736908964584 276.3888912068473 16.583333472410835 674.9166642824808 40.49499985694885 nan nan 837.4999868869781 18.742731454039056 1289.9999809265137 102.78132229848099 808.0000281333923 80.80000281333923 nan nan 1549.999976158142 173.49424335828328 nan nan nan nan 995.0000047683716 99.50000047683716 1330.0000429153442 179.99999999999997 711.0000252723694 110.0 nan nan nan nan nan nan 294.5000019073486 7.769169232051278
"IRAS 04385-0828" 0.015064 nan nan nan nan nan nan nan nan nan nan 1.0020000190706924 0.042898135157603295 2.343500091228634 0.05119570294468082 3.5649999044835567 0.23547823678633234 1.8400000408291817 0.06999999999999999 8.709166664630175 1.4260084 13.528333200762669 2.5786043 18.809090283784002 2.3345235 52.93939418241833 3.1763636509451 53.900000000000006 4.790763050913705 109.0 6.04 120.56666661302248 7.233999996781348 174.00000000000003 8.09781729850705 356.0 10.68 435.99999845027924 28.20017730440715 369.03333534797036 22.142000120878222 1267.888901895947 76.07333411375681 1320.0 52.800000000000004 1644.9999785423279 66.2386782778763 2860.000023841858 174.45343218177163 nan nan nan nan 2335.000052452087 242.0743687382041 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 18.250000037252903 0.9219544457292886
"IC 4553" 0.0184 nan nan nan nan 0.08233333452759932 0.017320508 0.35633333027362823 0.035633333027362823 2.0955496549475456 0.0728135229014936 6.090174537533597 0.3017479542278017 10.203299961905577 0.45885156113330616 25.357447133682115 0.699984046105662 37.41616512504118 1.01727021360551 46.18781277291709 3.391268264994123 54.43269227198683 4.256410018438741 57.573076945084786 3.663413870865398 36.39090893742713 2.216947443340417 nan nan nan nan 35.643181868574835 2.13859091211449 nan nan nan nan 569.9999957680701 28.655889299425 468.1999985575676 28.091999913454053 4932.500047683716 295.95000286102294 5550.000190734863 510.0 7929.16664759318 202.96899033146718 103833.33333333334 2883.391232559328 139000.0 13900.0 75000.0 7500.0 112833.33333333334 2259.357928704525 nan nan 54900.001525878906 6700.0 86300.0 8630.0 30500.0 2436.4728605096343 12250.0 999.9999999999999 3885.0 312.4099870362662 nan nan nan nan 327.31250135600567 13.210223177839806
"NGC  5252" 0.02294 nan nan nan nan 0.15100000018719584 0.02078461 0.14920000226432456 0.014920000226432457 2.4221083604061278 0.12489996 10.06999984383583 0.21569654610122987 22.69034634250252 0.45380692685005036 38.05416667213043 0.7610833334426086 50.888884971545146 1.017777699430903 24.9461536653913 3.9893608 32.89230762479397 5.4074023 19.930000323802233 3.8678157 61.28888949751854 3.6986483999999997 nan nan nan nan 71.93333490027322 4.316000094016394 nan nan nan nan nan nan 84.01428588799068 5.040857153279441 135.87500527501106 8.485282 nan nan nan nan 560.0000023841858 70.0 340.9999907016754 34.09999907016754 nan nan 1700.0000476837158 190.0 nan nan nan nan 298.0000078678131 30.0 395.00001072883606 45.96194077712559 nan nan nan nan 17.15 1.2242957159118053 19.599999999999998 1.1 15.924999937787652 0.6946221994724902
"Mrk  279" 0.030601 0.001525 1.4073293857516085e-05 0.005123333333333333 0.00022328793070831214 3.8799999747425318 0.3879999974742532 4.335000179708004 0.4335000179708004 nan nan 3.864999976940453 0.2707397274136177 4.944250023982022 0.3246956265769567 7.324999896809459 0.4887228253314961 5.289999768137932 0.8 23.87647034929079 2.2472206 36.970587995122465 3.0708306 48.620000233252846 3.6304267 23.49090921309861 1.4094545527859166 51.9 1.557 62.6 1.878 30.095454471626066 1.8057272682975638 79.19999999999999 2.3759999999999994 113.0 3.3899999999999997 nan nan 133.83333113458423 8.029999868075054 359.33333081669275 21.559999849001564 nan nan nan nan 1260.0 62.8 851.9999980926514 85.19999980926514 nan nan 2200.0 154.0 nan nan nan nan 822.0000267028809 82.20000267028809 342.00000762939453 23.94000053405762 131.99999928474426 10.0 nan nan 7.355 0.5586591089385369 22.4 1.4 24.199999764561653 1.0511898077413624
"LEDA   45656" 0.15434 0.000126 8.28e-06 0.000232 2.3199999999999998e-05 1.5462500450666994 0.15462500450666994 1.3824999914504588 0.13824999914504588 2.2646428385217274 0.06652067765928125 2.052884589200123 0.0526782667305304 2.071785698977432 0.05267826983057868 3.2339285743156716 0.06964194170899689 2.3884615466858334 0.04776923093371667 3.440000031045393 0.43104525 4.307368549665338 0.6432729 7.202500069979578 0.84308954 9.212222084469266 0.552733325068156 9.669999592006207 0.2900999877601862 12.600000016391277 0.3780000004917383 13.189999919136365 0.7913999951481819 nan nan nan nan nan nan 30.40666672637065 1.8244000035822387 73.09285679374422 4.48490777538279 68.50000006556512 2.7400000026226046 nan nan nan nan 51.30000039935112 5.130000039935112 86.30000054836273 9.2 nan nan 54.20000106096268 5.420000106096268 nan nan 44.70000043511391 6.0 nan nan nan nan nan nan nan nan nan nan nan nan
"Mrk 1239" 0.019596890592891433 nan nan nan nan nan nan nan nan 1.660555549379852 0.03321111098759704 4.4900000328198075 0.12196310279205608 8.498888837897944 0.1699777767579589 8.542500087060034 1.0407930653922626 7.040000054985285 0.1408000010997057 22.426666567722958 2.6153394 46.36666725079218 5.7593402 88.75000210744994 7.7298124999999995 180.333331671026 10.81999990026156 234.0 8.61 277.0 10.200000000000001 260.79999935626984 15.64799996137619 344.0 10.32 500.0 15.0 675.4999876022339 47.64779638136479 538.44445432557 32.306667259534194 924.9374898076057 55.49624938845634 nan nan 1175.000019073486 59.51942960076146 1369.9999833106995 84.18580640464282 nan nan nan nan 1070.0000524520874 240.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 58.399999955296515 1.7656443527261543
"LEDA   89032" 0.07411794195302938 0.000434 2.0700000000000002e-05 0.00129 6.62e-05 nan nan nan nan 1.5899999998509884 0.1 2.09500000346452 0.17755280904564702 2.7550000231713057 0.19906029237394382 4.930000053718686 0.2814693589007514 3.160000080242753 0.16 7.16714298219553 1.0002999 9.657143149524927 1.5148927999999997 11.841666341448823 1.5231546999999999 14.459115332916664 0.8675469199749998 nan nan nan nan 16.781756632603727 1.0069053979562237 nan nan nan nan 89.80000000000001 18.9 44.47222268713845 2.668333361228307 118.35000034769376 7.101000020861625 107.5 4.3 180.0 15.299999999999999 373.0 48.599999999999994 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"NAME 3C 330G2" 0.54725 nan nan nan nan nan nan 0.012566666858522998 0.0039293764 nan nan 0.009669999599282164 0.00095 0.09170000248559518 0.003104835 0.06230000144569203 0.0012460000289138407 0.043799998820759356 0.0025 nan nan nan nan nan nan 0.3261818163446785 0.01957090898068071 nan nan nan nan 0.25989545501602435 0.01609790307422312 nan nan nan nan nan nan 0.9997143106712694 0.10746422859309057 8.440000160286823 1.9515634 7.42000000551343 0.350891721190455 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5040.0 151.0
"3C 265.0" 0.810501 nan nan nan nan nan nan 0.05794999924546573 0.008982761 0.01623324934030279 0.0040583245 0.01632749973623504 0.0014934859 0.024274999987028423 0.002280833 0.027242499299973133 0.0033286635 0.08597499891038751 0.0123527325 nan nan nan nan nan nan 0.44105454814943107 0.026463272888965862 nan nan nan nan 0.984994991645799 0.05909969949874794 nan nan nan nan nan nan 6.049166739123563 0.36295000434741376 18.533333565791448 1.4036025236148908 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2859.999895095825 60.0
"NGC   612" 0.029911 nan nan nan nan 0.1049999991664663 0.011 0.24449999909847975 0.024449999909847975 nan nan 2.579999971203506 0.0651920240520265 5.554999923333526 0.17804493814764855 9.574999799951911 0.2500499950009997 nan nan 36.02999933063984 3.1776722 40.98000042140484 6.658077699999999 34.36363623900847 5.1516984 32.2777780269583 1.936666681617498 nan nan nan nan 21.92222238365147 1.315333343019088 nan nan nan nan 203.33333583672842 30.127769582230943 98.04166522870462 5.882499913722277 118.16666680574417 7.09000000834465 nan nan 154.83333190282187 32.351584196141005 1649.9999976158142 168.53741350464622 nan nan nan nan 5302.49990940094 493.29453648460617 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3621.6665705045066 100.61809
"NGC  7479" 0.007967227179902725 nan nan nan nan 5.495000024437905 0.5495000024437905 9.944999785423278 0.9944999785423279 6.437999941408634 0.12875999882817268 12.650874952669255 0.6616964935836573 23.657636767232113 1.5555373672790007 35.67568715516245 2.301832633492089 1.016979971609544 0.27297067999999997 100.47777742147446 7.798076600000001 135.3781240468379 9.355110999999999 85.90714314154216 11.315476 46.12333342929681 2.7674000057578083 23.3 0.699 39.49999999999999 1.1849999999999998 82.31818274530498 4.939090964718298 nan nan 187.0 5.609999999999999 1221.416655222575 60.334984048026605 502.3888891670438 30.14333335002263 2325.166622797648 139.50999736785886 2474.9999999999995 98.99999999999999 3822.500014305115 172.55532447124344 14399.999936421711 1207.114451014941 14300.000190734863 1430.0000190734863 nan nan 24937.50006357829 1913.9209041925067 nan nan nan nan 26000.0 2600.0 17299.999237060547 1210.9999465942385 7510.000228881836 525.7000160217285 2690.000057220459 188.30000400543216 nan nan nan nan 105.2499991953373 2.734044595089949
"LEDA 3095998" 0.07978 nan nan nan nan 0.014199999895936344 0.0014199999895936344 0.028899999961140566 0.0028899999961140566 0.06208571383987354 0.0033637776061479505 0.1866428564036531 0.003732857128073062 0.3286428587411397 0.006572857174822794 0.45085714581156416 0.009017142916231284 0.5494285786491154 0.012093387093392197 0.7010769376602883 0.18982096 nan nan nan nan 0.5412222162750032 0.032473332976500194 0.491 0.01473 0.36025 0.0108075 0.3561111128913859 0.025943254979626667 0.353 0.010589999999999999 1.405 0.04215 nan nan 1.2049999904260038 0.20706822785264983 nan nan 2.8504167033856116 0.11401666813542446 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"NGC  3735" 0.00901 nan nan nan nan 3.1900000758469105 0.31900000758469105 4.549999876568715 0.45499998765687155 5.501999985426664 0.11003999970853329 13.485999987460673 0.3415040282798025 27.538999542593956 0.5507799908518791 64.69399956986308 1.2938799913972616 2.7699999045580626 0.18000000000000002 74.3454559282823 5.051732499999999 102.32727381993425 8.1 61.78333284333348 6.7297844 50.1041670622925 3.00625002373755 nan nan 12.125 0.36374999999999996 38.47777809202671 2.3086666855216027 nan nan 49.5 1.4849999999999999 656.6666523615519 37.504966337806515 241.52083459248146 14.491250075548887 593.8333407924289 35.63000044754573 386.0 15.44 1068.3333190282185 50.91600927016963 6813.333237965901 236.71185014696667 nan nan nan nan 18483.33314259847 647.0904109937035 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 87.75000077784063 2.3521266891261834
