Main_id RA DEC otype redshift otypes [NeV]* [NeV]_err* [NeII]* [NeII]_err* [NeV]/[NeII]* [NeV]/[NeII]_err* [NeV]$^+$ [NeV]_err$^+$ [NeIII]$^+$ [NeIII]_err$^+$ [NeV]/[NeIII]$^+$ [NeV]/[NeIII]_err$^+$ [NeIII]$^-$ [NeIII]_err$^-$ [NeII]$^-$ [NeII]_err$^-$ [NeIII]/[NeII]$^-$ [NeIII]/[NeII]_err$^-$ bayes.agn.fracAGN bayes.agn.fracAGN_err bayes.agn.i bayes.agn.i_err bayes.agn.disk_luminosity bayes.agn.disk_luminosity_err bayes.agn.luminosity bayes.agn.luminosity_err bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err best.reduced_chi_square log.reduced_chi_square NED_Ne_IR_info
"2C   94" 17.220292429510003 13.33729522217 Sy2 0.059615 *|AGN|G|Rad|Sy2|X 2000000000.0 300000000.0 3900000000.0 200000000.0 0.5128205128205128 0.0812943431354469 2000000000.0 300000000.0 5300000000.0 200000000.0 0.37735849056603776 0.05836748377170459 5300000000.0 200000000.0 3900000000.0 200000000.0 1.358974358974359 0.08652562196640158 0.6865611565783494 0.11967341436995055 73.83482561588654 8.508248513418419 1.3787638404047036e+35 5.1210194135958615e+34 2.4468584696260853e+37 4.030152954820804e+36 1.7246193065665494 1.3163365088890544 28682725610.48474 6450427912.662605 1.3173407609701728 0.11969812990994547 NeII|NeIII|NeV
"2C 1883" 349.14663898619995 4.08841586141 Sy2 0.22 *|AGN|G|IR|QSO|Rad|Sy2 nan nan nan nan nan nan nan nan nan nan nan nan 1000000000.0 70000000.0 3110000000.0 220000000.0 0.3215434083601286 0.03199976335108683 0.1676884426585983 0.07816057785123717 57.27044594574329 27.99390132811201 4.122521094010961e+36 5.782731031797155e+36 9.01960391522442e+37 3.527297801481871e+37 103.9120034706322 24.030265174755055 85948162689.7023 57012631337.310844 1.8403458401068076 0.26489944384462905 NeII|NeIII
"2E  2389" 166.0577547903 76.98283181919 Sy1 0.3115 *|BH?|G|IR|QSO|Rad|Sy1|UV|X|gam 505000000.0 59000000.0 437000000.0 40000000.0 1.1556064073226544 0.17151303566833198 nan nan nan nan nan nan nan nan nan nan nan nan 0.8188987719707819 0.024258975221072464 26.011843998959925 11.071888539354369 1.8591392566232316e+39 1.255581728634208e+38 2.3603186824229648e+39 1.1801593412114825e+38 32.99957287515418 13.005716016371974 82007440862.93582 69392222513.68936 1.442908260688541 0.15923871976759285 NeII|NeV
"2E  3648" 245.09091058141 17.60665343366 Sy1 0.55517 *|BH?|G|IR|QSO|Rad|Sy1|X 1180000000.0 170000000.0 660000000.0 40000000.0 1.7878787878787878 0.279439361062646 1190000000.0 170000000.0 1610000000.0 130000000.0 0.7391975308641976 0.12011916377404842 1620000000.0 130000000.0 660000000.0 40000000.0 2.4545454545454546 0.2468333394786096 0.7373844941753334 0.09571439256469585 32.20528489575952 9.404682549643882 2.0566345877118184e+39 1.3435115805324631e+38 3.149791697935656e+39 1.574895848967828e+38 110.83038756721615 54.366157677823296 96631370793.32745 102566202983.27977 2.3766658631781086 0.37596812830862414 NeII|NeIII|NeV
"2MASS J13000535+1632148" 195.02228295163 16.53743305218 Sy1 0.07993 *|AGN|G|IR|Rad|Sy1|X nan nan nan nan nan nan nan nan nan nan nan nan 1450000000.0 0.0 1670000000.0 0.0 0.8682634730538922 nan 0.8997482762713642 0.0035397704007171173 60.00022899305476 0.047852752121327925 1.860024667933385e+36 9.300123339666926e+34 9.410611315882008e+37 4.705305657941004e+36 0.5592751145937703 0.3523226196938686 90494096430.65376 16511046241.395515 2.9185132854550697 0.4651616746160927 NeII|NeIII
"2MASSI J0918486+211717" 139.7025485953 21.288075035289996 Sy1 0.14903 *|AGN|IR|QSO|Sy1|X 4480000000.0 0.0 982000000.0 0.0 4.562118126272912 nan 4480000000.0 0.0 2600000000.0 0.0 1.7230769230769232 nan 2600000000.0 0.0 982000000.0 0.0 2.6476578411405294 nan 0.8988839720632542 0.013870021401598235 44.20391814907898 14.529180682596715 1.8396031516838928e+37 4.904386892756304e+36 2.495614659398097e+38 1.2478073296990486e+37 0.5329401797567834 1.1935901737550823 152823017793.68384 53131442843.11487 0.9454285200616502 -0.024371300786463282 NeII|NeIII|NeV
"2MASX J00215355-7910077" 5.47314754327 -79.16889600056 Sy2 0.072724 *|AGN|G|IR|Sy2 12300000000.0 0.0 6190000000.0 0.0 1.987075928917609 nan 12300000000.0 0.0 14000000000.0 0.0 0.8785714285714286 nan 14000000000.0 0.0 6190000000.0 0.0 2.261712439418417 nan 0.7668399788349383 0.078318343385068 68.82995098998134 5.472195587614543 2.230156853448609e+36 3.5161324093452546e+35 3.92321299872783e+38 4.1694422416726383e+37 32.044520006954116 11.024790692810797 17698689521.858826 9477467586.7114 1.175129187601683 0.0700856133128245 NeII|NeIII|NeV
"2MASX J14510879+2709272" 222.78651997439997 27.15748964087 Sy1 0.06449 *|AGN|G|IR|QSO|Rad|Sy1|UV|X 2670000000.0 0.0 507000000.0 0.0 5.266272189349112 nan nan nan nan nan nan nan nan nan nan nan nan nan 0.899955362964844 0.0014940994387965115 7.5626569304964075 7.822212659918313 3.366525798361697e+37 1.6832628991808487e+36 6.623794909359572e+37 3.3118974546797863e+36 0.15462531197470453 0.31682075857974806 26200318190.297752 11239826484.458948 1.2185272266241656 0.08583523745224399 NeII|NeV
"2MASX J22041914+0333511" 331.07985144241997 3.56423713312 Sy2 0.0611 *|AGN|G|IR|Sy2|X 8330000000.0 0.0 5950000000.0 0.0 1.4 nan 8330000000.0 0.0 14100000000.0 0.0 0.5907801418439717 nan 14100000000.0 0.0 5950000000.0 0.0 2.369747899159664 nan 0.8034772342919497 0.05764760918306174 63.27370956183844 5.131987731592176 1.6393283787180736e+36 2.5574152409960315e+35 1.5235120191669153e+38 1.1662304592112767e+37 8.406223998670196 3.510156460305732 25023754285.502865 8748674592.276484 1.3187962121295964 0.12017769108441771 NeII|NeIII|NeV
"3C 234.0" 150.45634473807 28.7858176354 Sy1 0.18494 *|AGN|G|IR|QSO|Rad|Sy1|X|blu|gam 3300000000.0 700000000.0 800000000.0 200000000.0 4.125 1.3524428130239001 2825000000.0 743303437.3659253 5800000000.0 778203058.3337488 0.5468077474892397 0.13657008334636164 8200000000.0 700000000.0 800000000.0 200000000.0 10.25 2.7077723778043086 0.8034799514202404 0.05075017016454414 63.91729158454189 4.881367022531865 1.1161116813933017e+37 1.1278736022016923e+36 6.293698660647859e+38 3.2757350442344617e+37 35.95897699663074 10.767347614953854 81806980038.3679 33820452612.22372 2.5104372093516596 0.39974936334306105 NeII|NeIII|NeV
