No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,15-150 keV (Swift),5.5e-12,+/-3.2e-12,erg/cm^2^/s,1.99e+19,2.76e-08,1.61e-08,1.61e-08,,,+/-1.61E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,024.139 +20.934 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (Chandra),1.55e-12,,ergs s^-1^ cm^-2^,1.45e+18,1.07e-07,,,,,,Jy,2005ApJ...629...88S,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
3,0.3-8 keV (Chandra),1.99e-12,,erg/cm^2^/s,1e+18,1.99e-07,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,0.3-3.5 keV Einstein,0.48,+/-0.19,erg cm^-2^ s^-1^,4.59e+17,1.05e-06,1.83e-07,1.83e-07,,,+/-1.83E-07,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
5,0.3-3.5 keV Einstein,0.43,+/-0.09,erg cm^-2^ s^-1^,4.59e+17,9.37e-07,7.76e-08,7.76e-08,,,+/-7.76E-08,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,1 keV (Einstein),0.82,+/-0.25,microJy,2.42e+17,8.2e-07,1.89e-07,1.89e-07,,,+/-1.89E-07,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
7,1 keV (Einstein),0.76,+/-0.20,microJy,2.42e+17,7.6e-07,1.4e-07,1.4e-07,,,+/-1.40E-07,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,1 keV,363.0,+/-33,nJy,2.42e+17,3.63e-07,3.3e-08,3.3e-08,,,+/-3.30E-08,Jy,2006MNRAS.370.1893H,uncertainty,1   keV,Broad-band measurement,,Modelled datum,Model=PL+ABS (PL);Comp=PL,From reprocessed raw data
9,1 keV,308.0,+/-146,nJy,2.42e+17,3.08e-07,1.46e-07,1.46e-07,,,+/-1.46E-07,Jy,2006MNRAS.370.1893H,uncertainty,1   keV,Broad-band measurement,,Modelled datum,Model=PL+ABS (PL);Comp=ABS (PL),From reprocessed raw data
10,1350 A (HST/FOS),1.16e-15,+/-10  %,erg/cm^2^/s/A,2220000000000000.0,7.06e-05,7.06e-06,7.06e-06,,,+/-7.06E-06,Jy,2006MNRAS.373..551L,uncertainty,1350   A,Broad-band measurement,01 36 22.4 +20 57 14.7 (J2000),From fitting to map,,From reprocessed raw data; Extinction-corrected for Milky Way
11,FUV (GALEX) AB,17.71,+/-0.06,mag,1960000000000000.0,0.000299,1.65e-05,1.65e-05,,,+/-1.65E-05,Jy,2007ApJ...664...53A,uncertainty,1528   A,Broad-band measurement,024.10192 +20.95764 (J2000),Flux in fixed aperture,,Averaged from previously published data
12,FUV (GALEX) AB,18.2781,+/-0.0926380,mag,1950000000000000.0,0.000177,1.51e-05,1.51e-05,,,+/-1.51E-05,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,24.101576325995 20.957669602775 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
13,FUV (GALEX) AB,18.5701,+/-0.111211,mag,1950000000000000.0,0.000136,1.39e-05,1.39e-05,,,+/-1.39E-05,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,24.101576325995 20.957669602775 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
14,NUV (GALEX) AB,17.16,+/-0.03,mag,1320000000000000.0,0.000497,1.37e-05,1.37e-05,,,+/-1.37E-05,Jy,2007ApJ...664...53A,uncertainty,2271   A,Broad-band measurement,024.10192 +20.95764 (J2000),Flux in fixed aperture,,Averaged from previously published data
15,NUV (GALEX) AB,17.7478,+/-0.0403368,mag,1290000000000000.0,0.000289,1.07e-05,1.07e-05,,,+/-1.07E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,24.101576325995 20.957669602775 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
16,NUV (GALEX) AB,18.2331,+/-0.0548596,mag,1290000000000000.0,0.000185,9.34e-06,9.34e-06,,,+/-9.34E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,24.101576325995 20.957669602775 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
17,U Johnson,17.45,,mag,819000000000000.0,0.00019,,,,,,Jy,1965ApJ...141.1560S,no uncertainty reported,3660       A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
18,[O II] (Magellan),-14.7,+/-35  %,log(erg/s/cm^2^),804000000000000.0,200000000.0,69800000.0,69800000.0,,,+/-6.98E+07,Jy-Hz,2009ApJS..184..398H,uncertainty,3727 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
19,B (USNO),16.8,+/-0.35,mag,740000000000000.0,0.000726,0.000234,0.000234,,,+/-2.34E-04,Jy,2007ApJ...664...53A,uncertainty,4050   A,Broad-band measurement,024.10192 +20.95764 (J2000),Integrated from scans,,Averaged from previously published data
20,B Johnson,18.15,,mag,681000000000000.0,0.000234,,,,,,Jy,1965ApJ...141.1560S,no uncertainty reported,4400       A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
21,B Johnson (FLWO),17.705,+/-0.082,mag,681000000000000.0,0.000353,2.66e-05,2.66e-05,,,+/-2.66E-05,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
22,Fe II (Magellan),,<-14.28,log(erg/s/cm^2^),656000000000000.0,,,,525000000.0,,<5.25E+08,Jy-Hz,2009ApJS..184..398H,no uncertainty reported,4570 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
23,He II (Magellan),-15.38,+/-35  %,log(erg/s/cm^2^),640000000000000.0,41700000.0,14600000.0,14600000.0,,,+/-1.46E+07,Jy-Hz,2009ApJS..184..398H,uncertainty,4686 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From new raw data
24,He II (Magellan),-14.55,+/-35  %,log(erg/s/cm^2^),640000000000000.0,282000000.0,98600000.0,98600000.0,,,+/-9.86E+07,Jy-Hz,2009ApJS..184..398H,uncertainty,4686 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From new raw data
25,H{beta} (Magellan),-13.6,+/-35  %,log(erg/s/cm^2^),617000000000000.0,2510000000.0,879000000.0,879000000.0,,,+/-8.79E+08,Jy-Hz,2009ApJS..184..398H,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From new raw data
26,H{beta} (Magellan),-14.64,+/-35  %,log(erg/s/cm^2^),617000000000000.0,229000000.0,80200000.0,80200000.0,,,+/-8.02E+07,Jy-Hz,2009ApJS..184..398H,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From new raw data
27,[O III] (Magellan),-13.65,+/-35  %,log(erg/s/cm^2^),599000000000000.0,2240000000.0,784000000.0,784000000.0,,,+/-7.84E+08,Jy-Hz,2009ApJS..184..398H,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
28,5100 A,-15.6,,log(erg/s/cm^2^/A),588000000000000.0,0.000218,,,,,,Jy,2008MNRAS.387.1237D,no uncertainty reported,5100 A,Broad-band measurement,01 36 24.4 +20 57 27 (J2000),From fitting to map,,From new raw data; Extinction-corrected internal to object
29,V (HST/WFPC2),17.82,+/-0.15,mag,545000000000000.0,0.000271,3.75e-05,3.75e-05,,,+/-3.75E-05,Jy,2008ApJ...678...22H,statistical error,5500 A,Broad-band measurement,,Modelled datum,Nuclear magnitude,From reprocessed raw data
30,V (HST/WFPC2),18.75,+/-0.2,mag,545000000000000.0,0.000115,2.12e-05,2.12e-05,,,+/-2.12E-05,Jy,2008ApJ...678...22H,statistical error,5500 A,Broad-band measurement,,Modelled datum,Host magnitude,From reprocessed raw data
31,V Johnson,18.1,,mag,542000000000000.0,0.000209,,,,,,Jy,1965ApJ...141.1560S,no uncertainty reported,5530       A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
32,V Johnson (FLWO),17.438,+/-0.071,mag,542000000000000.0,0.000385,2.52e-05,2.52e-05,,,+/-2.52E-05,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
33,R (USNO),16.9,+/-0.35,mag,465000000000000.0,0.00053,0.000171,0.000171,,,+/-1.71E-04,Jy,2007ApJ...664...53A,uncertainty,6450   A,Broad-band measurement,024.10192 +20.95764 (J2000),Integrated from scans,,Averaged from previously published data
34,R Johnson (FLWO),17.124,+/-0.079,mag,433000000000000.0,0.000409,2.98e-05,2.98e-05,,,+/-2.98E-05,Jy,1994ApJS...95....1E,uncertainty,6930   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
35,I Johnson (FLWO),16.622,+/-0.088,mag,341000000000000.0,0.000512,4.16e-05,4.16e-05,,,+/-4.16E-05,Jy,1994ApJS...95....1E,uncertainty,8785   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
36,J (2MASS/FLWO),16.352,+/-0.112,mag,243000000000000.0,0.000459,4.73e-05,4.73e-05,,,+/-4.73E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
37,J (2MASS/FLWO),16.086,+/-0.212,mag,243000000000000.0,0.000586,0.000114,0.000114,,,+/-1.14E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
38,J,15.83,+/-0.07,mag,240000000000000.0,0.00073,4.7e-05,4.7e-05,,,+/-4.70E-05,Jy,1994ApJS...95....1E,uncertainty,1.25   microns,Broad-band measurement,,Flux in fixed aperture,"1988; MMT; Beam = 5""",From new raw data
39,H,14.88,+/-0.05,mag,182000000000000.0,0.00113,5.23e-05,5.23e-05,,,+/-5.23E-05,Jy,1994ApJS...95....1E,uncertainty,1.65   microns,Broad-band measurement,,Flux in fixed aperture,"1988; MMT; Beam = 5""",From new raw data
