No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2.0-10.0 keV,9e-13,+/-1.4E-13,erg cm^-2^ s^-1^,1.45e+18,6.21e-08,9.66e-09,9.66e-09,,,+/-9.66E-09,Jy,2006MNRAS.366..339B,uncertainty,6   keV,Broad-band measurement,11 39 57.03 +65 47 49.47 (J2000),Corrected to total flux from single aperture measurement,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (ASCA),1.91e-12,,ergs s^-1^ cm^-2^,1.45e+18,1.32e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,175.0104 65.8057 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
3,0.5-8 keV (Chandra),-11.859,,log(erg/cm^2^/s),1.03e+18,1.34e-07,,,,,,Jy,2009ApJ...690..644G,no uncertainty reported,4.25 keV,Broad-band measurement,174.98759 65.797058 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
4,0.3-8 keV (Chandra),1.72e-12,,erg/cm^2^/s,1e+18,1.72e-07,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,0.7-7 keV (ASCA),2.36e-12,,ergs s^-1^ cm^-2^,9.31e+17,2.53e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,3.85   keV,Broad-band measurement,175.0104 65.8057 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
6,0.3-3.5 keV Einstein,0.24,+/-0.06,erg cm^-2^ s^-1^,4.59e+17,5.23e-07,2.9e-08,2.9e-08,,,+/-2.90E-08,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,0.3-3.5 keV Einstein,0.24,+/-0.04,erg cm^-2^ s^-1^,4.59e+17,5.23e-07,1.93e-08,1.93e-08,,,+/-1.93E-08,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
8,0.5-2.5 keV Chandra,,<0.9E-14,erg/s/cm^2^,3.63e+17,,,,2.48e-09,,<2.48E-09,Jy,2007MNRAS.381.1109B,3 sigma,1.50 keV,Broad-band measurement,11 39 57.03 +65 47 49.47 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.7-2 keV (ASCA),9.3e-13,,ergs s^-1^ cm^-2^,3.26e+17,2.85e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,1.35   keV,Broad-band measurement,175.0104 65.8057 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
10,1 keV (Einstein),0.39,+/-0.08,microJy,2.42e+17,3.9e-07,2.87e-08,2.87e-08,,,+/-2.87E-08,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
11,1 keV (Einstein),0.39,+/-0.05,microJy,2.42e+17,3.9e-07,1.8e-08,1.8e-08,,,+/-1.80E-08,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,1 keV,187.2,+/-32.0,nJy,2.42e+17,1.87e-07,3.2e-08,3.2e-08,,,+/-3.20E-08,Jy,2006MNRAS.366..339B,uncertainty,1   keV,Broad-band measurement,11 39 57.03 +65 47 49.47 (J2000),Corrected to total flux from single aperture measurement,,From new raw data
13,1 keV (Einstein),0.39,+/-0.08,microJy,2.42e+17,3.9e-07,8e-08,8e-08,,,+/-8.00E-08,Jy,1994ApJS...95....1E,90% confidence,1   keV,Broad-band measurement,,Flux integrated from map,From 1987ApJ...323..243W,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
14,1031 A (FUSE),1.2e-14,,erg/cm^2^/s/A,2910000000000000.0,0.000426,,,,,,Jy,2009ApJS..182..378W,no uncertainty reported,1031 A,Broad-band measurement,,Flux integrated from map,,From new raw data
15,C IV 1549 (HST),3.8e-14,+/-40  %,ergs/s/cm^2^,1940000000000000.0,3800000000.0,1520000000.0,1520000000.0,,,+/-1.52E+09,Jy-Hz,2007ApJ...666..757S,uncertainty,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From reprocessed raw data
16,C IV 1549 (HST),1.45e-12,,ergs/s/cm^2^,1940000000000000.0,145000000000.0,,,,,,Jy-Hz,2007ApJ...666..757S,no uncertainty reported,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From reprocessed raw data
17,u (SDSS PSF) AB,15.951,+/-0.019,asinh mag,836000000000000.0,0.00157,2.75e-05,2.75e-05,,,+/-2.75E-05,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,174.9875907808 65.7970576667 (J2000),Modelled datum,"SDSS flags: BLENDED - object has more than one peak; NODEBLEND - object is a blend, but no deblending attempted; MANYR90 - more than one 90% radius; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; TOO_LARGE - very large object, poorly determined sky, or bad deblend; DEBLEND_PRUNED - parent object containing undeblended peaks; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
18,U Johnson,15.76,,mag,819000000000000.0,0.000899,,,,,,Jy,1965ApJ...142.1307S,no uncertainty reported,3660       A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
19,B Johnson,16.5,,mag,681000000000000.0,0.00107,,,,,,Jy,1965ApJ...142.1307S,no uncertainty reported,4400       A,Broad-band measurement,,Flux in fixed aperture,,From new raw data
20,B Johnson (FLWO),16.072,+/-0.048,mag,681000000000000.0,0.00159,6.96e-05,6.96e-05,,,+/-6.96E-05,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
