No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,20.9838,+/-0.152258,mag,1950000000000000.0,1.47e-05,2.06e-06,2.06e-06,,,+/-2.06E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,2.7285587387205 0.2475359402145 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
2,FUV (GALEX) AB,21.423,+/-0.179136,mag,1950000000000000.0,9.79e-06,1.62e-06,1.62e-06,,,+/-1.62E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,2.7285587387205 0.2475359402145 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
3,FUV (GALEX) AB,21.0178,+/-0.0670984,mag,1950000000000000.0,1.42e-05,8.79e-07,8.79e-07,,,+/-8.79E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,2.7286924660879 0.2474405659420 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
4,FUV (GALEX) AB,21.5318,+/-0.0830903,mag,1950000000000000.0,8.86e-06,6.78e-07,6.78e-07,,,+/-6.78E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,2.7286924660879 0.2474405659420 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
5,NUV (GALEX) AB,20.6488,+/-0.0968522,mag,1290000000000000.0,2e-05,1.78e-06,1.78e-06,,,+/-1.78E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,2.7285587387205 0.2475359402145 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,NUV (GALEX) AB,21.2845,+/-0.100112,mag,1290000000000000.0,1.11e-05,1.03e-06,1.03e-06,,,+/-1.03E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,2.7285587387205 0.2475359402145 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,20.5746,+/-0.0422659,mag,1290000000000000.0,2.14e-05,8.32e-07,8.32e-07,,,+/-8.32E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,2.7286924660879 0.2474405659420 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,21.1472,+/-0.0414493,mag,1290000000000000.0,1.26e-05,4.82e-07,4.82e-07,,,+/-4.82E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,2.7286924660879 0.2474405659420 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,u (SDSS CModel) AB,19.778,,asinh mag,836000000000000.0,4.45e-05,,,,,,Jy,2004SDSS2.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,2.728555 0.247597 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
10,u (SDSS Petrosian)AB,19.86,+/-0.117,asinh mag,836000000000000.0,4.28e-05,4.62e-06,4.62e-06,,,+/-4.62E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,3585       A,Broad-band measurement,2.728555 0.247597 (J2000),Modelled datum,"SDSS Petrosian Radius =    0.78"".         
SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
11,u (SDSS PSF) AB,20.108,+/-0.048,asinh mag,836000000000000.0,3.41e-05,1.51e-06,1.51e-06,,,+/-1.51E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,2.7285549806 0.2475974427 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
12,u (SDSS CModel) AB,19.778,,asinh mag,836000000000000.0,4.62e-05,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,2.7285549806 0.2475974427 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
