No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,18.49,,mag,1960000000000000.0,0.000146,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,1530 A,Broad-band measurement,,Total flux,,From reprocessed raw data
2,FUV (GALEX) AB,19.2995,+/-0.109536,mag,1950000000000000.0,6.92e-05,6.98e-06,6.98e-06,,,+/-6.98E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,315.99491074792 -7.467096541895 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
3,FUV (GALEX) AB,19.7222,+/-0.137912,mag,1950000000000000.0,4.69e-05,5.96e-06,5.96e-06,,,+/-5.96E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,315.99491074792 -7.467096541895 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
4,FUV (GALEX) AB,19.4134,+/-0.0403494,mag,1950000000000000.0,6.23e-05,2.32e-06,2.32e-06,,,+/-2.32E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,315.99476172425 -7.467252979810 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
5,FUV (GALEX) AB,19.9238,+/-0.0496116,mag,1950000000000000.0,3.89e-05,1.78e-06,1.78e-06,,,+/-1.78E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,315.99476172425 -7.467252979810 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
6,NUV (GALEX) AB,17.76,,mag,1300000000000000.0,0.000286,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,2310 A,Broad-band measurement,,Total flux,,From reprocessed raw data
7,NUV (GALEX) AB,18.6421,+/-0.0453784,mag,1290000000000000.0,0.000127,5.3e-06,5.3e-06,,,+/-5.30E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,315.99491074792 -7.467096541895 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,19.2288,+/-0.0625299,mag,1290000000000000.0,7.39e-05,4.25e-06,4.25e-06,,,+/-4.25E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,315.99491074792 -7.467096541895 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,NUV (GALEX) AB,18.6037,+/-0.0161745,mag,1290000000000000.0,0.000131,1.96e-06,1.96e-06,,,+/-1.96E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,315.99476172425 -7.467252979810 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
10,NUV (GALEX) AB,19.3207,+/-0.0219813,mag,1290000000000000.0,6.79e-05,1.37e-06,1.37e-06,,,+/-1.37E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,315.99476172425 -7.467252979810 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
