No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),1.16e-12,+/-0.060E-12,erg/cm^2^/s,1.45e+18,8e-08,4.14e-09,4.14e-09,,,+/-4.14E-09,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,139.70250 +21.288060 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.3-8 keV (Chandra),2.86e-12,,erg/cm^2^/s,1e+18,2.86e-07,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,0.5-4.5 keV (XMM),-12.47,,log(erg/cm^2^/s),6.05e+17,5.6e-08,,,,,,Jy,2011A&A...536A..84V,no uncertainty reported,2.50 keV,Broad-band measurement,09 18 48.6 +21 17 17 (J2000),Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
4,0.5-2 keV (XMM),6.08e-13,+/-0.015E-12,erg/cm^2^/s,3.02e+17,2.01e-07,4.97e-09,4.97e-09,,,+/-4.97E-09,Jy,2009A&A...495..421B,uncertainty,1.25 keV,Broad-band measurement,139.70250 +21.288060 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,FUV (GALEX) AB,,>21.8367,mag,1950000000000000.0,,,,,6.69e-06,<6.69E-06,Jy,2012GASC..C...0000S,3 sigma,1538.6     A,Broad-band measurement,139.70239982765 21.287963943575 (J2000),Flux integrated from map,upper limit inside NUV Kron aperture,From new raw data
6,FUV (GALEX) AB,22.8751,+/-0.410615,mag,1950000000000000.0,2.57e-06,9.72e-07,9.72e-07,,,+/-9.72E-07,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,139.70239982765 21.287963943575 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,21.9524,+/-0.253620,mag,1290000000000000.0,6.01e-06,1.4e-06,1.4e-06,,,+/-1.40E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,139.70239982765 21.287963943575 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,22.5699,+/-0.253671,mag,1290000000000000.0,3.4e-06,7.95e-07,7.95e-07,,,+/-7.95E-07,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,139.70239982765 21.287963943575 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,u (SDSS PSF) AB,19.839,+/-0.039,asinh mag,836000000000000.0,4.37e-05,1.57e-06,1.57e-06,,,+/-1.57E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,139.7025493029 21.2880665680 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
10,g (SDSS PSF) AB,18.236,+/-0.022,asinh mag,617000000000000.0,0.000184,3.74e-06,3.74e-06,,,+/-3.74E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,139.7025493029 21.2880665680 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
11,H{beta} (SDSS),1.704e-14,+/-96E-17,erg/s/cm^2^,617000000000000.0,1700000000.0,96000000.0,96000000.0,,,+/-9.60E+07,Jy,2017ApJS..229...39R,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,139.70255 +21.28807 (J2000),From fitting to map,Broad component,From reprocessed raw data
12,H{beta} (SDSS),2.9e-16,+/-19E-17,erg/s/cm^2^,617000000000000.0,29000000.0,19000000.0,19000000.0,,,+/-1.90E+07,Jy,2017ApJS..229...39R,uncertainty,4861 A,Line measurement; flux integrated over line; lines measured in emission,139.70255 +21.28807 (J2000),From fitting to map,Narrow component,From reprocessed raw data
13,[O III] 5007 (SDSS),1.839e-14,+/-44E-17,erg/s/cm^2^,599000000000000.0,1840000000.0,44000000.0,44000000.0,,,+/-4.40E+07,Jy,2017ApJS..229...39R,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,139.70255 +21.28807 (J2000),From fitting to map,,From reprocessed raw data
14,r (SDSS PSF) AB,17.243,+/-0.015,asinh mag,477000000000000.0,0.00046,6.36e-06,6.36e-06,,,+/-6.36E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,139.7025493029 21.2880665680 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
15,H{alpha} (SDSS),1.2075e-13,+/-140E-17,erg/s/cm^2^,457000000000000.0,12100000000.0,140000000.0,140000000.0,,,+/-1.40E+08,Jy,2017ApJS..229...39R,uncertainty,6563 A,Line measurement; flux integrated over line; lines measured in emission,139.70255 +21.28807 (J2000),From fitting to map,Broad component,From reprocessed raw data
