No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),4.8e-14,,erg/cm^2^/s,1.45e+18,3.31e-09,,,,,,Jy,2014A&A...569A..71C,no uncertainty reported,6.00 keV,Broad-band measurement,,From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,FUV (GALEX) AB,,>20.8712,mag,1950000000000000.0,,,,,1.63e-05,<1.63E-05,Jy,2012GASC..C...0000S,3 sigma,1538.6     A,Broad-band measurement,329.20652456024 -7.758781287842 (J2000),Flux integrated from map,upper limit inside NUV Kron aperture,From new raw data
3,FUV (GALEX) AB,21.3019,+/-0.399505,mag,1950000000000000.0,1.09e-05,4.03e-06,4.03e-06,,,+/-4.03E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,329.20652456024 -7.758781287842 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
4,FUV (GALEX) AB,20.5606,+/-0.0719562,mag,1950000000000000.0,2.17e-05,1.44e-06,1.44e-06,,,+/-1.44E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,329.20624542178 -7.758735897972 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
5,FUV (GALEX) AB,21.8094,+/-0.108522,mag,1950000000000000.0,6.86e-06,6.85e-07,6.85e-07,,,+/-6.85E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,329.20624542178 -7.758735897972 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
6,NUV (GALEX) AB,20.4419,+/-0.259414,mag,1290000000000000.0,2.42e-05,5.77e-06,5.77e-06,,,+/-5.77E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,329.20652456024 -7.758781287842 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
7,NUV (GALEX) AB,21.8929,+/-0.385360,mag,1290000000000000.0,6.35e-06,2.25e-06,2.25e-06,,,+/-2.25E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,329.20652456024 -7.758781287842 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
8,NUV (GALEX) AB,19.9638,+/-0.0437578,mag,1290000000000000.0,3.75e-05,1.51e-06,1.51e-06,,,+/-1.51E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,329.20624542178 -7.758735897972 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
9,NUV (GALEX) AB,21.3856,+/-0.0524501,mag,1290000000000000.0,1.01e-05,4.89e-07,4.89e-07,,,+/-4.89E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,329.20624542178 -7.758735897972 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
10,u (SDSS PSF) AB,20.832,+/-0.089,asinh mag,836000000000000.0,1.75e-05,1.43e-06,1.43e-06,,,+/-1.43E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,3585       A,Broad-band measurement,329.206299 -7.759075 (J2000),Modelled datum,SDSS flags: PEAKCENTER - used brightest pixel as centroid; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;,From new raw data
11,u (SDSS Model) AB,18.742,+/-0.049,asinh mag,836000000000000.0,0.00012,5.47e-06,5.47e-06,,,+/-5.47E-06,Jy,2004SDSS2.C...0000:,based on count statistics only,3585       A,Broad-band measurement,329.206299 -7.759075 (J2000),Modelled datum,SDSS flags: PEAKCENTER - used brightest pixel as centroid; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;,From new raw data
12,u (SDSS CModel) AB,18.614,,asinh mag,836000000000000.0,0.00013,,,,,,Jy,2004SDSS2.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,329.206299 -7.759075 (J2000),Modelled datum,SDSS flags: PEAKCENTER - used brightest pixel as centroid; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;,From new raw data
13,u (SDSS Petrosian)AB,18.72,+/-0.202,asinh mag,836000000000000.0,0.000122,2.28e-05,2.28e-05,,,+/-2.28E-05,Jy,2004SDSS2.C...0000:,based on count statistics only,3585       A,Broad-band measurement,329.206299 -7.759075 (J2000),Modelled datum,"SDSS Petrosian Radius =    2.70"".         
SDSS flags: PEAKCENTER - used brightest pixel as centroid; BAD_RADIAL - some low S/N radial points; PETROFAINT - Petrosian radius measured at very low surface brightness; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding;",From new raw data
