No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,19.36,+/-0.0668896,mag,1950000000000000.0,6.55e-05,4.03e-06,4.03e-06,,,+/-4.03E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,154.48699276815 39.091132741144 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
2,FUV (GALEX) AB,20.7713,+/-0.138727,mag,1950000000000000.0,1.78e-05,2.28e-06,2.28e-06,,,+/-2.28E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,154.48699276815 39.091132741144 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
3,FUV (GALEX) AB,19.3245,+/-0.0410556,mag,1950000000000000.0,6.76e-05,2.56e-06,2.56e-06,,,+/-2.56E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,154.48714863807 39.091194151046 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
4,FUV (GALEX) AB,20.7354,+/-0.0831884,mag,1950000000000000.0,1.84e-05,1.41e-06,1.41e-06,,,+/-1.41E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,154.48714863807 39.091194151046 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
5,NUV (GALEX) AB,18.9885,+/-0.0363390,mag,1290000000000000.0,9.22e-05,3.08e-06,3.08e-06,,,+/-3.08E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,154.48699276815 39.091132741144 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,NUV (GALEX) AB,20.4829,+/-0.0693151,mag,1290000000000000.0,2.33e-05,1.49e-06,1.49e-06,,,+/-1.49E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,154.48699276815 39.091132741144 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,18.9355,+/-0.0220769,mag,1290000000000000.0,9.68e-05,1.97e-06,1.97e-06,,,+/-1.97E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,154.48714863807 39.091194151046 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,20.3371,+/-0.0392938,mag,1290000000000000.0,2.66e-05,9.63e-07,9.63e-07,,,+/-9.63E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,154.48714863807 39.091194151046 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,u (SDSS PSF) AB,19.712,+/-0.055,asinh mag,836000000000000.0,4.91e-05,2.49e-06,2.49e-06,,,+/-2.49E-06,Jy,2005SDSS4.C...0000:,based on count statistics only,3585       A,Broad-band measurement,154.487076 39.091103 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
10,u (SDSS Model) AB,18.212,+/-0.023,asinh mag,836000000000000.0,0.000196,4.08e-06,4.08e-06,,,+/-4.08E-06,Jy,2005SDSS4.C...0000:,based on count statistics only,3585       A,Broad-band measurement,154.487076 39.091103 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
11,u (SDSS CModel) AB,18.097,,asinh mag,836000000000000.0,0.000209,,,,,,Jy,2005SDSS4.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,154.487076 39.091103 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
12,u (SDSS Petrosian)AB,18.174,+/-0.061,asinh mag,836000000000000.0,0.000203,1.14e-05,1.14e-05,,,+/-1.14E-05,Jy,2005SDSS4.C...0000:,based on count statistics only,3585       A,Broad-band measurement,154.487076 39.091103 (J2000),Modelled datum,"SDSS Petrosian Radius =    3.72"".         
SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
