No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.3-8 keV (Chandra),1.03e-13,,erg/cm^2^/s,1e+18,1.03e-08,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,J (2MASS/FLWO),16.967,+/-0.308,mag,243000000000000.0,0.00026,7.39e-05,7.39e-05,,,+/-7.39E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
3,J (2MASS/FLWO),16.853,+/-0.169,mag,243000000000000.0,0.000289,4.5e-05,4.5e-05,,,+/-4.50E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
4,J (UKIRT),17.3,+/-0.14,mag,240000000000000.0,0.000192,2.65e-05,2.65e-05,,,+/-2.65E-05,Jy,1984MNRAS.211..833L,based on count statistics only,1.25       microns,Broad-band measurement,,Flux in fixed aperture,7.8 arcsec aperture,From new raw data; Extinction-corrected for Milky Way
5,H (UKIRT),16.88,+/-0.14,mag,184000000000000.0,0.000181,2.48e-05,2.48e-05,,,+/-2.48E-05,Jy,1984MNRAS.211..833L,based on count statistics only,1.63       microns,Broad-band measurement,,Flux in fixed aperture,7.8 arcsec aperture,From new raw data; Extinction-corrected for Milky Way
6,H (2MASS/FLWO),16.444,+/-0.573,mag,180000000000000.0,0.000271,0.000143,0.000143,,,+/-1.43E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
7,H (2MASS/FLWO),16.367,+/-0.285,mag,180000000000000.0,0.000291,7.63e-05,7.63e-05,,,+/-7.63E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
8,K_s (2MASS/FLWO),15.299,+/-0.268,mag,139000000000000.0,0.000506,0.000125,0.000125,,,+/-1.25E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
9,K_s (2MASS/FLWO),15.653,+/-0.218,mag,139000000000000.0,0.000365,7.34e-05,7.34e-05,,,+/-7.34E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
10,K (UKIRT),15.67,+/-0.10,mag,137000000000000.0,0.000354,3.42e-05,3.42e-05,,,+/-3.42E-05,Jy,1984MNRAS.211..833L,based on count statistics only,2.20       microns,Broad-band measurement,,Flux in fixed aperture,7.8 arcsec aperture,From new raw data; Extinction-corrected for Milky Way
