No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),1.74e-11,+/-0.35E-11,erg/s/cm^2^,2.53e+19,6.88e-08,1.38e-08,1.38e-08,,,+/-1.38E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,275.503 +64.353 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),1.99e-11,,erg/cm^2^/s,2.53e+19,7.87e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),1.89e-11,,erg/cm^2^/s,2.53e+19,7.47e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.126e-11,+/-19.32E-12,erg/s/cm^2^,2.53e+19,8.4e-08,7.64e-08,7.64e-08,,,+/-7.64E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,275.43458380 +64.32300026 (J2000),From fitting to map,S/N = 16.85 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),1.9e-11,+/-5.2e-12,erg/cm^2^/s,1.99e+19,9.55e-08,2.61e-08,2.61e-08,,,+/-2.61E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,275.437 +64.338 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),1.74e-11,,erg/cm^2^/s,1.98e+19,8.79e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,15-55 keV (Swift),1.1e-11,+/-0.21E-11,erg/cm^2^/s,8.46e+18,1.3e-07,2.48e-08,2.48e-08,,,+/-2.48E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,275.541 +64.361 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,20-50 keV (Swift),8e-12,,erg/cm^2^/s,8.46e+18,9.46e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,6.4 keV Fe K{alpha},22.8,,ergs cm^-2^ s^-1^,1.55e+18,22800000000.0,,,,,,Jy-Hz,2000MNRAS.316..234R,no uncertainty reported,6.4        keV,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Recalibrated data; OBJ_NAME modified from published value
10,2.0-10 keV (HEAO-1),2e-11,,ergs cm^-2^ s^-1^,1.45e+18,1.38e-06,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,18 21 57.3 +64 20 36 (J2000),Flux integrated from map,,Transformed from previously published data; NED frequencyassigned to mid-point of band in keV
11,2.0-10 keV (ASCA),1.6e-11,,ergs cm^-2^ s^-1^,1.45e+18,1.1e-06,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,18 21 57.3 +64 20 36 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,2-10 keV (XMM),1.24e-11,+/-0.05E-11,erg s^-1^ cm^-2^,1.45e+18,8.55e-07,3.45e-08,3.45e-08,,,+/-3.45E-08,Jy,2007A&A...461..917J,uncertainty,6   keV,Broad-band measurement,,From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
