No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),4.48e-11,+/-0.60E-11,erg/s/cm^2^,2.53e+19,1.77e-07,2.37e-08,2.37e-08,,,+/-2.37E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,091.494 -86.603 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),4.2e-11,,erg/cm^2^/s,2.53e+19,1.66e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,091.4235 -86.6319 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,14-195 keV (Swift),3.36e-11,,erg/cm^2^/s,2.53e+19,1.33e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),6.38e-11,,erg/cm^2^/s,2.53e+19,2.52e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,14-195 keV (Swift),3.089e-11,+/-28.75E-12,erg/s/cm^2^,2.53e+19,1.22e-07,1.14e-07,1.14e-07,,,+/-1.14E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,091.46719561 -86.60551850 (J2000),From fitting to map,S/N = 14.39 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
6,15-150 keV (Swift),2.2e-11,+/-1.3e-11,erg/cm^2^/s,1.99e+19,1.11e-07,6.53e-08,6.53e-08,,,+/-6.53E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,091.795 -86.587 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,14-150 keV (Swift),5.58e-11,,erg/cm^2^/s,1.98e+19,2.82e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,40-100 keV INTEGRAL,2.3,+/-0.7,milliCrab,1.69e+19,1.28e-07,3.9e-08,3.9e-08,,,+/-3.90E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,091.838 -86.571 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,40-100 keV INTEGRAL,1.01e-11,,erg/cm^2^/s,1.69e+19,5.98e-08,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,91.41292 -86.63111 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,17-60 keV (INTEGRAL),2.51e-11,+/-0.46E-11,erg/s/cm^2^,9.31e+18,2.7e-07,4.94e-08,4.94e-08,,,+/-4.94E-08,Jy,2008A&A...482..517S,uncertainty,38.50 keV,Broad-band measurement,,Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
11,15-55 keV (Swift),1.82e-11,+/-0.22E-11,erg/cm^2^/s,8.46e+18,2.15e-07,2.6e-08,2.6e-08,,,+/-2.60E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,090.749 -86.555 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,20-50 keV (Swift),1.99e-11,,erg/cm^2^/s,8.46e+18,2.35e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
