No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.61e-11,+/-0.45E-11,erg/s/cm^2^,2.53e+19,1.03e-07,1.78e-08,1.78e-08,,,+/-1.78E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,074.065 -75.538 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),2.13e-11,,erg/cm^2^/s,2.53e+19,8.42e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),2.29e-11,,erg/cm^2^/s,2.53e+19,9.05e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.449e-11,+/-22.04E-12,erg/s/cm^2^,2.53e+19,9.68e-08,8.71e-08,8.71e-08,,,+/-8.71E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,073.94971788 -75.51002550 (J2000),From fitting to map,S/N = 15.47 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),1.6e-11,+/-6.4e-12,erg/cm^2^/s,1.99e+19,8.04e-08,3.22e-08,3.22e-08,,,+/-3.22E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,073.941 -75.537 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),2e-11,,erg/cm^2^/s,1.98e+19,1.01e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,40-100 keV INTEGRAL,1.3,+/-0.6,milliCrab,1.69e+19,7.25e-08,3.34e-08,3.34e-08,,,+/-3.34E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,073.918 -75.602 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,40-100 keV INTEGRAL,1.97e-11,,erg/cm^2^/s,1.69e+19,1.17e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,73.99834 -75.54056 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,20-100 keV INTEGRAL,1.53e-11,+/-5.1E-12,erg cm^-2^ s^-1^,1.45e+19,1.06e-07,3.52e-08,3.52e-08,,,+/-3.52E-08,Jy,2006A&A...448..873G,uncertainty,60   keV,Broad-band measurement,,Flux integrated from map,2003 observations,From new raw data; NED frequency assigned to mid-point ofband in keV
10,17-60 keV (INTEGRAL),1.94e-11,+/-0.27E-11,erg s^-1^ cm^-2^,9.31e+18,2.08e-07,2.9e-08,2.9e-08,,,+/-2.90E-08,Jy,2007A&A...462...57S,uncertainty,38.50   keV,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
11,15-55 keV (Swift),1.27e-11,+/-0.18E-11,erg/cm^2^/s,8.46e+18,1.5e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,073.841 -75.477 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,20-50 keV (Swift),7.6e-12,,erg/cm^2^/s,8.46e+18,8.98e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
13,20-40 keV (INTEGRAL),1.7,+/-0.3,milliCrab,7.25e+18,1.78e-07,3.13e-08,3.13e-08,,,+/-3.13E-08,Jy,2007ApJS..170..175B,uncertainty,30   keV,Broad-band measurement,073.918 -75.602 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
14,20-40 keV (INTEGRAL),1.31e-11,,erg/cm^2^/s,7.25e+18,1.81e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,30.00 keV,Broad-band measurement,73.99834 -75.54056 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
