No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),7.37e-11,+/-0.54E-11,erg/s/cm^2^,2.53e+19,2.91e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,024.688 -39.951 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),4.9e-11,,erg/cm^2^/s,2.53e+19,1.94e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,024.6548 -40.0114 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,14-195 keV (Swift),9.82e-11,,erg/cm^2^/s,2.53e+19,3.88e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),6.87e-11,,erg/cm^2^/s,2.53e+19,2.72e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,14-195 keV (Swift),6.737e-11,+/-65.50E-12,erg/s/cm^2^,2.53e+19,2.66e-07,2.59e-07,2.59e-07,,,+/-2.59E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,024.65968523 -40.00471740 (J2000),From fitting to map,S/N = 36.50 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
6,15-150 keV (Swift),5.8e-11,+/-3.4e-12,erg/cm^2^/s,1.99e+19,2.91e-07,1.71e-08,1.71e-08,,,+/-1.71E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,024.677 -40.006 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,14-150 keV (Swift),8.59e-11,,erg/cm^2^/s,1.98e+19,4.34e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,40-100 keV INTEGRAL,6.8e-11,,erg/cm^2^/s,1.69e+19,4.02e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,24.65492 -40.01131 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,17-60 keV (INTEGRAL),4.41e-11,+/-0.94E-11,erg s^-1^ cm^-2^,9.31e+18,4.74e-07,1.01e-07,1.01e-07,,,+/-1.01E-07,Jy,2007A&A...462...57S,uncertainty,38.50   keV,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
10,15-55 keV (Swift),3.17e-11,+/-0.18E-11,erg/cm^2^/s,8.46e+18,3.75e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,024.674 -40.008 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
