No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.93e-11,+/-0.54E-11,erg/s/cm^2^,2.53e+19,1.16e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,279.225 -59.403 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),1.42e-11,,erg/cm^2^/s,2.53e+19,5.61e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),1.59e-11,,erg/cm^2^/s,2.53e+19,6.28e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),1.388e-11,+/-12.33E-12,erg/s/cm^2^,2.53e+19,5.49e-08,4.87e-08,4.87e-08,,,+/-4.87E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,279.26130220 -59.42221090 (J2000),From fitting to map,S/N = 8.23 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),1.2e-11,+/-6.6e-12,erg/cm^2^/s,1.99e+19,6.03e-08,3.32e-08,3.32e-08,,,+/-3.32E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,279.228 -59.438 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),1.39e-11,,erg/cm^2^/s,1.98e+19,7.02e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,15-55 keV (Swift),1.79e-11,+/-0.28E-11,erg/cm^2^/s,8.46e+18,2.12e-07,3.31e-08,3.31e-08,,,+/-3.31E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,279.284 -59.368 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,20-50 keV (Swift),5.9e-12,,erg/cm^2^/s,8.46e+18,6.97e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,10-50 keV (Suzaku),1.44,,log(erg/s/cm^2^),7.25e+18,3.8e-07,,,,,,Jy,2011ApJ...727...19F,no uncertainty reported,30.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,2.0-10 keV (HEAO-1),3.6e-11,,ergs cm^-2^ s^-1^,1.45e+18,2.48e-06,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,18 36 58.4 -59 24 07 (J2000),Flux integrated from map,,Transformed from previously published data; NED frequencyassigned to mid-point of band in keV
11,2.0-10 keV (ASCA),1.3e-11,,ergs cm^-2^ s^-1^,1.45e+18,8.97e-07,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,18 36 58.4 -59 24 07 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,2-10 keV (ASCA),2.521e-11,,ergs s^-1^ cm^-2^,1.45e+18,1.74e-06,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,279.2438 -59.3904 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
13,2-10 keV (RXTE),2.4e-11,,erg/cm^2^/s,1.45e+18,1.66e-06,,,,,,Jy,2004MNRAS.347..411I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
14,2-10 keV (RXTE),1.8e-11,,erg/cm^2^/s,1.45e+18,1.24e-06,,,,,,Jy,2004MNRAS.347..411I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
