No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),7.61e-11,+/-0.55E-11,erg/s/cm^2^,2.53e+19,3.01e-07,2.17e-08,2.17e-08,,,+/-2.17E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,103.020 +74.457 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),4.37e-11,,erg/cm^2^/s,2.53e+19,1.73e-07,,,,,,Jy,2011A&A...531A.131G,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data
3,14-195 keV (XMM),-10.3,,log(erg/s/cm^2^),2.53e+19,1.98e-07,,,,,,Jy,2012ApJ...745..107W,no uncertainty reported,104.50 keV,Broad-band measurement,06 52 12.2 +74 25 37.6 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),6.6e-11,,erg/cm^2^/s,2.53e+19,2.61e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,103.0510 +74.4271 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,14-195 keV (Swift),6.06e-11,,erg/cm^2^/s,2.53e+19,2.4e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,14-195 keV (Swift),5.82e-11,,erg/cm^2^/s,2.53e+19,2.3e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,14-195 keV (Swift),5.67e-11,+/-53.80E-12,erg/s/cm^2^,2.53e+19,2.24e-07,2.13e-07,2.13e-07,,,+/-2.13E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,103.08012030 +74.43489696 (J2000),From fitting to map,S/N = 31.79 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
8,15-150 keV (Swift),4.9e-11,+/-3.5e-12,erg/cm^2^/s,1.99e+19,2.46e-07,1.76e-08,1.76e-08,,,+/-1.76E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,103.025 +74.428 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,14-150 keV (Swift),5.09e-11,,erg/cm^2^/s,1.98e+19,2.57e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,20-100 keV(INTEGRAL),4.6e-11,+/-10  %,erg/s/cm^2^,1.93e+19,2.38e-07,2.38e-08,2.38e-08,,,+/-2.38E-08,Jy,2005A&A...429..427P,uncertainty,60         keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
