No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,15-150 keV (Swift),2.9e-11,+/-6.5e-12,erg/cm^2^/s,1.99e+19,1.46e-07,3.27e-08,3.27e-08,,,+/-3.27E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,224.447 -43.141 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,40-100 keV INTEGRAL,1.1,+/-0.3,milliCrab,1.69e+19,6.13e-08,1.67e-08,1.67e-08,,,+/-1.67E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,224.391 -43.156 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,20-100 keV INTEGRAL,2.9e-11,,erg/cm^2^/s,1.45e+19,2e-07,,,,,,Jy,2008A&A...483..749D,no uncertainty reported,60.00 keV,Broad-band measurement,14 57 38.40 -43 07 44.4 (J2000),Modelled datum,Model : absorbed PL; see text,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,20-100 keV INTEGRAL,2.247e-11,,erg/s/cm^2^,1.45e+19,1.55e-07,,,,,,Jy,2009MNRAS.399..944M,no uncertainty reported,60.00 keV,Broad-band measurement,14 57 41.18 -43 07 55.6 (J2000),Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
5,20-40 keV (INTEGRAL),1.6,+/-0.2,milliCrab,7.25e+18,1.67e-07,2.09e-08,2.09e-08,,,+/-2.09E-08,Jy,2007ApJS..170..175B,uncertainty,30   keV,Broad-band measurement,224.391 -43.156 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,2-10 keV (INTEGRAL),5.8e-12,,erg/cm^2^/s,1.45e+18,4e-07,,,,,,Jy,2008A&A...483..749D,no uncertainty reported,6.00 keV,Broad-band measurement,14 57 38.40 -43 07 44.4 (J2000),Modelled datum,Model : absorbed PL; see text,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
7,2-10 keV (XMM),1.698e-12,+/-30.9E-14,erg/cm^2^/s,1.45e+18,1.17e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2011A&A...535A..93P,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,0.5-2 keV (XMM),9.4e-14,+/-1.8E-14,erg/cm^2^/s,3.02e+17,3.11e-08,5.96e-09,5.96e-09,,,+/-5.96E-09,Jy,2011A&A...535A..93P,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,[Ne V] 3346,,<25.9E-15,erg/cm^2^/s,896000000000000.0,,,,2590000000.0,,<2.59E+09,Jy-Hz,2017ApJ...850...74K,3 sigma,3346 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
10,[Ne V] 3446,,<70.9E-15,erg/cm^2^/s,875000000000000.0,,,,7090000000.0,,<7.09E+09,Jy-Hz,2017ApJ...850...74K,3 sigma,3426 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
