No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,5-10 keV (XMM),3.7e-13,,erg cm^-2^ s^-1^,1.81e+18,2.04e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,7.5   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),8.2e-13,,erg cm^-2^ s^-1^,1.45e+18,5.66e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV (XMM),7.5e-13,,ergs/s/cm^2^,1.45e+18,5.17e-08,,,,,,Jy,2007ApJ...657..167S,no uncertainty reported,6   keV,Broad-band measurement,,From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (Suzaku),1.84e-12,+/-1.6E-13,erg/cm^2^/s,1.45e+18,1.27e-07,1.1e-08,1.1e-08,,,+/-1.10E-08,Jy,2011ApJ...734L..16H,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,2-10 keV (XMM),7.7e-13,+/-1.1E-13,erg/cm^2^/s,1.45e+18,5.31e-08,7.59e-09,7.59e-09,,,+/-7.59E-09,Jy,2011ApJ...734L..16H,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,2-10 keV (XMM),7.8e-13,,erg/s/cm^2^,1.45e+18,5.38e-08,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,027.515 -07.428 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,0.2-2 keV (ROSAT),6.975e-13,+/-6.2 %,erg/s/cm^2^,3.15e+17,2.21e-07,1.38e-08,1.38e-08,,,+/-1.38E-08,Jy,2000WGA...C...0000W,mean error,1.3       keV,Broad-band measurement,015002.8 -072549. (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,0.5-2 keV (XMM),3e-13,,erg cm^-2^ s^-1^,3.02e+17,9.93e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,1.25   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,0.5-2 keV (Suzaku),5.67e-13,+/-0.60E-13,erg/cm^2^/s,3.02e+17,1.88e-07,1.99e-08,1.99e-08,,,+/-1.99E-08,Jy,2011ApJ...734L..16H,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,0.5-2 keV (XMM),2.77e-13,+/-0.33E-13,erg/cm^2^/s,3.02e+17,9.17e-08,1.09e-08,1.09e-08,,,+/-1.09E-08,Jy,2011ApJ...734L..16H,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,FUV (GALEX) AB,,>21.5944,mag,1950000000000000.0,,,,,8.36e-06,<8.36E-06,Jy,2012GASC..C...0000S,3 sigma,1538.6     A,Broad-band measurement,27.511292329672 -7.429791133085 (J2000),Flux integrated from map,upper limit inside NUV Kron aperture,From new raw data
12,FUV (GALEX) AB,23.0566,+/-0.665060,mag,1950000000000000.0,2.17e-06,1.33e-06,1.33e-06,,,+/-1.33E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,27.511292329672 -7.429791133085 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
13,NUV (GALEX) AB,19.9062,+/-0.0924739,mag,1290000000000000.0,3.96e-05,3.37e-06,3.37e-06,,,+/-3.37E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,27.511292329672 -7.429791133085 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
14,NUV (GALEX) AB,20.6555,+/-0.118995,mag,1290000000000000.0,1.99e-05,2.18e-06,2.18e-06,,,+/-2.18E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,27.511292329672 -7.429791133085 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
15,103a-O (POSS-I O),17.67,,mag,740000000000000.0,0.000326,,,,,,Jy,2006ApJ...639...37K,no uncertainty reported,4050   A,Broad-band measurement,015002.7 -072548 (J2000),Flux integrated from map,,Averaged new and previously published data
16,b_J,17.13,+/-0.12,mag,641000000000000.0,0.000555,6.49e-05,6.49e-05,,,+/-6.49E-05,Jy,1990MNRAS.243..692M,rms uncertainty,4680      A,Broad-band measurement,014732.95 -074039.8 (B1950),Flux integrated from map,,From new raw data
17,J (2MASS/CTIO),13.932,+/-0.04,mag,243000000000000.0,0.00426,0.000157,0.000157,,,+/-1.57E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
18,J (2MASS/CTIO),13.816,+/-0.027,mag,243000000000000.0,0.00474,0.000118,0.000118,,,+/-1.18E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
19,J_total,14.05,,mag,240000000000000.0,0.00365,,,,,,Jy,1996MNRAS.280..579H,no uncertainty reported,1.25       microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Caltech JHKL filters assumed
