No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (ASCA),1.8e-12,,ergs/s/cm^2^,1.45e+18,1.24e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,206.8838 +12.2912 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
2,2-10 keV (Suzaku),9.53e-13,+/-3.17E-13,erg/s/cm^2^,1.45e+18,6.57e-08,2.19e-08,2.19e-08,,,+/-2.19E-08,Jy,2009ApJ...691..261T,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,0.3-8 keV (Chandra),3.56e-13,,erg/cm^2^/s,1e+18,3.56e-08,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,0.7-7 keV (ASCA),7.5e-13,,ergs/s/cm^2^,9.31e+17,8.06e-08,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,206.8838 +12.2912 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
5,0.7-2 keV (ASCA),1e-14,,ergs/s/cm^2^,3.26e+17,3.07e-09,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,206.8838 +12.2912 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
6,0.5-2 keV (Suzaku),3.7e-14,+/-0.09E-13,erg/s/cm^2^,3.02e+17,1.23e-08,2.98e-09,2.98e-09,,,+/-2.98E-09,Jy,2009ApJ...691..261T,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,FUV (GALEX) AB,,>20.7739,mag,1950000000000000.0,,,,,1.78e-05,<1.78E-05,Jy,2012GASC..C...0000S,3 sigma,1538.6     A,Broad-band measurement,206.88856921569 12.289697604904 (J2000),Flux integrated from map,upper limit inside NUV Kron aperture,From new raw data
8,FUV (GALEX) AB,24.6652,+/-3.21064,mag,1950000000000000.0,4.94e-07,1.46e-06,1.46e-06,,,+/-1.46E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,206.88856921569 12.289697604904 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,NUV (GALEX) AB,19.6926,+/-0.105976,mag,1290000000000000.0,4.82e-05,4.7e-06,4.7e-06,,,+/-4.70E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,206.88856921569 12.289697604904 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
10,NUV (GALEX) AB,21.4617,+/-0.189159,mag,1290000000000000.0,9.45e-06,1.65e-06,1.65e-06,,,+/-1.65E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,206.88856921569 12.289697604904 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
