No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV,1.8e-14,,W/m^2^,1.45e+18,1.24e-06,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Observed flux,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
2,[O III] 5007 (SDSS),3.5e-15,,erg/s/cm^2^,599000000000000.0,350000000.0,,,,,,Jy-Hz,2010ApJ...720..786L,no uncertainty reported,5007 A,Line measurement; flux integrated over line; lines measured in emission,04 40 54.9 -08 22 22 (J2000),Flux integrated from map,,Averaged from previously published data
3,J (2MASS/CTIO),13.068,+/-0.014,mag,243000000000000.0,0.00945,0.000122,0.000122,,,+/-1.22E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
4,J (2MASS/CTIO),13.609,+/-0.074,mag,243000000000000.0,0.00574,0.000391,0.000391,,,+/-3.91E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
5,J (ESO/SPM),16.3,+/-1.09,milliJy,241000000000000.0,0.0163,0.00109,0.00109,,,+/-1.09E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.244      microns,Broad-band measurement,043831.1 -082805 (B1950),Flux in fixed aperture,"30"" aperture",From new raw data
6,J,12.471,+/-0.025,mag,240000000000000.0,0.0164,0.000381,0.000381,,,+/-3.81E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,25.8 x   17.0 arcsec integration area.,From new raw data
7,J,12.19,+/-0.029,mag,240000000000000.0,0.0212,0.000573,0.000573,,,+/-5.73E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,,From new raw data
8,J_14arcsec (2MASS),12.704,+/-0.014,mag,240000000000000.0,0.0132,0.000171,0.000171,,,+/-1.71E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
9,J_total,12.91,,mag,240000000000000.0,0.0104,,,,,,Jy,1996MNRAS.280..579H,no uncertainty reported,1.25       microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Caltech JHKL filters assumed
10,H (ESO/SPM),22.8,+/-1.52,milliJy,184000000000000.0,0.0228,0.00152,0.00152,,,+/-1.52E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.634      microns,Broad-band measurement,043831.1 -082805 (B1950),Flux in fixed aperture,"30"" aperture",From new raw data
11,H,11.656,+/-0.031,mag,182000000000000.0,0.0223,0.000645,0.000645,,,+/-6.45E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,25.8 x   17.0 arcsec integration area.,From new raw data
12,H,11.377,+/-0.034,mag,182000000000000.0,0.0288,0.000916,0.000916,,,+/-9.16E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,,From new raw data
13,H_14arcsec (2MASS),11.849,+/-0.015,mag,182000000000000.0,0.0187,0.000259,0.000259,,,+/-2.59E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
14,H_total,12.04,,mag,182000000000000.0,0.015,,,,,,Jy,1996MNRAS.280..579H,no uncertainty reported,1.65       microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Caltech JHKL filters assumed
15,H (2MASS/CTIO),12.582,+/-0.083,mag,180000000000000.0,0.0095,0.000726,0.000726,,,+/-7.26E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
16,H (2MASS/CTIO),12.134,+/-0.009,mag,180000000000000.0,0.0143,0.000119,0.000119,,,+/-1.19E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
17,K_s (2MASS/CTIO),11.325,+/-0.014,mag,139000000000000.0,0.0197,0.000254,0.000254,,,+/-2.54E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
18,K_s (2MASS/CTIO),11.502,+/-0.039,mag,139000000000000.0,0.0167,0.000601,0.000601,,,+/-6.01E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
19,K_s,11.017,+/-0.040,mag,138000000000000.0,0.0261,0.000981,0.000981,,,+/-9.81E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,25.8 x   17.0 arcsec integration area.,From new raw data
20,K_s,10.92,+/-0.041,mag,138000000000000.0,0.0286,0.0011,0.0011,,,+/-1.10E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,,From new raw data
21,K_s_14arcsec (2MASS),11.129,+/-0.015,mag,138000000000000.0,0.0236,0.000328,0.000328,,,+/-3.28E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,044054.95 -082222.1 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
22,K (ESO/SPM),27.2,+/-1.81,milliJy,137000000000000.0,0.0272,0.00181,0.00181,,,+/-1.81E-03,Jy,1995ApJ...453..616S,rms uncertainty,2.194      microns,Broad-band measurement,043831.1 -082805 (B1950),Flux in fixed aperture,"30"" aperture",From new raw data
23,K_total,11.42,,mag,136000000000000.0,0.0168,,,,,,Jy,1996MNRAS.280..579H,no uncertainty reported,2.2        microns,Broad-band measurement,,Flux integrated from map,,From new raw data; Standard Caltech JHKL filters assumed
24,W1 (WISE),9.399,+/-0.023,mag,89400000000000.0,0.0538,0.00114,0.00114,,,+/-1.14E-03,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
25,W1 (WISE),9.416,+/-0.005,mag,89400000000000.0,0.053,0.000244,0.000244,,,+/-2.44E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
