No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.3-8 keV (Chandra),1.87e-14,,erg/cm^2^/s,1e+18,1.87e-09,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,1450 A,6e-15,+/-0.4E-14,ergs/cm^2^/s/A,2070000000000000.0,0.000421,0.000281,0.000281,,,+/-2.81E-04,Jy,2005ApJ...629...61K,uncertainty,1450   A,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
3,B Johnson (Lowell),15.43,,mag,681000000000000.0,0.00287,,,,,,Jy,2007AJ....133..303C,no uncertainty reported,4400   A,Broad-band measurement,17 01 24.8 +51 49 20 (J2000),Flux in fixed aperture,Microvariable,From new raw data
4,H{beta},1.888e-13,+/-0.99E-14,ergs/s/cm^2^,617000000000000.0,18900000000.0,990000000.0,990000000.0,,,+/-9.90E+08,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,17 00 13.4 +51 53 37 (J2000),Total flux,,From new raw data
5,5100 A,2.2e-15,+/-1.5E-16,ergs/cm^2^/s/A,588000000000000.0,0.00191,0.00013,0.00013,,,+/-1.30E-04,Jy,2000ApJ...533..631K,rms uncertainty,5100   A,Broad-band measurement,17 00 13.4 +51 53 37 (J2000),Total flux,,From new raw data
6,V (Johnson),17.67,,mag,542000000000000.0,0.000311,,,,,,Jy,2009ApJ...694L.166B,no uncertainty reported,5530 A,Broad-band measurement,,Modelled datum,Bulge magnitude,From new raw data
7,1.27 microns,0.65,+/-0.03,log milliJy,236000000000000.0,0.00447,0.000298,0.000298,,,+/-2.98E-04,Jy,1987ApJS...63..615N,estimated error,1.27       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 May 12",From new raw data; Standard Caltech JHKL filters assumed
8,1.27 microns,0.63,+/-0.03,log milliJy,236000000000000.0,0.00427,0.000285,0.000285,,,+/-2.85E-04,Jy,1987ApJS...63..615N,estimated error,1.27       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 May 13",From new raw data; Standard Caltech JHKL filters assumed
9,H (GeminiN),6.19,+/-5   %,milliJy,183000000000000.0,0.00619,0.00031,0.00031,,,+/-3.10E-04,Jy,2006ApJS..166...89G,typical accuracy,1.635   microns,Broad-band measurement,17 01 24.87 +51 49 21.0 (J2000),Flux in fixed aperture,"5.5"" diameter aperture",From new raw data
10,1.65 microns,0.82,+/-0.03,log milliJy,182000000000000.0,0.00661,0.000441,0.000441,,,+/-4.41E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 May 12",From new raw data; Standard Caltech JHKL filters assumed
11,1.65 microns,0.81,+/-0.03,log milliJy,182000000000000.0,0.00646,0.000431,0.000431,,,+/-4.31E-04,Jy,1987ApJS...63..615N,estimated error,1.65       microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 May 13",From new raw data; Standard Caltech JHKL filters assumed
12,K' (GeminiN),9.38,+/-5   %,milliJy,141000000000000.0,0.00938,0.000469,0.000469,,,+/-4.69E-04,Jy,2006ApJS..166...89G,typical accuracy,2.120   microns,Broad-band measurement,17 01 24.87 +51 49 21.0 (J2000),Flux in fixed aperture,"5.5"" diameter aperture",From new raw data
13,2.2 microns,1.11,+/-0.03,log milliJy,136000000000000.0,0.0129,0.000857,0.000857,,,+/-8.57E-04,Jy,1987ApJS...63..615N,estimated error,2.2        microns,Broad-band measurement,,Flux in fixed aperture,"5"".5 aperture, 1981 May 13",From new raw data; Standard Caltech JHKL filters assumed
