No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),1.5e-13,,erg/cm^2^/s,1.45e+18,1.03e-08,,,,,,Jy,2007MNRAS.382L...1N,no uncertainty reported,6 keV,Broad-band measurement,,Modelled datum,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.5-10 keV (XMM),-12.8,,log(erg/cm^2^/s),1.27e+18,1.25e-08,,,,,,Jy,2007A&A...471..775R,no uncertainty reported,5.25 keV,Broad-band measurement,00 20 34.7 -70 55 27 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,0.3-8 keV (Chandra),6.18e-14,,erg/cm^2^/s,1e+18,6.18e-09,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,0.5-2 keV (XMM),7e-15,,erg/cm^2^/s,3.02e+17,2.32e-09,,,,,,Jy,2007MNRAS.382L...1N,no uncertainty reported,1.25 keV,Broad-band measurement,,Modelled datum,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
5,FUV (GALEX) AB,21.3055,+/-0.330300,mag,1950000000000000.0,1.09e-05,3.32e-06,3.32e-06,,,+/-3.32E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,5.1458081690598 -70.92384711951 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,FUV (GALEX) AB,22.9659,+/-0.724178,mag,1950000000000000.0,2.36e-06,1.58e-06,1.58e-06,,,+/-1.58E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,5.1458081690598 -70.92384711951 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,21.3036,+/-0.215471,mag,1290000000000000.0,1.09e-05,2.17e-06,2.17e-06,,,+/-2.17E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,5.1458081690598 -70.92384711951 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,21.7149,+/-0.221535,mag,1290000000000000.0,7.48e-06,1.53e-06,1.53e-06,,,+/-1.53E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,5.1458081690598 -70.92384711951 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,[Ne V] 3426 (SSO),,<1.18E-15,erg s^-1^ cm^-2^,875000000000000.0,,,,118000000.0,,<1.18E+08,Jy-Hz,2006AJ....132...27B,no uncertainty reported,3426   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
10,[O II] 3727 (SSO),6.85e-15,,erg s^-1^ cm^-2^,804000000000000.0,685000000.0,,,,,,Jy-Hz,2006AJ....132...27B,no uncertainty reported,3727   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
