No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),1.25e-11,,erg/cm^2^/s,2.53e+19,4.94e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,14-195 keV (Swift),1.27e-11,,erg/cm^2^/s,2.53e+19,5.02e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),1.401e-11,+/-11.93E-12,erg/s/cm^2^,2.53e+19,5.54e-08,4.72e-08,4.72e-08,,,+/-4.72E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,007.28848422 +13.29216098 (J2000),From fitting to map,S/N = 8.37 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
4,15-150 keV (Swift),9.7e-12,+/-5.8e-12,erg/cm^2^/s,1.99e+19,4.87e-08,2.91e-08,2.91e-08,,,+/-2.91E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,007.303 +13.265 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,14-150 keV (Swift),1.11e-11,,erg/cm^2^/s,1.98e+19,5.61e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,20-50 keV (Swift),5e-12,,erg/cm^2^/s,8.46e+18,5.91e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,2-10 keV,6.33e-12,+/-0.13E-12,ergs cm^-2^ s^-1^,1.45e+18,4.37e-07,8.97e-09,8.97e-09,,,+/-8.97E-09,Jy,2005ApJ...629...61K,uncertainty,6   keV,Broad-band measurement,,Flux integrated from map,Flux from 1997MNRAS.288..920L,Averaged from previously published data; Extinction-correctedfor Milky Way
8,2-10 keV (ASCA),9.5e-12,,ergs s^-1^ cm^-2^,1.45e+18,6.55e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,7.3102 13.2632 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
9,2-10 keV (Swift),4.6e-12,,erg/cm^2^/s,1.45e+18,3.17e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,2-10 keV (Swift),4.6e-12,,erg/cm^2^/s,1.45e+18,3.17e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,4 keV (Einstein),0.43,,microJy,9.67e+17,4.3e-07,,,,,,Jy,1994ApJS...95....1E,no uncertainty reported,4   keV,Broad-band measurement,,Flux integrated from map,From 1992ApJ...384...62C,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
12,0.7-7 keV (ASCA),1.3e-11,,ergs s^-1^ cm^-2^,9.31e+17,1.4e-06,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,3.85   keV,Broad-band measurement,7.3102 13.2632 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
13,2 keV,-29.21,,log(erg/cm^2^/s/Hz),4.84e+17,6.17e-07,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2   keV,Broad-band measurement,00 29 13.8 +13 16 05 (J2000),Flux integrated from map,,Averaged new and previously published data
14,0.3-3.5 keV Einstein,0.83,+/-0.15,erg cm^-2^ s^-1^,4.59e+17,1.81e-06,2.51e-07,2.51e-07,,,+/-2.51E-07,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
15,0.3-3.5 keV Einstein,0.69,+/-0.03,erg cm^-2^ s^-1^,4.59e+17,1.5e-06,4.16e-08,4.16e-08,,,+/-4.16E-08,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
