No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,u (SDSS PSF) AB,20.17,+/-0.059,asinh mag,836000000000000.0,3.22e-05,1.75e-06,1.75e-06,,,+/-1.75E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,"SDSS flags: CANONICAL_CENTER - used canonical, not local, center; CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; DEBLEND_NOPEAK - object has no detected peak; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
2,u (SDSS CModel) AB,19.018,,asinh mag,836000000000000.0,9.31e-05,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,"SDSS flags: CANONICAL_CENTER - used canonical, not local, center; CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; DEBLEND_NOPEAK - object has no detected peak; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
3,u (SDSS Model) AB,19.285,+/-0.039,asinh mag,836000000000000.0,7.28e-05,2.61e-06,2.61e-06,,,+/-2.61E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,"SDSS flags: CANONICAL_CENTER - used canonical, not local, center; CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; DEBLEND_NOPEAK - object has no detected peak; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;",From new raw data
4,g (SDSS PSF) AB,18.899,+/-0.020,asinh mag,617000000000000.0,0.0001,1.84e-06,1.84e-06,,,+/-1.84E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
5,g (SDSS CModel) AB,17.82,,asinh mag,617000000000000.0,0.00027,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,4858       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
6,g (SDSS Model) AB,17.984,+/-0.006,asinh mag,617000000000000.0,0.000233,1.28e-06,1.28e-06,,,+/-1.28E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
7,r (SDSS PSF) AB,18.115,+/-0.017,asinh mag,477000000000000.0,0.000206,3.23e-06,3.23e-06,,,+/-3.23E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
8,r (SDSS CModel) AB,17.192,,asinh mag,477000000000000.0,0.000482,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,6290       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
9,r (SDSS Model) AB,17.248,+/-0.005,asinh mag,477000000000000.0,0.000458,2.11e-06,2.11e-06,,,+/-2.11E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
10,i (SDSS PSF) AB,17.604,+/-0.017,asinh mag,389000000000000.0,0.00033,5.17e-06,5.17e-06,,,+/-5.17E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
11,i (SDSS CModel) AB,16.727,,asinh mag,389000000000000.0,0.00074,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,7706       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
12,i (SDSS Model) AB,16.84,+/-0.005,asinh mag,389000000000000.0,0.000667,3.07e-06,3.07e-06,,,+/-3.07E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
13,z (SDSS PSF) AB,17.319,+/-0.018,asinh mag,325000000000000.0,0.000421,6.98e-06,6.98e-06,,,+/-6.98E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
14,z (SDSS CModel) AB,16.484,,asinh mag,325000000000000.0,0.000909,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
15,z (SDSS Model) AB,16.578,+/-0.010,asinh mag,325000000000000.0,0.000833,7.68e-06,7.68e-06,,,+/-7.68E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,225.6331255076 14.3598209634 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
16,J (2MASS/FLWO),15.029,+/-0.049,mag,243000000000000.0,0.00155,7e-05,7e-05,,,+/-7.00E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
17,J (2MASS/FLWO),15.328,+/-0.069,mag,243000000000000.0,0.00118,7.49e-05,7.49e-05,,,+/-7.49E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
18,J,15.165,+/-0.063,mag,240000000000000.0,0.00137,8.17e-05,8.17e-05,,,+/-8.17E-05,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,11.0 x    5.1 arcsec integration area.,From new raw data
19,J,14.842,+/-0.091,mag,240000000000000.0,0.00184,0.000161,0.000161,,,+/-1.61E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,,From new raw data
20,J_14arcsec (2MASS),14.834,+/-0.087,mag,240000000000000.0,0.00186,0.000155,0.000155,,,+/-1.55E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
21,H,14.391,+/-0.086,mag,182000000000000.0,0.00179,0.000148,0.000148,,,+/-1.48E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,11.0 x    5.1 arcsec integration area.,From new raw data
22,H,13.933,+/-0.122,mag,182000000000000.0,0.00274,0.000325,0.000325,,,+/-3.25E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,,From new raw data
23,H_14arcsec (2MASS),14.146,+/-0.130,mag,182000000000000.0,0.00225,0.000286,0.000286,,,+/-2.86E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
24,H (2MASS/FLWO),14.372,+/-0.128,mag,180000000000000.0,0.00183,0.000215,0.000215,,,+/-2.15E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
25,H (2MASS/FLWO),14.538,+/-0.068,mag,180000000000000.0,0.00157,9.81e-05,9.81e-05,,,+/-9.81E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
26,K_s (2MASS/FLWO),13.395,+/-0.039,mag,139000000000000.0,0.00292,0.000105,0.000105,,,+/-1.05E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
27,K_s (2MASS/FLWO),13.595,+/-0.045,mag,139000000000000.0,0.00243,0.000101,0.000101,,,+/-1.01E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
28,K_s,13.256,+/-0.094,mag,138000000000000.0,0.00332,0.000301,0.000301,,,+/-3.01E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,,From new raw data
29,K_s_14arcsec (2MASS),13.28,+/-0.082,mag,138000000000000.0,0.00325,0.000255,0.000255,,,+/-2.55E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
30,K_s,13.517,+/-0.054,mag,138000000000000.0,0.00261,0.000133,0.000133,,,+/-1.33E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,150231.93 +142135.3 (J2000),Flux in fixed aperture,11.0 x    5.1 arcsec integration area.,From new raw data
