No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,,>21.2339,mag,1950000000000000.0,,,,,1.17e-05,<1.17E-05,Jy,2012GASC..C...0000S,3 sigma,1538.6     A,Broad-band measurement,212.38039327297 5.1920101373506 (J2000),Flux integrated from map,upper limit inside NUV Kron aperture,From new raw data
2,FUV (GALEX) AB,22.0828,+/-0.711414,mag,1950000000000000.0,5.33e-06,3.49e-06,3.49e-06,,,+/-3.49E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,212.38039327297 5.1920101373506 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
3,FUV (GALEX) AB,21.0593,+/-0.0618013,mag,1950000000000000.0,1.37e-05,7.79e-07,7.79e-07,,,+/-7.79E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,212.38057353833 5.1922816883078 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
4,FUV (GALEX) AB,22.057,+/-0.0973424,mag,1950000000000000.0,5.46e-06,4.89e-07,4.89e-07,,,+/-4.89E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,212.38057353833 5.1922816883078 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
5,NUV (GALEX) AB,20.3448,+/-0.178777,mag,1290000000000000.0,2.64e-05,4.35e-06,4.35e-06,,,+/-4.35E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,212.38039327297 5.1920101373506 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,NUV (GALEX) AB,20.7206,+/-0.186909,mag,1290000000000000.0,1.87e-05,3.22e-06,3.22e-06,,,+/-3.22E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,212.38039327297 5.1920101373506 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,20.388,+/-0.0428318,mag,1290000000000000.0,2.54e-05,1e-06,1e-06,,,+/-1.00E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,212.38057353833 5.1922816883078 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,21.1443,+/-0.0378389,mag,1290000000000000.0,1.27e-05,4.41e-07,4.41e-07,,,+/-4.41E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,212.38057353833 5.1922816883078 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,u (SDSS PSF) AB,20.664,+/-0.069,asinh mag,836000000000000.0,2.04e-05,1.3e-06,1.3e-06,,,+/-1.30E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
10,u (SDSS CModel) AB,19.802,,asinh mag,836000000000000.0,4.52e-05,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,3585       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
11,u (SDSS Model) AB,19.868,+/-0.058,asinh mag,836000000000000.0,4.25e-05,2.27e-06,2.27e-06,,,+/-2.27E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,3585       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
12,g (SDSS PSF) AB,19.778,+/-0.019,asinh mag,617000000000000.0,4.45e-05,7.8e-07,7.8e-07,,,+/-7.80E-07,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
13,g (SDSS CModel) AB,18.812,,asinh mag,617000000000000.0,0.000108,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,4858       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
14,g (SDSS Model) AB,18.945,+/-0.012,asinh mag,617000000000000.0,9.59e-05,1.06e-06,1.06e-06,,,+/-1.06E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,4858       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
15,r (SDSS PSF) AB,19.066,+/-0.021,asinh mag,477000000000000.0,8.58e-05,1.66e-06,1.66e-06,,,+/-1.66E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
16,r (SDSS CModel) AB,18.091,,asinh mag,477000000000000.0,0.000211,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,6290       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
17,r (SDSS Model) AB,18.178,+/-0.009,asinh mag,477000000000000.0,0.000194,1.61e-06,1.61e-06,,,+/-1.61E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,6290       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r);,From new raw data
18,i (SDSS CModel) AB,17.744,,asinh mag,389000000000000.0,0.00029,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,7706       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
19,i (SDSS PSF) AB,18.751,+/-0.023,asinh mag,389000000000000.0,0.000115,2.43e-06,2.43e-06,,,+/-2.43E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
20,i (SDSS Model) AB,17.822,+/-0.010,asinh mag,389000000000000.0,0.00027,2.49e-06,2.49e-06,,,+/-2.49E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,7706       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
21,z (SDSS PSF) AB,18.344,+/-0.028,asinh mag,325000000000000.0,0.000164,4.23e-06,4.23e-06,,,+/-4.23E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
22,z (SDSS CModel) AB,17.466,,asinh mag,325000000000000.0,0.000368,,,,,,Jy,2007SDSS6.C...0000:,no uncertainty reported,9222       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
23,z (SDSS Model) AB,17.501,+/-0.021,asinh mag,325000000000000.0,0.000356,6.89e-06,6.89e-06,,,+/-6.89E-06,Jy,2007SDSS6.C...0000:,based on count statistics only,9222       A,Broad-band measurement,212.3802406186 5.1920260308 (J2000),Modelled datum,SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; BINNED1 - detected at >=5 sigma in original imaging frame; BINNED_CENTER - image was binned while centroiding; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children;,From new raw data
24,J (2MASS/CTIO),16.312,+/-0.19,mag,243000000000000.0,0.000476,8.33e-05,8.33e-05,,,+/-8.33E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
