No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (Chandra),-12.86,+/-0.07,log(erg/cm^2^/s),1.45e+18,9.52e-09,6.14e-10,6.14e-10,,,+/-6.14E-10,Jy,2006A&A...460...45G,uncertainty,6   keV,Broad-band measurement,12 50 53.1 +41 07 13.2 (J2000),Flux integrated from map,From spectral fitting,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,2-10 keV (ASCA),1.9e-12,,ergs/s/cm^2^,1.45e+18,1.31e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,192.7303 +41.1179 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
3,2-10 keV (Chandra),1.32e-13,+/-0.95E-13,erg/s/cm^2^,1.45e+18,9.1e-09,6.55e-09,6.55e-09,,,+/-6.55E-09,Jy,2009A&A...506.1107G,uncertainty,6.00 keV,Broad-band measurement,12 50 53.06 +41 07 13.6 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
4,2-10 keV (XMM),1.573e-12,+/-14.75E-13,erg/s/cm^2^,1.45e+18,1.08e-07,1.02e-07,1.02e-07,,,+/-1.02E-07,Jy,2009A&A...506.1107G,uncertainty,6.00 keV,Broad-band measurement,12 50 53.06 +41 07 13.6 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.3-8 keV (Chandra),5.766e-13,+/-0.94E-14,erg/s/cm^2^,1e+18,5.77e-08,9.4e-10,9.4e-10,,,+/-9.40E-10,Jy,2011ApJ...731...60G,uncertainty,4.15 keV,Broad-band measurement,12 50 53.0 +41 07 14 (J2000),Flux integrated from map,Nuclear flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.7-7 keV (ASCA),2.33e-12,,ergs/s/cm^2^,9.31e+17,2.5e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,192.7303 +41.1179 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
7,0.2-4 keV (EINSTEIN),2.042e-12,,ergs sec^-1^ cm^-2^,5.25e+17,3.89e-07,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,12 48 31.7 +41 23 31 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
8,0.7-2 keV (ASCA),9.3e-13,,ergs/s/cm^2^,3.26e+17,2.85e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,192.7303 +41.1179 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.5-2 keV (Chandra),1.17e-13,+/-0.83E-13,erg/s/cm^2^,3.02e+17,3.87e-08,2.75e-08,2.75e-08,,,+/-2.75E-08,Jy,2009A&A...506.1107G,uncertainty,1.25 keV,Broad-band measurement,12 50 53.06 +41 07 13.6 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
10,0.5-2 keV (XMM),1.098e-12,+/-8.11E-13,erg/s/cm^2^,3.02e+17,3.64e-07,2.69e-07,2.69e-07,,,+/-2.69E-07,Jy,2009A&A...506.1107G,uncertainty,1.25 keV,Broad-band measurement,12 50 53.06 +41 07 13.6 (J2000),Flux integrated from map,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
