No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.8e-11,+/-0.63E-11,erg/s/cm^2^,2.53e+19,1.11e-07,2.49e-08,2.49e-08,,,+/-2.49E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,184.862 +47.365 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),2.01e-11,,erg/cm^2^/s,2.53e+19,7.94e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),2.2e-11,,erg/cm^2^/s,2.53e+19,8.7e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.3e-11,+/-20.60E-12,erg/s/cm^2^,2.53e+19,9.09e-08,8.14e-08,8.14e-08,,,+/-8.14E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,184.75012160 +47.29111412 (J2000),From fitting to map,S/N = 14.44 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),1.8e-11,+/-9.5e-12,erg/cm^2^/s,1.99e+19,9.05e-08,4.77e-08,4.77e-08,,,+/-4.77E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,184.740 +47.310 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),1.76e-11,,erg/cm^2^/s,1.98e+19,8.89e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,40-100 keV INTEGRAL,1.1e-11,,erg/cm^2^/s,1.69e+19,6.51e-08,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,184.73970 47.30397 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,17-60 keV (INTEGRAL),1.9e-11,+/-0.56E-11,erg s^-1^ cm^-2^,9.31e+18,2.04e-07,6.02e-08,6.02e-08,,,+/-6.02E-08,Jy,2007A&A...462...57S,uncertainty,38.50   keV,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data; NED frequencyassigned to mid-point of band in keV
9,15-55 keV (Swift),9.6e-12,+/-0.15E-11,erg/cm^2^/s,8.46e+18,1.13e-07,1.77e-08,1.77e-08,,,+/-1.77E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,184.750 +47.252 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,20-50 keV (Swift),7.5e-12,,erg/cm^2^/s,8.46e+18,8.87e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,20-40 keV (INTEGRAL),1.1e-11,,erg/cm^2^/s,7.25e+18,1.52e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,30.00 keV,Broad-band measurement,184.73970 47.30397 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,10-50 keV (Suzaku),1.23,,log(erg/s/cm^2^),7.25e+18,2.34e-07,,,,,,Jy,2011ApJ...727...19F,no uncertainty reported,30.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
13,2-10 keV (XMM),8.37e-12,,erg cm^-2^ s^-1^,1.45e+18,5.77e-07,,,,,,Jy,2006A&A...446..459C,no uncertainty reported,6   keV,Broad-band measurement,12 18 57.5 +47 18 14.3 (J2000),Flux integrated from map,,From new raw data; Uncorrected for known sources in beam; NEDfrequency assigned to mid-point of band in keV
14,2-10 keV (Chandra),-10.91,,log(erg/cm^2^/s),1.45e+18,8.48e-07,,,,,,Jy,2006A&A...455..173P,no uncertainty reported,6   keV,Broad-band measurement,12 18 57.5 +47 18 14.3 (J2000),Flux integrated from map,Nuclear flux,From new raw data; Extinction-corrected for internal andMilky Way; NED frequency assigned to mid-point of band in keV
15,2-10 keV (ASCA),1.746e-11,,ergs/s/cm^2^,1.45e+18,1.2e-06,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,184.7357 +47.3062 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
16,2-10 keV (XMM),3.809e-12,,erg/s/cm^2^,1.45e+18,2.63e-07,,,,,,Jy,2009A&A...500..999A,no uncertainty reported,6.00 keV,Broad-band measurement,12 18 57.54 +47 18 14.30 (J2000),Modelled datum,Observed flux,From new raw data; NED frequency assigned to mid-point ofband in keV
17,2-10 keV (Chandra),9e-12,,erg/cm^2^/s,1.45e+18,6.21e-07,,,,,,Jy,2011ApJ...738..147S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
18,2-10 keV (Swift),6.8e-12,,erg/cm^2^/s,1.45e+18,4.69e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
