No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),9.1e-13,,erg/s/cm^2^,1.45e+18,6.28e-08,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,342.410 -19.272 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,J (ESO/SPM),20.0,+/-1.33,milliJy,250000000000000.0,0.02,0.00133,0.00133,,,+/-1.33E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.198      microns,Broad-band measurement,224657.4 -193212 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
3,J (2MASS/CTIO),13.007,+/-0.062,mag,243000000000000.0,0.00999,0.000571,0.000571,,,+/-5.71E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
4,J (2MASS/CTIO),12.546,+/-0.01,mag,243000000000000.0,0.0153,0.000141,0.000141,,,+/-1.41E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
5,J,11.945,+/-0.027,mag,240000000000000.0,0.0265,0.000668,0.000668,,,+/-6.68E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,33.6 x   22.2 arcsec integration area.,From new raw data
6,J,11.892,+/-0.030,mag,240000000000000.0,0.0279,0.000781,0.000781,,,+/-7.81E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,,From new raw data
7,J_14arcsec (2MASS),12.272,+/-0.012,mag,240000000000000.0,0.0196,0.000218,0.000218,,,+/-2.18E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
8,H (ESO/SPM),29.7,+/-1.98,milliJy,190000000000000.0,0.0297,0.00198,0.00198,,,+/-1.98E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.580      microns,Broad-band measurement,224657.4 -193212 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
9,H,11.148,+/-0.040,mag,182000000000000.0,0.0356,0.00133,0.00133,,,+/-1.33E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,33.6 x   22.2 arcsec integration area.,From new raw data
10,H,11.073,+/-0.040,mag,182000000000000.0,0.0381,0.00143,0.00143,,,+/-1.43E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,,From new raw data
11,H_14arcsec (2MASS),11.404,+/-0.014,mag,182000000000000.0,0.0281,0.000365,0.000365,,,+/-3.65E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
12,H (2MASS/CTIO),11.98,+/-0.07,mag,180000000000000.0,0.0165,0.00107,0.00107,,,+/-1.07E-03,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
13,H (2MASS/CTIO),11.642,+/-0.01,mag,180000000000000.0,0.0226,0.000208,0.000208,,,+/-2.08E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
14,K_s (2MASS/CTIO),10.813,+/-0.008,mag,139000000000000.0,0.0315,0.000232,0.000232,,,+/-2.32E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
15,K_s (2MASS/CTIO),10.958,+/-0.038,mag,139000000000000.0,0.0276,0.000966,0.000966,,,+/-9.66E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
16,K_s,10.456,+/-0.033,mag,138000000000000.0,0.0438,0.00135,0.00135,,,+/-1.35E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,224937.15 -191626.4 (J2000),Flux in fixed aperture,33.6 x   22.2 arcsec integration area.,From new raw data
