No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),1.565e-10,+/-0.61E-11,erg/s/cm^2^,2.53e+19,6.19e-07,2.41e-08,2.41e-08,,,+/-2.41E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,094.005 +71.013 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),1.01e-10,,erg/cm^2^/s,2.53e+19,3.99e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,093.9015 +71.0375 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,14-195 keV (Swift),2.794e-10,,erg/cm^2^/s,2.53e+19,1.1e-06,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),1.41e-10,,erg/cm^2^/s,2.53e+19,5.57e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,14-195 keV (Swift),1.5012e-10,+/-148.14E-12,erg/s/cm^2^,2.53e+19,5.93e-07,5.85e-07,5.85e-07,,,+/-5.85E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,093.91144382 +71.02954007 (J2000),From fitting to map,S/N = 73.71 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
6,15-150 keV (Swift),1.2e-10,+/-3.5e-12,erg/cm^2^/s,1.99e+19,6.03e-07,1.76e-08,1.76e-08,,,+/-1.76E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,093.896 +71.038 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,14-150 keV (Swift),2.445e-10,,erg/cm^2^/s,1.98e+19,1.23e-06,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,20-100 keV(INTEGRAL),7.4e-11,+/-10  %,erg/s/cm^2^,1.93e+19,3.83e-07,3.83e-08,3.83e-08,,,+/-3.83E-08,Jy,2005A&A...429..427P,uncertainty,60         keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,40-100 keV INTEGRAL,4.62e-11,+/-0.64E-11,erg cm^-2^ s^-1^,1.69e+19,2.73e-07,3.79e-08,3.79e-08,,,+/-3.79E-08,Jy,2006ApJ...638..642B,uncertainty,70   keV,Broad-band measurement,06 15 36 +71 02 15 (J2000),Flux integrated from map,,From new raw data; second coordinate modified from publishedvalue; NED frequency assigned to mid-point of band in keV
10,40-100 keV INTEGRAL,6.8,+/-0.4,milliCrab,1.69e+19,3.79e-07,2.23e-08,2.23e-08,,,+/-2.23E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,093.891 +71.043 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
