No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),1.24e-11,,erg/cm^2^/s,2.53e+19,4.9e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,14-195 keV (Swift),1.23e-11,,erg/cm^2^/s,2.53e+19,4.86e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),9.54e-12,+/-7.83E-12,erg/s/cm^2^,2.53e+19,3.77e-08,3.09e-08,3.09e-08,,,+/-3.09E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,243.51152860 +65.71478384 (J2000),From fitting to map,S/N = 7.30 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
4,15-150 keV (Swift),1e-11,+/-5.6e-12,erg/cm^2^/s,1.99e+19,5.03e-08,2.81e-08,2.81e-08,,,+/-2.81E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,243.547 +65.726 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,14-150 keV (Swift),1.08e-11,,erg/cm^2^/s,1.98e+19,5.45e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,20-50 keV (Swift),4.8e-12,,erg/cm^2^/s,8.46e+18,5.67e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,2-10 keV (XMM),4.15e-12,,erg cm^-2^ s^-1^,1.45e+18,2.86e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,16 13 57.2 +65 43 09 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,2-10 keV,6.14e-12,+/-0.09E-12,ergs cm^-2^ s^-1^,1.45e+18,4.23e-07,6.21e-09,6.21e-09,,,+/-6.21E-09,Jy,2005ApJ...629...61K,uncertainty,6   keV,Broad-band measurement,,Flux integrated from map,Flux from 1997MNRAS.288..920L,Averaged from previously published data; Extinction-correctedfor Milky Way
9,2.0-10 keV (HEAO-1),9.7e-12,,ergs cm^-2^ s^-1^,1.45e+18,6.69e-07,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,16 13 57.2 +65 43 10 (J2000),Flux integrated from map,,Transformed from previously published data; NED frequencyassigned to mid-point of band in keV
10,2.0-10 keV (XMM),4.9e-12,,ergs cm^-2^ s^-1^,1.45e+18,3.38e-07,,,,,,Jy,2006AJ....131.2843S,no uncertainty reported,6   keV,Broad-band measurement,16 13 57.2 +65 43 10 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
11,2-10 keV (XMM),4.98e-12,,ergs/s/cm^2^,1.45e+18,3.43e-07,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2001 Aug 29,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
12,2-10 keV,6.9e-15,,W/m^2^,1.45e+18,4.76e-07,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Observed flux,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
13,2-10 keV,6.9e-15,,W/m^2^,1.45e+18,4.76e-07,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Intrinsic flux,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
14,2-10 keV (XMM),5.1e-12,,erg/s/cm^2^,1.45e+18,3.52e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,16 13 57.18 +65 43 09.6 (J2000),From fitting to map,Absorbed compTT+power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
15,2-10 keV (XMM),5.2e-12,,erg/s/cm^2^,1.45e+18,3.59e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,16 13 57.18 +65 43 09.6 (J2000),From fitting to map,Power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
16,2-10 keV (XMM),3.7e-12,+/-0.600E-12,erg/cm^2^/s,1.45e+18,2.55e-07,4.14e-08,4.14e-08,,,+/-4.14E-08,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,243.48825 +65.719330 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
17,2-10 keV (XMM),3.5e-12,,erg/s/cm^2^,1.45e+18,2.41e-07,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
18,2-10 keV (XMM),-11.4,+/-0.03,log(erg/cm^2^/s),1.45e+18,2.75e-07,1.9e-08,1.9e-08,,,+/-1.90E-08,Jy,2014A&A...567A.142R,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Date=2001-04-13; Model=A; see paper,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
19,2-10 keV (XMM),-11.31,+/-0.03,log(erg/cm^2^/s),1.45e+18,3.38e-07,2.33e-08,2.33e-08,,,+/-2.33E-08,Jy,2014A&A...567A.142R,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Date=2001-08-29; Model=A; see paper,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
20,2-10 keV (Swift),3.7e-12,,erg/cm^2^/s,1.45e+18,2.55e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
21,2-10 keV (Swift),3.6e-12,,erg/cm^2^/s,1.45e+18,2.48e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
