No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),9.3e-13,,erg cm^-2^ s^-1^,1.45e+18,6.41e-08,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,01 59 50.2 +00 23 41 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2.0-10 keV (Chandra),1.5e-12,+/-0.1E-12,ergs cm^-2^ s^-1^,1.45e+18,1.03e-07,6.9e-09,6.9e-09,,,+/-6.90E-09,Jy,2005ApJ...633..664T,uncertainty,6   keV,Broad-band measurement,01 59 50.26 +00 23 40.9 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV (Chandra),1.895e-12,+/-8.19E-14,ergs/cm^2^/s,1.45e+18,1.31e-07,5.65e-09,5.65e-09,,,+/-5.65E-09,Jy,2007ApJ...657..116K,uncertainty,6   keV,Broad-band measurement,01 59 50.2 +00 23 40.8 (J2000),Flux integrated from map,Unabsorbed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (XMM),9.1e-13,,ergs/s/cm^2^,1.45e+18,6.28e-08,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2000 Jul 29,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,2-10 keV,1.24e-14,,W/m^2^,1.45e+18,8.55e-07,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Intrinsic flux,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
6,2-10 keV,1.24e-14,,W/m^2^,1.45e+18,8.55e-07,,,,,,Jy,2004A&A...418..465L,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Observed flux,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
7,2-10 keV (XMM),8.1e-13,+/-0.140E-12,erg/cm^2^/s,1.45e+18,5.59e-08,9.66e-09,9.66e-09,,,+/-9.66E-09,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,029.95921 +00.394610 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,2-10 keV (XMM),9.5e-13,,erg/s/cm^2^,1.45e+18,6.55e-08,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,2-10 keV (XMM),-12.06,+/-0.04,log(erg/cm^2^/s),1.45e+18,6.01e-08,5.53e-09,5.53e-09,,,+/-5.53E-09,Jy,2014A&A...567A.142R,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Date=2000-07-29; Model=A; see paper,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,0.3-8 keV (Chandra),5.2e-12,,erg/cm^2^/s,1e+18,5.2e-07,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
