No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,5-10 keV (XMM),2e-13,,erg cm^-2^ s^-1^,1.81e+18,1.1e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,7.5   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),3.3e-13,,erg cm^-2^ s^-1^,1.45e+18,2.28e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV (XMM),2.3e-13,,ergs/s/cm^2^,1.45e+18,1.59e-08,,,,,,Jy,2007ApJ...657..167S,no uncertainty reported,6   keV,Broad-band measurement,,From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV,,<0.390E-14,W/m^2^,1.45e+18,,,,2.69e-07,,<2.69E-07,Jy,2004A&A...418..465L,3 sigma,6   keV,Broad-band measurement,,Flux integrated from map,Observed flux,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
5,2-10 keV (XMM),2.8e-13,,erg/s/cm^2^,1.45e+18,1.93e-08,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,002.778 -12.107 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.3-8 keV (Chandra),1.38e-13,,erg/cm^2^/s,1e+18,1.38e-08,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,0.5-2 keV (XMM),7e-14,,erg cm^-2^ s^-1^,3.02e+17,2.32e-08,,,,,,Jy,2005A&A...444..119G,no uncertainty reported,1.25   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,FUV (GALEX) AB,16.85,,mag,1980000000000000.0,0.000661,,,,,,Jy,2007ApJS..173..404B,no uncertainty reported,1516 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
9,FUV (GALEX) AB,16.75,,mag,1980000000000000.0,0.000724,,,,,,Jy,2007ApJS..173..404B,no uncertainty reported,1516 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
10,FUV (GALEX),1.53e-14,+/-4.E-16,erg/s/cm^2^/A,1960000000000000.0,0.00119,3.12e-05,3.12e-05,,,+/-3.12E-05,Jy,2010ApJ...715..572H,uncertainty,1528 A,Broad-band measurement,00 11 06.56 -12 06 28.2 (J2000),Flux in fixed aperture,,From new raw data
11,NUV (GALEX),1.05e-14,+/-6.E-16,erg/s/cm^2^/A,1320000000000000.0,0.000819,4.68e-05,4.68e-05,,,+/-4.68E-05,Jy,2010ApJ...715..572H,uncertainty,2271 A,Broad-band measurement,00 11 06.56 -12 06 28.2 (J2000),Flux in fixed aperture,,From new raw data
12,[O II] 3727 (Bok),1.24e-13,+/-17.0E-15,erg s^-1^ cm^-2^,804000000000000.0,12400000000.0,1700000000.0,1700000000.0,,,+/-1.70E+09,Jy-Hz,2006ApJS..164...81M,uncertainty,3727   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
13,H{delta} (Bok),9.9e-15,+/-3.00E-15,erg s^-1^ cm^-2^,731000000000000.0,990000000.0,300000000.0,300000000.0,,,+/-3.00E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,4101   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
14,H{gamma} (Bok),7.3e-15,+/-2.60E-15,erg s^-1^ cm^-2^,691000000000000.0,730000000.0,260000000.0,260000000.0,,,+/-2.60E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,4340   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
15,B Johnson (du Pont),14.793,+/-0.002,mag,681000000000000.0,0.00515,1.06e-05,1.06e-05,,,+/-1.06E-05,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"10"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
16,B Johnson (du Pont),14.382,+/-0.002,mag,681000000000000.0,0.00753,1.55e-05,1.55e-05,,,+/-1.55E-05,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"15"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
17,B Johnson (du Pont),13.701,+/-0.036,mag,681000000000000.0,0.0141,0.00047,0.00047,,,+/-4.70E-04,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"125"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
18,B Johnson (du Pont),13.721,+/-0.023,mag,681000000000000.0,0.0138,0.000291,0.000291,,,+/-2.91E-04,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"100"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
19,B Johnson (du Pont),14.031,+/-0.002,mag,681000000000000.0,0.0104,2.14e-05,2.14e-05,,,+/-2.14E-05,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"25"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
20,B Johnson (du Pont),13.747,+/-0.013,mag,681000000000000.0,0.0135,0.000159,0.000159,,,+/-1.59E-04,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"75"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
21,B Johnson (du Pont),13.804,+/-0.006,mag,681000000000000.0,0.0128,7.56e-05,7.56e-05,,,+/-7.56E-05,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"50"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
22,B Johnson (du Pont),15.543,+/-0.002,mag,681000000000000.0,0.00258,5.32e-06,5.32e-06,,,+/-5.32E-06,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"5"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
23,B Johnson (du Pont),13.687,+/-0.050,mag,681000000000000.0,0.0143,0.000663,0.000663,,,+/-6.63E-04,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"150"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
24,B Johnson (du Pont),14.159,+/-0.002,mag,681000000000000.0,0.00924,1.9e-05,1.9e-05,,,+/-1.90E-05,Jy,2007AJ....133.2132S,1 sigma,4400   A,Broad-band measurement,,Flux in fixed aperture,"20"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
25,J_pg,14.9,+/-0.3,mag,641000000000000.0,0.00433,0.0012,0.0012,,,+/-1.20E-03,Jy,2007ApJS..170...33P,estimated error,4680   A,Broad-band measurement,00 11 06.57 -12 06 20.7 (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
26,H{beta} (Bok),2.35e-14,+/-2.30E-15,erg s^-1^ cm^-2^,617000000000000.0,2350000000.0,230000000.0,230000000.0,,,+/-2.30E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
27,[O III] 5007 (Bok),4.45e-14,+/-2.90E-15,erg s^-1^ cm^-2^,599000000000000.0,4450000000.0,290000000.0,290000000.0,,,+/-2.90E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,5007   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
28,V (Johnson),13.71,,mag,542000000000000.0,0.0119,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",From new raw data
29,V (Johnson),13.71,,mag,542000000000000.0,0.0119,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",Transformed from previously published data; Standard JohnsonUBVRI filters assumed
30,V Johnson (du Pont),14.818,+/-0.001,mag,542000000000000.0,0.0043,3.96e-06,3.96e-06,,,+/-3.96E-06,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"5"" diameter aperture",From new raw data
31,V Johnson (du Pont),13.436,+/-0.001,mag,542000000000000.0,0.0154,1.42e-05,1.42e-05,,,+/-1.42E-05,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"25"" diameter aperture",From new raw data
32,V Johnson (du Pont),13.224,+/-0.004,mag,542000000000000.0,0.0187,6.88e-05,6.88e-05,,,+/-6.88E-05,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"50"" diameter aperture",From new raw data
33,V Johnson (du Pont),13.14,+/-0.014,mag,542000000000000.0,0.0202,0.00026,0.00026,,,+/-2.60E-04,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"100"" diameter aperture",From new raw data
34,V Johnson (du Pont),13.115,+/-0.023,mag,542000000000000.0,0.0207,0.000438,0.000438,,,+/-4.38E-04,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"125"" diameter aperture",From new raw data
35,V Johnson (du Pont),13.168,+/-0.008,mag,542000000000000.0,0.0197,0.000145,0.000145,,,+/-1.45E-04,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"75"" diameter aperture",From new raw data
36,V Johnson (du Pont),13.098,+/-0.032,mag,542000000000000.0,0.021,0.000619,0.000619,,,+/-6.19E-04,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"150"" diameter aperture",From new raw data
37,V Johnson (du Pont),13.551,+/-0.001,mag,542000000000000.0,0.0138,1.27e-05,1.27e-05,,,+/-1.27E-05,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"20"" diameter aperture",From new raw data
38,V Johnson (du Pont),14.117,+/-0.001,mag,542000000000000.0,0.00821,7.56e-06,7.56e-06,,,+/-7.56E-06,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"10"" diameter aperture",From new raw data
39,V Johnson (du Pont),13.749,+/-0.001,mag,542000000000000.0,0.0115,1.06e-05,1.06e-05,,,+/-1.06E-05,Jy,2007AJ....133.2132S,1 sigma,5530   A,Broad-band measurement,,Flux in fixed aperture,"15"" diameter aperture",From new raw data
40,[O I] 6300 (Bok),1.87e-14,+/-2.70E-15,erg s^-1^ cm^-2^,476000000000000.0,1870000000.0,270000000.0,270000000.0,,,+/-2.70E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,6300   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
41,F_pg,13.4,+/-0.3,mag,468000000000000.0,0.0134,0.00371,0.00371,,,+/-3.71E-03,Jy,2007ApJS..170...33P,estimated error,6400   A,Broad-band measurement,00 11 06.57 -12 06 20.7 (J2000),Flux in fixed aperture,Isophotal mag,From reprocessed raw data
42,H{alpha} (Bok),2.037e-13,+/-9.1E-15,erg s^-1^ cm^-2^,457000000000000.0,20400000000.0,910000000.0,910000000.0,,,+/-9.10E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,6563   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
43,[N II] 6584 (Bok),2.205e-13,+/-9.60E-15,erg s^-1^ cm^-2^,455000000000000.0,22000000000.0,960000000.0,960000000.0,,,+/-9.60E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,6584   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
44,[S II] 6716 (Bok),6.26e-14,+/-4.10E-15,erg s^-1^ cm^-2^,446000000000000.0,6260000000.0,410000000.0,410000000.0,,,+/-4.10E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,6716   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
45,[S II] 6731 (Bok),1.27e-14,+/-3.60E-15,erg s^-1^ cm^-2^,445000000000000.0,1270000000.0,360000000.0,360000000.0,,,+/-3.60E+08,Jy-Hz,2006ApJS..164...81M,uncertainty,6731   A,Line measurement; flux integrated over line; lines measured in emission,00 11 06.5 -12 06 26 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
46,R (Johnson),13.06,,mag,428000000000000.0,0.0166,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,7000   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",From new raw data
47,R (Johnson),13.06,,mag,428000000000000.0,0.0166,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,7000   A,Broad-band measurement,,Flux in fixed aperture,"25"" aperture",Transformed from previously published data; Standard JohnsonUBVRI filters assumed
48,I Cousins (du Pont),12.078,+/-0.012,mag,379000000000000.0,0.0376,0.000417,0.000417,,,+/-4.17E-04,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"75"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
49,I Cousins (du Pont),12.052,+/-0.021,mag,379000000000000.0,0.0385,0.000728,0.000728,,,+/-7.28E-04,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"100"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
50,I Cousins (du Pont),12.623,+/-0.001,mag,379000000000000.0,0.0228,2.97e-05,2.97e-05,,,+/-2.97E-05,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"15"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
51,I Cousins (du Pont),12.455,+/-0.001,mag,379000000000000.0,0.0266,3.46e-05,3.46e-05,,,+/-3.46E-05,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"20"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
52,I Cousins (du Pont),12.352,+/-0.001,mag,379000000000000.0,0.0292,3.81e-05,3.81e-05,,,+/-3.81E-05,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"25"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
53,I Cousins (du Pont),12.011,+/-0.047,mag,379000000000000.0,0.04,0.00172,0.00172,,,+/-1.72E-03,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"150"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
54,I Cousins (du Pont),12.029,+/-0.033,mag,379000000000000.0,0.0394,0.00121,0.00121,,,+/-1.21E-03,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"125"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
55,I Cousins (du Pont),12.923,+/-0.001,mag,379000000000000.0,0.0173,2.25e-05,2.25e-05,,,+/-2.25E-05,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"10"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
56,I Cousins (du Pont),13.493,+/-0.001,mag,379000000000000.0,0.0102,1.33e-05,1.33e-05,,,+/-1.33E-05,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"5"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
57,I Cousins (du Pont),12.139,+/-0.006,mag,379000000000000.0,0.0356,0.000185,0.000185,,,+/-1.85E-04,Jy,2007AJ....133.2132S,1 sigma,7900   A,Broad-band measurement,,Flux in fixed aperture,"50"" diameter aperture",From new raw data; derived from a flux in a different bandand a color
58,J (ESO/SPM),35.7,+/-2.38,milliJy,250000000000000.0,0.0357,0.00238,0.00238,,,+/-2.38E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.198      microns,Broad-band measurement,000833.5 -122308 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
59,J (2MASS/CTIO),11.895,+/-0.005,mag,243000000000000.0,0.0278,0.000128,0.000128,,,+/-1.28E-04,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
60,J (2MASS/CTIO),12.311,+/-0.06,mag,243000000000000.0,0.019,0.00105,0.00105,,,+/-1.05E-03,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit; Poor quality,From new raw data
61,J_14arcsec (2MASS),11.618,+/-0.016,mag,240000000000000.0,0.0359,0.000533,0.000533,,,+/-5.33E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,001106.61 -120628.3 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data
62,J_20 (2MASS LGA),11.323,+/-0.018,mag,240000000000000.0,0.0471,0.000787,0.000787,,,+/-7.87E-04,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,001106.61 -120628.3 (J2000),Flux integrated from map,34.4 x   33.0 arcsec integration area.,From new raw data
63,J_Kron (2MASS LGA),11.397,+/-0.017,mag,240000000000000.0,0.044,0.000694,0.000694,,,+/-6.94E-04,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,001106.61 -120628.3 (J2000),Flux integrated from map,25.6 x   24.6 arcsec integration area.,From new raw data
64,J_tot (2MASS LGA),11.24,+/-0.025,mag,240000000000000.0,0.0508,0.00118,0.00118,,,+/-1.18E-03,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,001106.61 -120628.3 (J2000),Total flux,,From new raw data
65,[Fe II] 1.257 line,1.376e-14,+/-1.24E-15,erg cm^-2^ s^-1^,238000000000000.0,1380000000.0,124000000.0,124000000.0,,,+/-1.24E+08,Jy-Hz,2005MNRAS.364.1041R,uncertainty,1.257   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
66,Pa{beta} line,1.283e-14,+/-1.13E-15,erg cm^-2^ s^-1^,234000000000000.0,1280000000.0,113000000.0,113000000.0,,,+/-1.13E+08,Jy-Hz,2005MNRAS.364.1041R,uncertainty,1.2820   microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
67,H (ESO/SPM),50.1,+/-3.34,milliJy,190000000000000.0,0.0501,0.00334,0.00334,,,+/-3.34E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.580      microns,Broad-band measurement,000833.5 -122308 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
