No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.06e-11,+/-0.43E-11,erg/s/cm^2^,2.53e+19,8.14e-08,1.7e-08,1.7e-08,,,+/-1.70E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,021.126 +33.827 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),1.94e-11,,erg/cm^2^/s,2.53e+19,7.67e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),2.04e-11,,erg/cm^2^/s,2.53e+19,8.06e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.447e-11,+/-21.85E-12,erg/s/cm^2^,2.53e+19,9.67e-08,8.64e-08,8.64e-08,,,+/-8.64E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,021.13566617 +33.76814770 (J2000),From fitting to map,S/N = 11.71 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),2.2e-11,+/-1.3e-11,erg/cm^2^/s,1.99e+19,1.11e-07,6.53e-08,6.53e-08,,,+/-6.53E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,021.121 +33.780 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),1.7e-11,,erg/cm^2^/s,1.98e+19,8.59e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,20-50 keV (Swift),7.2e-12,,erg/cm^2^/s,8.46e+18,8.51e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,2-10 keV (XMM),4.06e-12,,erg/s/cm^2^,1.45e+18,2.8e-07,,,,,,Jy,2011MNRAS.413.1206B,no uncertainty reported,6.00 keV,Broad-band measurement,021.114 +33.800 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,2-10 keV (Swift),3.9e-12,,erg/cm^2^/s,1.45e+18,2.69e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,2-10 keV (Swift),5.4e-12,,erg/cm^2^/s,1.45e+18,3.72e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,[Ne V] 3346,,<8.3E-15,erg/cm^2^/s,896000000000000.0,,,,830000000.0,,<8.30E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3346 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
12,[Ne V] 3446,,<3.8E-15,erg/cm^2^/s,875000000000000.0,,,,380000000.0,,<3.80E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,3426 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
13,[O II] 3727,1.99e-14,+/-0.2E-15,erg/cm^2^/s,804000000000000.0,1990000000.0,20000000.0,20000000.0,,,+/-2.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,3727 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
14,[Ne III] 3869,4.4e-15,+/-0.2E-15,erg/cm^2^/s,775000000000000.0,440000000.0,20000000.0,20000000.0,,,+/-2.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,3869 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
15,[Ne III] 3968,,<10.2E-15,erg/cm^2^/s,756000000000000.0,,,,1020000000.0,,<1.02E+09,Jy-Hz,2017ApJ...850...74K,3 sigma,3968 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
16,B (m_B),13.9,+/-0.30,mag,681000000000000.0,0.0117,0.00373,0.00373,,,+/-3.73E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,012137.4 +333220 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
17,B (m_B^0),13.26,,mag,681000000000000.0,0.0212,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,012137.4 +333220 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
18,m_p,13.4,+/-0.4,mag,681000000000000.0,0.0186,0.00828,0.00828,,,+/-8.28E-03,Jy,1968CGCG6.C...0000Z,rms noise,4400       A,Broad-band measurement,012142.0 +333300. (B1950),Estimated by eye,,From new raw data
19,He II 4686,,<2.4E-15,erg/cm^2^/s,640000000000000.0,,,,240000000.0,,<2.40E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,4686 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=2; see paper,From reprocessed raw data
