No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.1-100 GeV (Fermi),1.05e-11,+/-2.2E-12,erg/cm^2^/s,1.21e+25,8.68e-14,1.82e-14,1.82e-14,,,+/-1.82E-14,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,295.644 -10.402 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),7.82e-11,+/-0.69E-11,erg/s/cm^2^,2.53e+19,3.09e-07,2.73e-08,2.73e-08,,,+/-2.73E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,295.684 -10.322 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,14-195 keV (XMM),-10.2,,log(erg/s/cm^2^),2.53e+19,2.49e-07,,,,,,Jy,2012ApJ...745..107W,no uncertainty reported,104.50 keV,Broad-band measurement,19 42 40.6 -10 19 24.6 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),6.2e-11,,erg/cm^2^/s,2.53e+19,2.45e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,295.6694 -10.3235 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,14-195 keV (Swift),7.55e-11,,erg/cm^2^/s,2.53e+19,2.98e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,14-195 keV (Swift),7.73e-11,,erg/cm^2^/s,2.53e+19,3.06e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,14-195 keV (Swift),6.447e-11,+/-61.83E-12,erg/s/cm^2^,2.53e+19,2.55e-07,2.44e-07,2.44e-07,,,+/-2.44E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,295.66159710 -10.32059410 (J2000),From fitting to map,S/N = 28.50 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
8,15-150 keV (Swift),7e-11,+/-4.2e-12,erg/cm^2^/s,1.99e+19,3.52e-07,2.11e-08,2.11e-08,,,+/-2.11E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,295.662 -10.314 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,14-150 keV (Swift),6.61e-11,,erg/cm^2^/s,1.98e+19,3.34e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,40-100 keV INTEGRAL,3.67e-11,+/-5.65E-12,erg cm^-2^ s^-1^,1.69e+19,2.17e-07,3.34e-08,3.34e-08,,,+/-3.34E-08,Jy,2006ApJ...636..765B,uncertainty,70   keV,Broad-band measurement,295.644 -10.332 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
