No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,4-10 keV (XMM),2.5e-12,,erg/cm^2^/s,1.69e+18,1.48e-07,,,,,,Jy,2010A&A...521A..57T,no uncertainty reported,7.00 keV,Broad-band measurement,,Modelled datum,Obs. date: 2007-12-23,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,6.4 keV Fe K{alpha},7.44,,ergs cm^-2^ s^-1^,1.55e+18,7440000000.0,,,,,,Jy-Hz,2000MNRAS.316..234R,no uncertainty reported,6.4        keV,Line measurement; flux integrated over line; lines measured in emission,,Not reported in paper,,Recalibrated data
3,2.5-10 keV (XMM),2.7e-12,,erg cm^-2^ s^-1^,1.51e+18,1.79e-07,,,,,,Jy,2006MNRAS.368..479G,no uncertainty reported,6.25   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
4,2-10 keV (XMM),3.1e-12,,erg cm^-2^ s^-1^,1.45e+18,2.14e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,12 14 17.7 +14 03 13 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,2-10 keV,2.82e-12,+/-0.04E-12,ergs cm^-2^ s^-1^,1.45e+18,1.94e-07,2.76e-09,2.76e-09,,,+/-2.76E-09,Jy,2005ApJ...629...61K,uncertainty,6   keV,Broad-band measurement,,Flux integrated from map,Flux from 2000ApJ...531...52G,Averaged from previously published data; Extinction-correctedfor Milky Way
6,2-10 keV (XMM),3.05e-12,,ergs/s/cm^2^,1.45e+18,2.1e-07,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2001 Jun 15,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,2-10 keV (ASCA),3.96e-12,,ergs/s/cm^2^,1.45e+18,2.73e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,183.5777 +14.0524 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
8,2-10 keV (XMM),3.03e-12,+/-0.050E-12,erg/cm^2^/s,1.45e+18,2.09e-07,3.45e-09,3.45e-09,,,+/-3.45E-09,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,183.57375 +14.053500 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,2-10 keV (XMM),3.2e-12,,erg/s/cm^2^,1.45e+18,2.21e-07,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
10,0.5-10 keV (ASCA),7.01,,ergs cm^-2^ s^-1^,1.21e+18,5.79e-07,,,,,,Jy,2000MNRAS.316..234R,no uncertainty reported,5.0        keV,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,,Not reported in paper,,Recalibrated data; Extinction-corrected for internal andMilky Way and K-correction applied; NED frequency assigned to mid-point of band in keV
11,4 keV (Einstein),0.64,,microJy,9.67e+17,6.4e-07,,,,,,Jy,1994ApJS...95....1E,no uncertainty reported,4   keV,Broad-band measurement,,Flux integrated from map,From 1992ApJ...384...62C,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
12,4 keV (Einstein),0.5,,microJy,9.67e+17,5e-07,,,,,,Jy,1994ApJS...95....1E,no uncertainty reported,4   keV,Broad-band measurement,,Flux integrated from map,From 1992ApJ...389..157W,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
13,0.7-7 keV (ASCA),6.21e-12,,ergs/s/cm^2^,9.31e+17,6.67e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,183.5777 +14.0524 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
14,2 keV (XMM),3.24e-30,,erg/cm^2^/s/Hz,4.84e+17,3.24e-07,,,,,,Jy,2006MNRAS.368..479G,no uncertainty reported,2   keV,Broad-band measurement,,Flux integrated from map,,From new raw data
15,2 keV,-28.85,,log(erg/cm^2^/s/Hz),4.84e+17,1.41e-06,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2   keV,Broad-band measurement,12 14 17.7 +14 03 13 (J2000),Flux integrated from map,,Averaged new and previously published data
16,0.3-3.5 keV Einstein,2.12,+/-0.30,erg cm^-2^ s^-1^,4.59e+17,4.62e-06,1.28e-06,1.28e-06,,,+/-1.28E-06,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
17,0.3-3.5 keV Einstein,2.44,+/-0.86,erg cm^-2^ s^-1^,4.59e+17,5.32e-06,4.2e-06,4.2e-06,,,+/-4.20E-06,Jy,1987ApJ...323..243W,uncertainty,1.9   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
18,0.7-2 keV (ASCA),3.1e-12,,ergs/s/cm^2^,3.26e+17,9.51e-07,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,183.5777 +14.0524 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
19,0.5-2 keV (XMM),3e-12,,erg cm^-2^ s^-1^,3.02e+17,9.92e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,1.25   keV,Broad-band measurement,12 14 17.7 +14 03 13 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
20,0.5-2 keV (XMM),2.52e-12,+/-0.090E-12,erg/cm^2^/s,3.02e+17,8.34e-07,2.98e-08,2.98e-08,,,+/-2.98E-08,Jy,2009A&A...495..421B,uncertainty,1.25 keV,Broad-band measurement,183.57375 +14.053500 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
21,0.2-2 keV (Swift),-14.38,,log(W/m^2^),2.66e+17,1.57e-06,,,,,,Jy,2010ApJS..187...64G,no uncertainty reported,1.10 keV,Broad-band measurement,12 14 17.7 +14 03 13 (J2000),Modelled datum,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
22,1 keV (Einstein),3.58,+/-0.33,microJy,2.42e+17,3.58e-06,1.09e-06,1.09e-06,,,+/-1.09E-06,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
23,1 keV (Einstein),3.43,+/-0.24,microJy,2.42e+17,3.43e-06,7.58e-07,7.58e-07,,,+/-7.58E-07,Jy,1987ApJ...323..243W,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
24,1 keV (Einstein),5.5,+/-0.8,microJy,2.42e+17,5.5e-06,8e-07,8e-07,,,+/-8.00E-07,Jy,1994ApJS...95....1E,90% confidence,1   keV,Broad-band measurement,,Flux integrated from map,From 1991ApJ...378..537E,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
25,1000 A (FUSE),8.68e-14,+/-0.008E-13,ergs/cm^2^/s/A,3000000000000000.0,0.0029,2.67e-05,2.67e-05,,,+/-2.67E-05,Jy,2004ApJ...615..135S,uncertainty,1000 A,Broad-band measurement,,From fitting to map,Power-law continuum fit,From reprocessed raw data
26,1030 A (FUSE),5.4e-14,,erg/cm^2^/s/A,2910000000000000.0,0.00191,,,,,,Jy,2006ApJS..165..229F,no uncertainty reported,1030   A,Broad-band measurement,,Flux integrated from map,S/N = 19.0,From reprocessed raw data
27,1031 A (FUSE),5.2e-14,,erg/cm^2^/s/A,2910000000000000.0,0.00185,,,,,,Jy,2009ApJS..182..378W,no uncertainty reported,1031 A,Broad-band measurement,,Flux integrated from map,,From new raw data
28,1450 A,3e-14,+/-1.0E-14,ergs/cm^2^/s/A,2070000000000000.0,0.00211,0.000702,0.000702,,,+/-7.02E-04,Jy,2005ApJ...629...61K,uncertainty,1450   A,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
29,FUV (GALEX) AB,15.415,+/-0.00935782,mag,1950000000000000.0,0.00248,2.13e-05,2.13e-05,,,+/-2.13E-05,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,183.57358092916 14.053654368826 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
30,FUV (GALEX) AB,15.7551,+/-0.0117850,mag,1950000000000000.0,0.00181,1.97e-05,1.97e-05,,,+/-1.97E-05,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,183.57358092916 14.053654368826 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
31,FUV (GALEX) AB,15.6323,+/-0.00718217,mag,1950000000000000.0,0.00203,1.34e-05,1.34e-05,,,+/-1.34E-05,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,183.57377808740 14.053680842113 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
32,FUV (GALEX) AB,15.9413,+/-0.00888182,mag,1950000000000000.0,0.00153,1.25e-05,1.25e-05,,,+/-1.25E-05,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,183.57377808740 14.053680842113 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
33,C IV 1549 (HST),2.28e-12,,ergs/s/cm^2^,1940000000000000.0,228000000000.0,,,,,,Jy-Hz,2007ApJ...666..757S,no uncertainty reported,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From reprocessed raw data
34,C IV 1549 (HST),2.72e-13,+/-40  %,ergs/s/cm^2^,1940000000000000.0,27200000000.0,10900000000.0,10900000000.0,,,+/-1.09E+10,Jy-Hz,2007ApJ...666..757S,uncertainty,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From reprocessed raw data
35,C IV 1549,-11.59,+/-0.03,log(erg/s/cm^2^),1940000000000000.0,257000000000.0,17800000000.0,17800000000.0,,,+/-1.78E+10,Jy-Hz,2009ApJ...702..767W,uncertainty,1549 A,Line measurement; flux integrated over line; lines measured in emission,,Modelled datum,,From reprocessed raw data
36,1549 A,2.94e-14,,erg/cm^2^/s/A,1940000000000000.0,0.00236,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,1549.05   A,Broad-band measurement,,Not reported in paper,C IV continuum,From new raw data; Extinction-corrected for Milky Way
37,NUV (GALEX) AB,15.1357,+/-0.00461209,mag,1290000000000000.0,0.0032,1.36e-05,1.36e-05,,,+/-1.36E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,183.57358092916 14.053654368826 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
38,NUV (GALEX) AB,15.6823,+/-0.00649782,mag,1290000000000000.0,0.00194,1.16e-05,1.16e-05,,,+/-1.16E-05,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,183.57358092916 14.053654368826 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
39,NUV (GALEX) AB,15.3098,+/-0.00334359,mag,1290000000000000.0,0.00273,8.4e-06,8.4e-06,,,+/-8.40E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,183.57377808740 14.053680842113 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
40,NUV (GALEX) AB,15.8225,+/-0.00467117,mag,1290000000000000.0,0.0017,7.32e-06,7.32e-06,,,+/-7.32E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,183.57377808740 14.053680842113 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
41,2500 A (OM),2.89e-26,,erg/cm^2^/s/Hz,1200000000000000.0,0.00289,,,,,,Jy,2006MNRAS.368..479G,no uncertainty reported,2500   A,Broad-band measurement,,Flux integrated from map,,From new raw data
42,2500 A,-25.04,,log(erg/cm^2^/s/Hz),1200000000000000.0,0.00912,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2500   A,Broad-band measurement,12 14 17.7 +14 03 13 (J2000),Flux integrated from map,,Averaged new and previously published data
43,H{gamma},2.73e-13,+/-3.9E-14,ergs/s/cm^2^,691000000000000.0,27300000000.0,3900000000.0,3900000000.0,,,+/-3.90E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4340   A,Line measurement; flux integrated over line; lines measured in emission,12 11 44.8 +14 19 53 (J2000),Total flux,,From new raw data
44,B Johnson (FLWO),14.519,+/-0.069,mag,681000000000000.0,0.00664,0.00042,0.00042,,,+/-4.20E-04,Jy,1994ApJS...95....1E,uncertainty,4400   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data; derived from a flux in a different bandand a color
45,B (LCO),14.38,+/-0.09,mag,678000000000000.0,0.00754,0.000625,0.000625,,,+/-6.25E-04,Jy,2011ApJS..193...28P,uncertainty,4419 A,Broad-band measurement,12 14 17.6 +14 03 13 (J2000),Flux in fixed aperture,,From new raw data
46,H{beta},5.45e-13,+/-6.7E-14,ergs/s/cm^2^,617000000000000.0,54500000000.0,6700000000.0,6700000000.0,,,+/-6.70E+09,Jy-Hz,2000ApJ...533..631K,rms uncertainty,4861   A,Line measurement; flux integrated over line; lines measured in emission,12 11 44.8 +14 19 53 (J2000),Total flux,,From new raw data
47,H{beta},2.5e-14,,erg/s/cm^2^/A,617000000000000.0,0.0197,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,4861 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Narrow line flux,From new raw data
48,H{beta},4.15e-13,,erg/s/cm^2^/A,617000000000000.0,0.328,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,4861 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Broad line flux,From new raw data
49,4861 A,8.32e-15,,erg/cm^2^/s/A,617000000000000.0,0.00657,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,4861   A,Broad-band measurement,,Not reported in paper,H {beta} continuum,From new raw data; Extinction-corrected for Milky Way
50,[O III] 5007,4.5e-14,,erg/s/cm^2^/A,599000000000000.0,0.0377,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,5007 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Narrow line flux,From new raw data
51,5100 A,5.66e-15,+/-9.2E-16,ergs/cm^2^/s/A,588000000000000.0,0.00492,0.000799,0.000799,,,+/-7.99E-04,Jy,2000ApJ...533..631K,rms uncertainty,5100   A,Broad-band measurement,12 11 44.8 +14 19 53 (J2000),Total flux,,From new raw data
52,[Fe VI] 5177,2.3e-14,,erg/s/cm^2^/A,579000000000000.0,0.0206,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,5177 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Narrow line flux,From new raw data
53,V Johnson (FLWO),14.252,+/-0.052,mag,542000000000000.0,0.00725,0.000347,0.000347,,,+/-3.47E-04,Jy,1994ApJS...95....1E,uncertainty,5530   A,Broad-band measurement,,Flux in fixed aperture,"14"" aperture",From new raw data
54,V (Johnson),17.21,,mag,542000000000000.0,0.000475,,,,,,Jy,2009ApJ...694L.166B,no uncertainty reported,5530 A,Broad-band measurement,,Modelled datum,Bulge magnitude,From new raw data
55,He I 5876,3.8e-14,,erg/s/cm^2^/A,510000000000000.0,0.0438,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,5876 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Broad line flux,From new raw data
56,[Fe VII] 6087,7.4e-14,,erg/s/cm^2^/A,493000000000000.0,0.0916,,,,,,Jy,2008A&A...488..887B,no uncertainty reported,6087 A,Line measurement; flux integrated over line; lines measured in emission,12 14 18 +14 03 13 (J2000),From fitting to map,Narrow line flux,From new raw data
57,R (LCO),13.96,+/-0.07,mag,472000000000000.0,0.00803,0.000517,0.000517,,,+/-5.17E-04,Jy,2011ApJS..193...28P,uncertainty,6352 A,Broad-band measurement,12 14 17.6 +14 03 13 (J2000),Flux in fixed aperture,,From new raw data
