No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),1.87e-12,,erg cm^-2^ s^-1^,1.45e+18,1.29e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,09 50 48.4 +39 26 50 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),1.78e-12,,ergs/s/cm^2^,1.45e+18,1.23e-07,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2001 Nov 03,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,2-10 keV (XMM),1.8e-12,,erg/s/cm^2^,1.45e+18,1.24e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,09 50 48.39 +39 26 50.6 (J2000),From fitting to map,Power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
4,2-10 keV (XMM),1.8e-12,,erg/s/cm^2^,1.45e+18,1.24e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,09 50 48.39 +39 26 50.6 (J2000),From fitting to map,Absorbed compTT+power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
5,2-10 keV (XMM),1.74e-12,+/-0.080E-12,erg/cm^2^/s,1.45e+18,1.2e-07,5.52e-09,5.52e-09,,,+/-5.52E-09,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,147.70163 +39.447360 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,2-10 keV (XMM),1.6e-12,,erg/cm^2^/s,1.45e+18,1.1e-07,,,,,,Jy,2009ApJS..183...17Y,no uncertainty reported,6.00 keV,Broad-band measurement,095048.38 +392650.5 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,2-10 keV (XMM),1.9e-12,,erg/s/cm^2^,1.45e+18,1.31e-07,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
8,0.3-10 keV (XMM),4.6e-12,,erg/s/cm^2^,1.25e+18,3.68e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,5.15   keV,Broad-band measurement,09 50 48.39 +39 26 50.6 (J2000),From fitting to map,Power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.3-10 keV (XMM),4.6e-12,,erg/s/cm^2^,1.25e+18,3.68e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,5.15   keV,Broad-band measurement,09 50 48.39 +39 26 50.6 (J2000),From fitting to map,Absorbed compTT+power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
10,2 keV,-29.6,,log(erg/cm^2^/s/Hz),4.84e+17,2.51e-07,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2   keV,Broad-band measurement,09 50 48.39 +39 26 50.5 (J2000),Flux integrated from map,,Averaged new and previously published data
