No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),3.08e-12,,erg cm^-2^ s^-1^,1.45e+18,2.12e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,16 27 56.0 +55 22 31 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),2.86e-12,,ergs/s/cm^2^,1.45e+18,1.97e-07,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2002 May 05,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,2-10 keV (XMM),3.1e-12,,erg/s/cm^2^,1.45e+18,2.14e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,16 27 56.09 +55 22 31.7 (J2000),From fitting to map,Absorbed compTT+power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
4,2-10 keV (XMM),3.1e-12,,erg/s/cm^2^,1.45e+18,2.14e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,6   keV,Broad-band measurement,16 27 56.09 +55 22 31.7 (J2000),From fitting to map,Power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
5,2-10 keV (XMM),2.8e-12,+/-0.400E-12,erg/cm^2^/s,1.45e+18,1.93e-07,2.76e-08,2.76e-08,,,+/-2.76E-08,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,246.98333 +55.375280 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,2-10 keV (XMM),3.1e-12,,erg/s/cm^2^,1.45e+18,2.14e-07,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
7,2-10 keV (XMM),-11.55,+/-0.03,log(erg/cm^2^/s),1.45e+18,1.94e-07,1.34e-08,1.34e-08,,,+/-1.34E-08,Jy,2014A&A...567A.142R,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,Date=2002-05-05; Model=A; see paper,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,0.3-10 keV (XMM),8e-12,,erg/s/cm^2^,1.25e+18,6.4e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,5.15   keV,Broad-band measurement,16 27 56.09 +55 22 31.7 (J2000),From fitting to map,Absorbed compTT+power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.3-10 keV (XMM),8.3e-12,,erg/s/cm^2^,1.25e+18,6.64e-07,,,,,,Jy,2004A&A...422...85P,no uncertainty reported,5.15   keV,Broad-band measurement,16 27 56.09 +55 22 31.7 (J2000),From fitting to map,Power law model,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
10,2 keV,-29.34,,log(erg/cm^2^/s/Hz),4.84e+17,4.57e-07,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2   keV,Broad-band measurement,16 27 56.2 +55 22 32 (J2000),Flux integrated from map,,Averaged new and previously published data
11,0.5-2 keV (XMM),3.04e-12,,erg cm^-2^ s^-1^,3.02e+17,1.01e-06,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,1.25   keV,Broad-band measurement,16 27 56.0 +55 22 31 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
12,0.5-2 keV (XMM),2.5e-12,+/-0.300E-12,erg/cm^2^/s,3.02e+17,8.28e-07,9.93e-08,9.93e-08,,,+/-9.93E-08,Jy,2009A&A...495..421B,uncertainty,1.25 keV,Broad-band measurement,246.98333 +55.375280 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
13,0.2-2 keV (Swift),-14.24,,log(W/m^2^),2.66e+17,2.16e-06,,,,,,Jy,2010ApJS..187...64G,no uncertainty reported,1.10 keV,Broad-band measurement,16 27 56.1 +55 22 32 (J2000),Modelled datum,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
14,1 keV (ROSAT),0.00131,+/-0.6E-04,keV/cm^2^/s/keV,2.42e+17,8.68e-07,3.98e-08,3.98e-08,,,+/-3.98E-08,Jy,1997ApJ...477...93L,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,"PL model: PI chan. 47-245, N_H=N_HI^Gal",From new raw data; NED frequency assigned to mid-point ofband in keV
15,1 keV (ROSAT),0.00128,+/-0.6E-04,keV/cm^2^/s/keV,2.42e+17,8.48e-07,3.98e-08,3.98e-08,,,+/-3.98E-08,Jy,1997ApJ...477...93L,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,"PL model: PI chan. 11-245, N_H=N_HI^Gal",From new raw data; NED frequency assigned to mid-point ofband in keV
16,1 keV (ROSAT),0.00129,+/-0.9E-04,keV/cm^2^/s/keV,2.42e+17,8.55e-07,5.96e-08,5.96e-08,,,+/-5.96E-08,Jy,1997ApJ...477...93L,uncertainty,1   keV,Broad-band measurement,,Flux integrated from map,"PL model: PI chan. 47-245, N_H free par",From new raw data; NED frequency assigned to mid-point ofband in keV
17,1000 A (FUSE),2.18e-14,+/-0.004E-13,ergs/cm^2^/s/A,3000000000000000.0,0.000728,1.34e-05,1.34e-05,,,+/-1.34E-05,Jy,2004ApJ...615..135S,uncertainty,1000 A,Broad-band measurement,,From fitting to map,Power-law continuum fit,From reprocessed raw data
18,1030 A (FUSE),1.5e-14,,erg/cm^2^/s/A,2910000000000000.0,0.000532,,,,,,Jy,2006ApJS..165..229F,no uncertainty reported,1030   A,Broad-band measurement,,Flux integrated from map,S/N = 14.1,From reprocessed raw data
19,1031 A (FUSE),1.5e-14,,erg/cm^2^/s/A,2910000000000000.0,0.000532,,,,,,Jy,2009ApJS..182..378W,no uncertainty reported,1031 A,Broad-band measurement,,Flux integrated from map,,From new raw data
20,Ly{alpha},2.001e-12,+/-97E-15,ergs/s/cm^2^,2470000000000000.0,200000000000.0,9700000000.0,9700000000.0,,,+/-9.70E+09,Jy-Hz,2007AJ....134..294S,uncertainty,1216   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
21,N V 1240,3.69e-13,+/-152E-15,ergs/s/cm^2^,2420000000000000.0,36900000000.0,15200000000.0,15200000000.0,,,+/-1.52E+10,Jy-Hz,2007AJ....134..294S,uncertainty,1240   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
22,Si IV + O IV],1.41e-13,+/-79E-15,ergs/s/cm^2^,2140000000000000.0,14100000000.0,7900000000.0,7900000000.0,,,+/-7.90E+09,Jy-Hz,2007AJ....134..294S,uncertainty,1400   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
23,1549 A,1.66e-14,,erg/cm^2^/s/A,1940000000000000.0,0.00133,,,,,,Jy,2005MNRAS.356.1029B,no uncertainty reported,1549.05   A,Broad-band measurement,,Not reported in paper,C IV continuum,From new raw data; Extinction-corrected for Milky Way
24,C IV 1549,1.013e-12,+/-117E-15,ergs/s/cm^2^,1940000000000000.0,101000000000.0,11700000000.0,11700000000.0,,,+/-1.17E+10,Jy-Hz,2007AJ....134..294S,uncertainty,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
25,C IV 1549 (HST),4e-14,+/-40  %,ergs/s/cm^2^,1940000000000000.0,4000000000.0,1600000000.0,1600000000.0,,,+/-1.60E+09,Jy-Hz,2007ApJ...666..757S,uncertainty,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Narrow component,From reprocessed raw data
26,C IV 1549 (HST),1.58e-12,,ergs/s/cm^2^,1940000000000000.0,158000000000.0,,,,,,Jy-Hz,2007ApJ...666..757S,no uncertainty reported,1549   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Broad component,From reprocessed raw data
27,C IV 1549,-11.94,+/-0.01,log(erg/s/cm^2^),1940000000000000.0,115000000000.0,2640000000.0,2640000000.0,,,+/-2.64E+09,Jy-Hz,2009ApJ...702..767W,uncertainty,1549 A,Line measurement; flux integrated over line; lines measured in emission,,Modelled datum,,From reprocessed raw data
28,Si III] 1892,3.7e-14,+/-34E-15,ergs/s/cm^2^,1580000000000000.0,3700000000.0,3400000000.0,3400000000.0,,,+/-3.40E+09,Jy-Hz,2007AJ....134..294S,uncertainty,1892   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
29,C III] 1909,2.49e-13,+/-40E-15,ergs/s/cm^2^,1570000000000000.0,24900000000.0,4000000000.0,4000000000.0,,,+/-4.00E+09,Jy-Hz,2007AJ....134..294S,uncertainty,1909   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
