No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,18.85,+/-0.15,mag,1960000000000000.0,0.000105,1.45e-05,1.45e-05,,,+/-1.45E-05,Jy,2007ApJS..173..441H,uncertainty,1528 A,Broad-band measurement,60.53695 -05.11169 (J2000),Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
2,FUV (GALEX) AB,18.89,,mag,1960000000000000.0,0.000101,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,1530 A,Broad-band measurement,,Total flux,,From reprocessed raw data
3,FUV (GALEX) AB,19.7822,+/-0.137575,mag,1950000000000000.0,4.44e-05,5.62e-06,5.62e-06,,,+/-5.62E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,60.536934319271 -5.111696588005 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
4,FUV (GALEX) AB,20.21,+/-0.169360,mag,1950000000000000.0,2.99e-05,4.67e-06,4.67e-06,,,+/-4.67E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,60.536934319271 -5.111696588005 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
5,FUV (GALEX) AB,19.8207,+/-0.0619410,mag,1950000000000000.0,4.28e-05,2.44e-06,2.44e-06,,,+/-2.44E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,60.536943572191 -5.111645894163 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,FUV (GALEX) AB,20.1571,+/-0.0638888,mag,1950000000000000.0,3.14e-05,1.85e-06,1.85e-06,,,+/-1.85E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,60.536943572191 -5.111645894163 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX) AB,18.88,+/-0.09,mag,1320000000000000.0,0.000102,8.44e-06,8.44e-06,,,+/-8.44E-06,Jy,2007ApJS..173..441H,uncertainty,2271 A,Broad-band measurement,60.53695 -05.11169 (J2000),Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
8,NUV (GALEX) AB,18.68,,mag,1300000000000000.0,0.000122,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,2310 A,Broad-band measurement,,Total flux,,From reprocessed raw data
9,NUV (GALEX) AB,19.7099,+/-0.0878070,mag,1290000000000000.0,4.74e-05,3.84e-06,3.84e-06,,,+/-3.84E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,60.536934319271 -5.111696588005 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
10,NUV (GALEX) AB,20.1067,+/-0.0969181,mag,1290000000000000.0,3.29e-05,2.94e-06,2.94e-06,,,+/-2.94E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,60.536934319271 -5.111696588005 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
11,NUV (GALEX) AB,19.6115,+/-0.0330606,mag,1290000000000000.0,5.19e-05,1.58e-06,1.58e-06,,,+/-1.58E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,60.536943572191 -5.111645894163 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
12,NUV (GALEX) AB,20.0819,+/-0.0366716,mag,1290000000000000.0,3.37e-05,1.14e-06,1.14e-06,,,+/-1.14E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,60.536943572191 -5.111645894163 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
