No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,19.85,,mag,1960000000000000.0,4.17e-05,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,1530 A,Broad-band measurement,,Total flux,,From reprocessed raw data
2,FUV (GALEX),20.27,,mag,1960000000000000.0,4.02e-06,,,,,,Jy,2014A&A...561A..33I,no uncertainty reported,1528 A,Broad-band measurement,08 20 01.72 +50 50 39.20 (J2000),Flux in fixed aperture,,Averaged from previously published data
3,FUV (GALEX) AB,20.4021,+/-0.249073,mag,1950000000000000.0,2.51e-05,5.75e-06,5.75e-06,,,+/-5.75E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,125.00746005079 50.844419065140 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
4,FUV (GALEX) AB,20.7403,+/-0.295080,mag,1950000000000000.0,1.84e-05,4.99e-06,4.99e-06,,,+/-4.99E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,125.00746005079 50.844419065140 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
5,FUV (GALEX) AB,20.2738,+/-0.0442568,mag,1950000000000000.0,2.82e-05,1.15e-06,1.15e-06,,,+/-1.15E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,125.00713028359 50.844224931182 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
6,FUV (GALEX) AB,20.7837,+/-0.0579127,mag,1950000000000000.0,1.76e-05,9.41e-07,9.41e-07,,,+/-9.41E-07,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,125.00713028359 50.844224931182 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
7,NUV (GALEX),20.13,,mag,1320000000000000.0,6.94e-06,,,,,,Jy,2014A&A...561A..33I,no uncertainty reported,2271 A,Broad-band measurement,08 20 01.72 +50 50 39.20 (J2000),Flux in fixed aperture,,Averaged from previously published data
8,NUV (GALEX) AB,19.65,,mag,1300000000000000.0,5.01e-05,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,2310 A,Broad-band measurement,,Total flux,,From reprocessed raw data
9,NUV (GALEX) AB,20.2423,+/-0.149115,mag,1290000000000000.0,2.9e-05,3.99e-06,3.99e-06,,,+/-3.99E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,125.00746005079 50.844419065140 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
10,NUV (GALEX) AB,20.6862,+/-0.173967,mag,1290000000000000.0,1.93e-05,3.09e-06,3.09e-06,,,+/-3.09E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,125.00746005079 50.844419065140 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
