No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.8e-11,,erg/cm^2^/s,2.53e+19,1.11e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,095.9399 -60.9790 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),2.81e-11,,erg/cm^2^/s,2.53e+19,1.11e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),3.2e-11,,erg/cm^2^/s,2.53e+19,1.26e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.969e-11,+/-27.09E-12,erg/s/cm^2^,2.53e+19,1.17e-07,1.07e-07,1.07e-07,,,+/-1.07E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,095.93589909 -60.98094090 (J2000),From fitting to map,S/N = 16.54 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),2.3e-11,+/-1.1e-11,erg/cm^2^/s,1.99e+19,1.16e-07,5.53e-08,5.53e-08,,,+/-5.53E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,095.977 -60.989 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),2.8e-11,,erg/cm^2^/s,1.98e+19,1.41e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,15-55 keV (Swift),1.25e-11,+/-0.17E-11,erg/cm^2^/s,8.46e+18,1.48e-07,2.01e-08,2.01e-08,,,+/-2.01E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,096.028 -60.998 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,20-50 keV (Swift),1.1e-11,,erg/cm^2^/s,8.46e+18,1.3e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,2-10 keV (Swift),2.97e-12,,erg/s/cm^2^,1.45e+18,2.05e-07,,,,,,Jy,2009ApJ...690.1322W,no uncertainty reported,6.00 keV,Broad-band measurement,06 23 45.6 -60 58 44.4 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,2-10 keV (Swift),1.12e-11,,erg/cm^2^/s,1.45e+18,7.72e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,2-10 keV (Swift),4.2e-12,,erg/cm^2^/s,1.45e+18,2.9e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
