No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,15-150 keV (Swift),3.9e-12,+/-4.5e-12,erg/cm^2^/s,1.99e+19,1.96e-08,2.26e-08,2.26e-08,,,+/-2.26E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,132.052 +34.728 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,2-10 keV (XMM),5.5e-12,,erg cm^-2^ s^-1^,1.45e+18,3.79e-07,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,6   keV,Broad-band measurement,08 47 42.4 +34 45 04 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV,2.37e-12,+/-0.02E-12,ergs cm^-2^ s^-1^,1.45e+18,1.63e-07,1.38e-09,1.38e-09,,,+/-1.38E-09,Jy,2005ApJ...629...61K,uncertainty,6   keV,Broad-band measurement,,Flux integrated from map,Flux from 2000ApJ...531...52G,Averaged from previously published data; Extinction-correctedfor Milky Way
4,2-10 keV (ASCA),2.62e-12,,ergs s^-1^ cm^-2^,1.45e+18,1.81e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,6   keV,Broad-band measurement,131.9330 34.7509 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
5,2-10 keV (XMM),4.87e-12,,ergs/s/cm^2^,1.45e+18,3.36e-07,,,,,,Jy,2007ApJ...662..860I,no uncertainty reported,6   keV,Broad-band measurement,,Flux integrated from map,Obs date: 2000 Nov 04,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,2-10 keV (XMM),4.83e-12,+/-0.170E-12,erg/cm^2^/s,1.45e+18,3.33e-07,1.17e-08,1.17e-08,,,+/-1.17E-08,Jy,2009A&A...495..421B,uncertainty,6.00 keV,Broad-band measurement,131.92667 +34.751110 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
7,2-10 keV (Chandra),5.5e-12,,erg/cm^2^/s,1.45e+18,3.79e-07,,,,,,Jy,2010ApJS..187..581S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,2-10 keV (XMM),5.5e-12,,erg/s/cm^2^,1.45e+18,3.79e-07,,,,,,Jy,2010ApJ...713L..11Z,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,4 keV (Einstein),,<1.8,microJy,9.67e+17,,,,1.8e-06,,<1.80E-06,Jy,1994ApJS...95....1E,no uncertainty reported,4   keV,Broad-band measurement,,Flux integrated from map,From 1990ApJS...72..471D,Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band in keV
10,0.7-7 keV (ASCA),3.61e-12,,ergs s^-1^ cm^-2^,9.31e+17,3.88e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,3.85   keV,Broad-band measurement,131.9330 34.7509 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
11,2 keV,-30.28,,log(erg/cm^2^/s/Hz),4.84e+17,5.25e-08,,,,,,Jy,2006AJ....131.2826S,no uncertainty reported,2   keV,Broad-band measurement,08 47 42.47 +34 45 04.4 (J2000),Flux integrated from map,,Averaged new and previously published data
12,0.7-2 keV (ASCA),1.6e-12,,ergs s^-1^ cm^-2^,3.26e+17,4.91e-07,,,,,,Jy,2005ApJS..161..185U,no uncertainty reported,1.35   keV,Broad-band measurement,131.9330 34.7509 (J2000),From fitting to map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
13,0.5-2 keV (XMM),6.9e-12,,erg cm^-2^ s^-1^,3.02e+17,2.28e-06,,,,,,Jy,2005A&A...432...15P,no uncertainty reported,1.25   keV,Broad-band measurement,08 47 42.4 +34 45 04 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
14,0.5-2 keV (XMM),5.8e-12,+/-0.200E-12,erg/cm^2^/s,3.02e+17,1.92e-06,6.62e-08,6.62e-08,,,+/-6.62E-08,Jy,2009A&A...495..421B,uncertainty,1.25 keV,Broad-band measurement,131.92667 +34.751110 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
15,1 keV (Einstein),0.49,+/-0.13,microJy,2.42e+17,4.9e-07,1.3e-07,1.3e-07,,,+/-1.30E-07,Jy,1994ApJS...95....1E,90% confidence,1   keV,Broad-band measurement,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
