No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.95e-11,+/-0.37E-11,erg/s/cm^2^,2.53e+19,1.17e-07,1.46e-08,1.46e-08,,,+/-1.46E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,176.070 +79.624 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Suzaku),-10.7,,log(erg/s/cm^2^),2.53e+19,7.89e-08,,,,,,Jy,2012ApJ...745..107W,no uncertainty reported,104.50 keV,Broad-band measurement,11 45 16.0 +79 40 53.4 (J2000),Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),3.7e-11,,erg/cm^2^/s,2.53e+19,1.46e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,176.3168 +79.6815 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
4,14-195 keV (Swift),2.58e-11,,erg/cm^2^/s,2.53e+19,1.02e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,14-195 keV (Swift),2.72e-11,,erg/cm^2^/s,2.53e+19,1.08e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,14-195 keV (Swift),2.685e-11,+/-24.58E-12,erg/s/cm^2^,2.53e+19,1.06e-07,9.72e-08,9.72e-08,,,+/-9.72E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,176.19040560 +79.68194726 (J2000),From fitting to map,S/N = 18.96 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
7,15-150 keV (Swift),2.5e-11,+/-3.8e-12,erg/cm^2^/s,1.99e+19,1.26e-07,1.91e-08,1.91e-08,,,+/-1.91E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,176.187 +79.678 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,14-150 keV (Swift),2.26e-11,,erg/cm^2^/s,1.98e+19,1.14e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,15-55 keV (Swift),2.13e-11,+/-0.18E-11,erg/cm^2^/s,8.46e+18,2.52e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,176.190 +79.662 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,20-50 keV (Swift),1.16e-11,,erg/cm^2^/s,8.46e+18,1.37e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
