No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,14-195 keV (Swift),2.49e-11,+/-0.50E-11,erg/s/cm^2^,2.53e+19,9.84e-08,1.98e-08,1.98e-08,,,+/-1.98E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,344.761 +40.896 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,14-195 keV (Swift),1.92e-11,,erg/cm^2^/s,2.53e+19,7.59e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,14-195 keV (Swift),2.63e-11,,erg/cm^2^/s,2.53e+19,1.04e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,14-195 keV (Swift),2.145e-11,+/-18.30E-12,erg/s/cm^2^,2.53e+19,8.48e-08,7.23e-08,7.23e-08,,,+/-7.23E-08,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,344.69631680 +40.91826660 (J2000),From fitting to map,S/N = 9.67 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
5,15-150 keV (Swift),2.1e-11,+/-1.3e-11,erg/cm^2^/s,1.99e+19,1.06e-07,6.53e-08,6.53e-08,,,+/-6.53E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,344.708 +40.926 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
6,14-150 keV (Swift),2.3e-11,,erg/cm^2^/s,1.98e+19,1.16e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
7,15-55 keV (Swift),1.31e-11,+/-0.18E-11,erg/cm^2^/s,8.46e+18,1.55e-07,2.13e-08,2.13e-08,,,+/-2.13E-08,Jy,2009ApJ...699..603A,uncertainty,35.00 keV,Broad-band measurement,344.749 +40.899 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
8,20-50 keV (Swift),7.8e-12,,erg/cm^2^/s,8.46e+18,9.22e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
9,2-10 keV (Swift),6.4e-12,,erg/cm^2^/s,1.45e+18,4.41e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,2-10 keV (Swift),9e-13,,erg/cm^2^/s,1.45e+18,6.21e-08,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,u (KPNO),14.67,,mag,853000000000000.0,0.00209,,,,,,Jy,2011ApJ...739...57K,no uncertainty reported,3513 A,Broad-band measurement,,Flux in fixed aperture,Host mag; AGN contamination removed,From new raw data
12,B (m_B),14.49,+/-0.19,mag,681000000000000.0,0.00681,0.0013,0.0013,,,+/-1.30E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,225637.3 +403949 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
13,m_p,14.7,+/-0.4,mag,681000000000000.0,0.00562,0.0025,0.0025,,,+/-2.50E-03,Jy,1968CGCG6.C...0000Z,rms noise,4400       A,Broad-band measurement,225642.0 +404000. (B1950),Estimated by eye,,From new raw data
14,He II 4686,,<7.3E-15,erg/cm^2^/s,640000000000000.0,,,,730000000.0,,<7.30E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,4686 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fitting flag=9; see paper,From reprocessed raw data
15,g (KPNO),13.02,,mag,630000000000000.0,0.0243,,,,,,Jy,2011ApJ...739...57K,no uncertainty reported,4759 A,Broad-band measurement,,Flux in fixed aperture,Host mag; AGN contamination removed,From new raw data
16,H{beta},,<6.2E-15,erg/cm^2^/s,617000000000000.0,,,,620000000.0,,<6.20E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,4861 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Narrow comp;spec fit flag=2; see paper,From reprocessed raw data
17,[O III] (CAHA),1.83e-14,,erg/s/cm^2^,599000000000000.0,1830000000.0,,,,,,Jy-Hz,2007A&A...464..541R,no uncertainty reported,5007   A,Line measurement; flux integrated over line; lines measured in emission,22 58 55.5 +40 55 53 (J2000),Total flux,,From new raw data
18,[O III] 5007,1.98e-14,+/-0.2E-15,erg/cm^2^/s,599000000000000.0,1980000000.0,20000000.0,20000000.0,,,+/-2.00E+07,Jy-Hz,2017ApJ...850...74K,uncertainty,5007 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=2; see paper,From reprocessed raw data
19,r (KPNO),12.11,,mag,479000000000000.0,0.0447,,,,,,Jy,2011ApJ...739...57K,no uncertainty reported,6265 A,Broad-band measurement,,Flux in fixed aperture,Host mag; AGN contamination removed,From new raw data
20,[O I] 6300,,<3.6E-15,erg/cm^2^/s,476000000000000.0,,,,360000000.0,,<3.60E+08,Jy-Hz,2017ApJ...850...74K,3 sigma,6300 A,Line measurement; flux integrated over line; lines measured in emission,,From fitting to map,Spectral fittting flag=2; see paper,From reprocessed raw data
