No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,0.3-8 keV (Chandra),9.37e-14,,erg/cm^2^/s,1e+18,9.37e-09,,,,,,Jy,2016ApJS..224...40W,no uncertainty reported,4.15 keV,Broad-band measurement,,Flux integrated from map,Average flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
2,FUV (GALEX) AB,20.9683,+/-0.335691,mag,1950000000000000.0,1.49e-05,4.6e-06,4.6e-06,,,+/-4.60E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,17.146143091610 21.805287339073 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
3,FUV (GALEX) AB,21.1624,+/-0.350909,mag,1950000000000000.0,1.24e-05,4.02e-06,4.02e-06,,,+/-4.02E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,17.146143091610 21.805287339073 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
4,NUV (GALEX) AB,20.672,+/-0.199339,mag,1290000000000000.0,1.96e-05,3.59e-06,3.59e-06,,,+/-3.59E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,17.146143091610 21.805287339073 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
5,NUV (GALEX) AB,21.1108,+/-0.217975,mag,1290000000000000.0,1.31e-05,2.62e-06,2.62e-06,,,+/-2.62E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,17.146143091610 21.805287339073 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
6,J (2MASS/FLWO),16.317,+/-0.123,mag,243000000000000.0,0.000474,5.37e-05,5.37e-05,,,+/-5.37E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
7,J (2MASS/FLWO),16.26,+/-0.168,mag,243000000000000.0,0.000499,7.73e-05,7.73e-05,,,+/-7.73E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
8,H (2MASS/FLWO),14.946,+/-0.176,mag,180000000000000.0,0.00108,0.000174,0.000174,,,+/-1.74E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
9,H (2MASS/FLWO),14.877,+/-0.069,mag,180000000000000.0,0.00115,7.29e-05,7.29e-05,,,+/-7.29E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
10,K_s (2MASS/FLWO),13.632,+/-0.041,mag,139000000000000.0,0.00235,8.88e-05,8.88e-05,,,+/-8.88E-05,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
11,K_s (2MASS/FLWO),13.52,+/-0.069,mag,139000000000000.0,0.00261,0.000166,0.000166,,,+/-1.66E-04,Jy,2006AJ....131.1163S,uncertainty,2.159      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
12,W1 (WISE),11.806,+/-0.024,mag,89400000000000.0,0.00587,0.00013,0.00013,,,+/-1.30E-04,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
13,W1 (WISE),11.803,+/-0.006,mag,89400000000000.0,0.00588,3.25e-05,3.25e-05,,,+/-3.25E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
14,W1 (WISE),11.846,+/-0.007,mag,89400000000000.0,0.00565,3.64e-05,3.64e-05,,,+/-3.64E-05,Jy,2013wise.rept....1C,uncertainty,3.3526     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
15,W2 (WISE),10.581,+/-0.021,mag,65100000000000.0,0.0101,0.000195,0.000195,,,+/-1.95E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
16,W2 (WISE),10.594,+/-0.006,mag,65100000000000.0,0.00994,5.49e-05,5.49e-05,,,+/-5.49E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
17,W2 (WISE),10.631,+/-0.007,mag,65100000000000.0,0.00961,6.19e-05,6.19e-05,,,+/-6.19E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
18,7.7 microns (IRS),,<1.25E-13,ergs/s/cm^2^,38900000000000.0,,,,12500000000.0,,<1.25E+10,Jy-Hz,2007ApJ...669..841S,no uncertainty reported,7.7 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
19,[S IV] 10.5 (IRS),,<0.6910E-21,W/cm^2^,28500000000000.0,,,,691000000.0,,<6.91E+08,Jy-Hz,2009ApJ...690.1105K,uncertainty,10.51 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
20,11.3 microns (IRS),,<0.21E-13,ergs/s/cm^2^,26500000000000.0,,,,2100000000.0,,<2.10E+09,Jy-Hz,2007ApJ...669..841S,no uncertainty reported,11.3 microns,Line measurement; flux integrated over line,,From fitting to map,,From new raw data
21,W3 (WISE),7.599,+/-0.019,mag,25900000000000.0,0.0289,0.000506,0.000506,,,+/-5.06E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit,From new raw data
22,W3 (WISE),7.624,+/-0.009,mag,25900000000000.0,0.0283,0.000234,0.000234,,,+/-2.34E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected",From new raw data
23,W3 (WISE),7.774,+/-0.012,mag,25900000000000.0,0.0246,0.000272,0.000272,,,+/-2.72E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture",From new raw data; Uncorrected for known sources in beam
24,[Ne II] 12.8 (IRS),1.66e-21,,W/cm^2^,23400000000000.0,1660000000.0,,,,,,Jy-Hz,2009ApJ...690.1105K,no uncertainty reported,12.814 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
25,[Ne V] 14.3 (IRS),,<0.616E-21,W/cm^2^,20900000000000.0,,,,616000000.0,,<6.16E+08,Jy-Hz,2009ApJ...690.1105K,uncertainty,14.320 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
26,[Ne III] 15.5 (IRS),,<1.73E-21,W/cm^2^,19300000000000.0,,,,1730000000.0,,<1.73E+09,Jy-Hz,2009ApJ...690.1105K,uncertainty,15.555 microns,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,,From new raw data
