No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX) AB,19.65,,mag,1960000000000000.0,5.01e-05,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,1530 A,Broad-band measurement,,Total flux,,From reprocessed raw data
2,FUV (GALEX) AB,20.7079,+/-0.170101,mag,1950000000000000.0,1.89e-05,2.96e-06,2.96e-06,,,+/-2.96E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,59.391578534845 -5.621808688783 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
3,FUV (GALEX) AB,21.2496,+/-0.192172,mag,1950000000000000.0,1.15e-05,2.03e-06,2.03e-06,,,+/-2.03E-06,Jy,2012GASC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,59.391578534845 -5.621808688783 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
4,FUV (GALEX) AB,20.4852,+/-0.0901242,mag,1950000000000000.0,2.32e-05,1.93e-06,1.93e-06,,,+/-1.93E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,59.391869451691 -5.621727894844 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
5,FUV (GALEX) AB,21.2495,+/-0.101568,mag,1950000000000000.0,1.15e-05,1.07e-06,1.07e-06,,,+/-1.07E-06,Jy,2012GMSC..C...0000S,uncertainty,1538.6     A,Broad-band measurement,59.391869451691 -5.621727894844 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
6,NUV (GALEX) AB,19.33,,mag,1300000000000000.0,6.73e-05,,,,,,Jy,2011ApJ...726L...7O,no uncertainty reported,2310 A,Broad-band measurement,,Total flux,,From reprocessed raw data
7,NUV (GALEX) AB,20.41,+/-0.0927682,mag,1290000000000000.0,2.49e-05,2.13e-06,2.13e-06,,,+/-2.13E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,59.391578534845 -5.621808688783 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
8,NUV (GALEX) AB,20.9293,+/-0.0949156,mag,1290000000000000.0,1.54e-05,1.35e-06,1.35e-06,,,+/-1.35E-06,Jy,2012GASC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,59.391578534845 -5.621808688783 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
9,NUV (GALEX) AB,20.2597,+/-0.0495299,mag,1290000000000000.0,2.86e-05,1.3e-06,1.3e-06,,,+/-1.30E-06,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,59.391869451691 -5.621727894844 (J2000),Flux integrated from map,Kron flux in elliptical aperture,From new raw data
10,NUV (GALEX) AB,20.984,+/-0.0536223,mag,1290000000000000.0,1.47e-05,7.24e-07,7.24e-07,,,+/-7.24E-07,Jy,2012GMSC..C...0000S,uncertainty,2315.7     A,Broad-band measurement,59.391869451691 -5.621727894844 (J2000),Flux in fixed aperture,Flux in 7.5 arcsec diameter aperture,From new raw data
