No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (XMM),6.3e-18,,W m^-2^,1.45e+18,4.34e-10,,,,,,Jy,2005A&A...444...79M,no uncertainty reported,6   keV,Broad-band measurement,10 51 59.88 +57 24 26.31 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.5-2 keV (XMM),2.2e-18,,W m^-2^,3.02e+17,7.28e-10,,,,,,Jy,2005A&A...444...79M,no uncertainty reported,1.25   keV,Broad-band measurement,10 51 59.88 +57 24 26.31 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,B (Subaru) AB,22.95,+/-0.06,mag,669000000000000.0,2.4e-06,1.33e-07,1.33e-07,,,+/-1.33E-07,Jy,2008MNRAS.386.1107D,uncertainty,4478 A,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
4,R (Subaru) AB,22.05,+/-0.06,mag,458000000000000.0,5.5e-06,3.04e-07,3.04e-07,,,+/-3.04E-07,Jy,2008MNRAS.386.1107D,uncertainty,6550 A,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
5,I (Subaru) AB,21.53,+/-0.06,mag,375000000000000.0,8.87e-06,4.9e-07,4.9e-07,,,+/-4.90E-07,Jy,2008MNRAS.386.1107D,uncertainty,7996 A,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
6,z (Subaru) AB,21.05,+/-0.06,mag,331000000000000.0,1.38e-05,7.63e-07,7.63e-07,,,+/-7.63E-07,Jy,2008MNRAS.386.1107D,uncertainty,9054 A,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
7,K (UKIRT) AB,19.96,+/-0.06,mag,136000000000000.0,3.77e-05,2.08e-06,2.08e-06,,,+/-2.08E-06,Jy,2008MNRAS.386.1107D,uncertainty,2.20 microns,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
8,3.6 microns (IRAC),72.0,+/-7.2,microJy,84400000000000.0,7.2e-05,7.2e-06,7.2e-06,,,+/-7.20E-06,Jy,2004ApJS..154..124I,uncertainty,3.550 microns,Broad-band measurement,105200.2 +572425 (J2000),Flux in fixed aperture,,From new raw data
9,3.6 microns IRAC AB,19.27,+/-0.16,mag,84400000000000.0,7.11e-05,1.05e-05,1.05e-05,,,+/-1.05E-05,Jy,2008MNRAS.386.1107D,uncertainty,3.550 microns,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
10,4.5 microns (IRAC),72.6,+/-7.3,microJy,66700000000000.0,7.26e-05,7.3e-06,7.3e-06,,,+/-7.30E-06,Jy,2004ApJS..154..124I,uncertainty,4.493 microns,Broad-band measurement,105200.2 +572425 (J2000),Flux in fixed aperture,,From new raw data
11,4.5 microns IRAC AB,19.26,+/-0.19,mag,66700000000000.0,7.18e-05,1.26e-05,1.26e-05,,,+/-1.26E-05,Jy,2008MNRAS.386.1107D,uncertainty,4.493 microns,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
12,5.8 microns (IRAC),79.0,+/-8.0,microJy,52300000000000.0,7.9e-05,8e-06,8e-06,,,+/-8.00E-06,Jy,2004ApJS..154..124I,uncertainty,5.731 microns,Broad-band measurement,105200.2 +572425 (J2000),Flux in fixed aperture,,From new raw data
13,5.8 microns IRAC AB,19.53,+/-0.40,mag,52300000000000.0,5.6e-05,2.06e-05,2.06e-05,,,+/-2.06E-05,Jy,2008MNRAS.386.1107D,uncertainty,5.731 microns,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
14,8.0 microns (IRAC),112.0,+/-12,microJy,38100000000000.0,0.000112,1.2e-05,1.2e-05,,,+/-1.20E-05,Jy,2004ApJS..154..124I,uncertainty,7.872 microns,Broad-band measurement,105200.2 +572425 (J2000),Flux in fixed aperture,,From new raw data
15,8.0 microns IRAC AB,19.69,+/-0.34,mag,38100000000000.0,4.83e-05,1.51e-05,1.51e-05,,,+/-1.51E-05,Jy,2008MNRAS.386.1107D,uncertainty,7.872 microns,Broad-band measurement,10 51 59.760 +57 24 24.94 (J2000),Flux in fixed aperture,"3"" diameter aperture",From new raw data
