Name_Id,id_from,RA,DEC,otype_txt,redshift,rvz_type,otypes,Ne_IR_info,SMB_sample
3C 234.0,3C 234.0,150.45634473807,28.7858176354,Sy1,0.18494,z,AGN|G  |IR |QSO|Rad|Sy1|X  |blu|gam,NeII|NeIII|NeV,283
M  84,M  84,186.2655972083333,12.886983138888889,Sy2,0.00327,z,*  |AGN|G  |GiC|GiG|IR |Rad|Sy2|UV |X  |smm,NeV,414
2MASS J13000535+1632148,NVSS J130005+163212,195.02228295163,16.53743305218,Sy1,0.07993,z,AGN|G  |IR |Rad|Sy1|X  ,NeII|NeIII|NeV,428
NGC   262,NGC   262,12.196426138730002,31.956956641230004,Sy2,0.015260233939595302,v,*  |AGN|Bla|G  |GiG|IR |QSO|Rad|Sy2|X  |gam,NeII|NeIII|NeV,484
IRAS 04385-0828,IRAS 04385-0828,70.2290037068,-8.37281297812,Sy2,0.015064,z,*  |AGN|G  |GiG|IR |Sy2,NeII|NeIII|NeV,541
NGC  4945,NGC  4945,196.3636625,-49.4679,Sy2,0.0017968563040435814,v,AGN|G  |GiG|IR |Rad|Sy2|X  |cm |gam,NeII|NeIII|NeV,628
IC 4553,IC 4553,233.73843316666665,23.50322455555555,SyG,0.0184,z,AGN|G  |GiG|GiP|IG |IR |LIN|Rad|SyG|X  |gam|smm,NeII|NeIII|NeV,654
NGC  5252,NGC  5252,204.56612821847,4.542644796,Sy2,0.02294,z,AG?|AGN|EmG|G  |GiG|Sy1|Sy2|X  |gam,NeII,773
Mrk  279,Mrk  279,208.26431206838,69.30816969735,Sy1,0.030601,z,AGN|G  |IR |QSO|Sy1|UV |X  |gam,NeII|NeIII|NeV,852
UGC 11680,UGC 11680,316.93375,3.875277777777778,Sy2,0.026,z,G  |GiP|IG |IR |PaG|Sy2,NeII,1227
LEDA   45656,LEDA   45656,197.44584650792,8.330058989590002,Sy1,0.15434,z,BH?|G  |IR |QSO|Sy1|UV |X  ,NeII|NeV,1246
Mrk 1239,Mrk 1239,148.07986666666667,-1.61225,Sy1,0.019596890592891433,c,AGN|G  |IR |Sy1|UV |X  ,NeII|NeIII|NeV,1282
