Idx, Name ID, ID from

0, LEDA  165630, SIMBAD
23, ESO 362-18, SIMBAD
100, 3C 334, NED
182, ESO 323-77, SIMBAD
341, NGC  7479, SIMBAD
404, M  81, SIMBAD
412, NGC  1241, SIMBAD
413, NGC  3516, SIMBAD
433, IRAS 15206+3342, SIMBAD
454, LEDA 1487448, SIMBAD
615, Mrk  937, SIMBAD
628, ESO 297-18, SIMBAD
648, IC  450, SIMBAD
794, Mrk  622, SIMBAD
862, WISEA J035734.06-053719.6, NED
1055, 2MASS J21035875-0728025, SIMBAD
1115, IRAS 15480-0344, SIMBAD
1415, Mrk  471, SIMBAD
1589, 2MASS J00105486+0014510, SIMBAD
1592, WISEA J005439.78+155447.2, NED
1871, LEDA  166692, SIMBAD
2267, NGC  4992, SIMBAD
2624, 3C 295, SIMBAD
2851, LEDA    3237, SIMBAD
2852, Mrk  478, SIMBAD
2949, NGC  1125, SIMBAD
2966, Mrk  279, SIMBAD
2988, Mrk 1502, SIMBAD
2989, PB  3894, SIMBAD
2994, 3C 098, NED
3594, NGC  2992, SIMBAD
3664, NGC  2110, SIMBAD
3710, UGC  3351, SIMBAD
3768, NGC   788, SIMBAD
3772, NGC  4235, SIMBAD
3773, NGC  6860, SIMBAD
3844, Mrk  520, SIMBAD
3884, MCG+04-48-002, SIMBAD
4057, ICRF J145907.5+714019, SIMBAD
4137, 2E  2503, SIMBAD
4143, MCG+00-29-023, SIMBAD
4280, Z 218-7, SIMBAD
4435, Mrk  463E, SIMBAD
4593, LEDA   27453, SIMBAD
4596, IRAS 07598+6508, SIMBAD
4608, NGC  4151, SIMBAD
4611, NGC  1365, SIMBAD
4656, 2XMM J101756.8+390526, SIMBAD
4660, 3C  84, SIMBAD
4674, ESO 141-55, SIMBAD
4686, MCG+10-17-021, SIMBAD
4689, Mrk  509, SIMBAD
4691, NGC  7591, SIMBAD
4729, Mrk  493, SIMBAD
4730, Mrk 1239, SIMBAD
4733, Mrk  231, SIMBAD
4741, NGC  3079, SIMBAD
4775, NGC  4355, SIMBAD
4799, IRAS 13342+3932, SIMBAD
4817, WISEA J165939.77+183436.7, NED
4896, Mrk  876, SIMBAD
4903, MCG+13-07-002, SIMBAD
4919, NGC   253, SIMBAD
4925, 3C 286, SIMBAD
4927, NGC  3982, SIMBAD
4928, ICRF J182931.7+484446, SIMBAD
4931, ESO 428-14, SIMBAD
4932, NGC  5728, SIMBAD
4933, 2MASX J00535615-7038045, SIMBAD
5392, UGC  1841, SIMBAD
5414, LEDA    1790, SIMBAD
5415, Ton  951, SIMBAD
5417, NGC  4748, SIMBAD
5419, FAIRALL 0049, NED
5421, NGC  3281, SIMBAD
5422, NGC  5995, SIMBAD
5435, WISEA J130005.34+163214.8, NED
5437, 2MASX J18334627+4727027, SIMBAD
5438, 2E   437, SIMBAD
5459, Mrk  877, SIMBAD
5617, 3C 033, NED
5618, NGC  3393, SIMBAD
5621, IC 1816, SIMBAD
5670, Mrk 1506, SIMBAD
5722, Mrk 1014, SIMBAD
5727, Mrk  771, SIMBAD
5729, Mrk  304, SIMBAD
5730, Mrk 1513, SIMBAD
5733, 2MASS J14294306+4747262, SIMBAD
5827, 2MASX J10181928+3722419, SIMBAD
5836, 2MASX J14323249+3406257, SIMBAD
5875, Mrk 1383, SIMBAD
5959, SDSS J040208.86-050642.0, SIMBAD
5968, 3C 452, SIMBAD
6017, MCG-03-34-064, SIMBAD
6018, ESO 434-40, SIMBAD
6498, 4C 13.41, SIMBAD
6805, NGC  4593, SIMBAD
6821, NGC   931, SIMBAD
6824, 2MASX J21564950-0745325, SIMBAD
6942, 2MASS J13234951+6541480, SIMBAD
6949, IC 3078, SIMBAD
7084, LEDA   29208, SIMBAD
7369, ICRF J134733.3+121724, SIMBAD
7479, NGC  7743, SIMBAD
7494, LEDA   90429, SIMBAD
7495, LEDA   70560, SIMBAD
7538, LEDA   52314, SIMBAD
7624, M  94, SIMBAD
7698, ESO 323-32, SIMBAD
7797, Mrk  463, SIMBAD
7812, NGC  4388, SIMBAD
7813, M  88, SIMBAD
7817, NGC  5033, SIMBAD
8035, ESO  33-2, SIMBAD
