#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
     8037.7525787415        9.135434e-16                       |         3.72980452e+14      1.96869187e-29                    
     8042.7525787415        1.058494e-15                       |         3.72748578e+14      2.28390015e-29                    
     8047.7525787415        1.215786e-15                       |         3.72516993e+14      2.62654996e-29                    
     8052.7525787415        1.253704e-15                       |         3.72285695e+14      2.71183348e-29                    
     8057.7525787415        1.197233e-15                       |         3.72054684e+14      2.59290037e-29                    
     8062.7525787415        1.002858e-15                       |         3.71823960e+14      2.17463015e-29                    
     8067.7525787415         8.96566e-16                       |         3.71593521e+14      1.94655510e-29                    
     8072.7525787415        8.995276e-16                       |         3.71363368e+14      1.95540658e-29                    
     8077.7525787415        9.245054e-16                       |         3.71133500e+14      2.01219396e-29                    
     8082.7525787415        9.230176e-16                       |         3.70903917e+14      2.01144354e-29                    
     8087.7525787415        8.853655e-16                       |         3.70674617e+14      1.93177973e-29                    
     8092.7525787415         9.13638e-16                       |         3.70445601e+14      1.99593308e-29                    
     8097.7525787415        8.786336e-16                       |         3.70216867e+14      1.92183505e-29                    
     8102.7525787415        9.536834e-16                       |         3.69988416e+14      2.08856826e-29                    
     8107.7525787415        9.496731e-16                       |         3.69760246e+14      2.08235326e-29                    
     8112.7525787415        1.038017e-15                       |         3.69532358e+14      2.27887353e-29                    
     8117.7525787415        1.036086e-15                       |         3.69304750e+14      2.27743883e-29                    
     8122.7525787415        1.064147e-15                       |         3.69077423e+14      2.34200258e-29                    
     8127.7525787415        1.054341e-15                       |         3.68850375e+14      2.32327886e-29                    
     8132.7525787415        1.050072e-15                       |         3.68623607e+14      2.31671971e-29                    
     8137.7525787415        1.075336e-15                       |         3.68397117e+14      2.37537643e-29                    
     8142.7525787415         1.03504e-15                       |         3.68170905e+14      2.28917454e-29                    
     8147.7525787415        1.014043e-15                       |         3.67944971e+14      2.24549107e-29                    
     8152.7525787415         9.59148e-16                       |         3.67719315e+14      2.12653946e-29                    
     8157.7525787415        9.941362e-16                       |         3.67493934e+14      2.20681660e-29                    
     8162.7525787415         9.94893e-16                       |         3.67268830e+14      2.21120464e-29                    
     8167.7525787415        1.034749e-15                       |         3.67044002e+14      2.30260508e-29                    
     8172.7525787415        1.038044e-15                       |         3.66819448e+14      2.31276635e-29                    
     8177.7525787415        1.043543e-15                       |         3.66595169e+14      2.32786386e-29                    
     8182.7525787415        9.767559e-16                       |         3.66371164e+14      2.18154501e-29                    
     8187.7525787415        9.425155e-16                       |         3.66147433e+14      2.10764381e-29                    
     8192.7525787415        9.374449e-16                       |         3.65923975e+14      2.09886606e-29                    
     8197.7525787415        9.917918e-16                       |         3.65700789e+14      2.22325574e-29                    
     8202.7525787415        9.907363e-16                       |         3.65477876e+14      2.22359964e-29                    
     8207.7525787415        1.016046e-15                       |         3.65255234e+14      2.28318540e-29                    
     8212.7525787415        1.052092e-15                       |         3.65032863e+14      2.36706668e-29                    
     8217.7525787415        1.121275e-15                       |         3.64810763e+14      2.52579185e-29                    
     8222.7525787415        1.037952e-15                       |         3.64588933e+14      2.34094393e-29                    
     8227.7525787415        9.522774e-16                       |         3.64367373e+14      2.15033052e-29                    
     8232.7525787415        8.964186e-16                       |         3.64146081e+14      2.02665714e-29                    
     8237.7525787415        9.646087e-16                       |         3.63925059e+14      2.18347366e-29                    
     8242.7525787415        1.013499e-15                       |         3.63704304e+14      2.29692676e-29                    
     8247.7525787415        9.726907e-16                       |         3.63483817e+14      2.20711675e-29                    
     8252.7525787415        9.699521e-16                       |         3.63263597e+14      2.20357194e-29                    
     8257.7525787415        9.524711e-16                       |         3.63043644e+14      2.16648075e-29                    
     8262.7525787415        9.580081e-16                       |         3.62823957e+14      2.18171478e-29                    
     8267.7525787415        9.529751e-16                       |         3.62604536e+14      2.17288025e-29                    
     8272.7525787415        9.163703e-16                       |         3.62385380e+14      2.09194553e-29                    
     8277.7525787415         9.41484e-16                       |         3.62166489e+14      2.15187541e-29                    
     8282.7525787415        9.736867e-16                       |         3.61947862e+14      2.22816788e-29                    
     8287.7525787415        1.061893e-15                       |         3.61729499e+14      2.43295238e-29                    
     8292.7525787415        1.042392e-15                       |         3.61511399e+14      2.39115529e-29                    
     8297.7525787415        1.022676e-15                       |         3.61293563e+14      2.34875827e-29                    
     8302.7525787415         9.65092e-16                       |         3.61075988e+14      2.21917833e-29                    
     8307.7525787415        9.816738e-16                       |         3.60858675e+14      2.26002688e-29                    
     8312.7525787415        9.677199e-16                       |         3.60641624e+14      2.23058448e-29                    
     8317.7525787415        9.589691e-16                       |         3.60424834e+14      2.21307384e-29                    
     8322.7525787415        9.470744e-16                       |         3.60208304e+14      2.18825214e-29                    
     8327.7525787415        9.341763e-16                       |         3.59992034e+14      2.16104479e-29                    
     8332.7525787415        9.430173e-16                       |         3.59776024e+14      2.18411715e-29                    
     8337.7525787415         9.41488e-16                       |         3.59560273e+14      2.18319280e-29                    
     8342.7525787415        9.330831e-16                       |         3.59344780e+14      2.16629874e-29                    
     8347.7525787415        9.367739e-16                       |         3.59129546e+14      2.17747519e-29                    
     8352.7525787415         9.46724e-16                       |         3.58914569e+14      2.20324055e-29                    
     8357.7525787415        9.372927e-16                       |         3.58699849e+14      2.18390403e-29                    
     8362.7525787415        9.550051e-16                       |         3.58485386e+14      2.22783736e-29                    
     8367.7525787415        9.610477e-16                       |         3.58271180e+14      2.24461520e-29                    
     8372.7525787415        9.489622e-16                       |         3.58057229e+14      2.21903792e-29                    
     8377.7525787415        9.129765e-16                       |         3.57843534e+14      2.13744011e-29                    
     8382.7525787415        8.960961e-16                       |         3.57630094e+14      2.10042500e-29                    
     8387.7525787415        9.255056e-16                       |         3.57416908e+14      2.17194873e-29                    
     8392.7525787415        9.367453e-16                       |         3.57203976e+14      2.20094738e-29                    
     8397.7525787415        9.436689e-16                       |         3.56991298e+14      2.21985746e-29                    
     8402.7525787415        9.672025e-16                       |         3.56778872e+14      2.27792729e-29                    
