3C 234.0,1990IRASF.C...0000M;2008AJ....136..735L;2009MNRAS.398..109W;2010AJ....139.2440R;2011Ap&SS.335..161B;2011MNRAS.416..403F;2012yCat.2311....0C;2013SSTSLC4.2....0C;2013wise.rept....1C;2014MNRAS.438.1149G;2014yCat.2328....0C;2015A&A...581A..33D;2015A&C....10...99A;2016yCat.7275....0D;2016yCat.9048....0M;2017A&A...600L...4A;2017ApJS..230...24B;2017ApJS..232....4T;2018ApJ...867..105T;2018ApJS..236...37P;2019AJ....158..138S;2019ApJ...870...31I;2019ApJS..243...21L;2020ApJS..249....3A;2020arXiv201213084M;2021arXiv210804778P;2021yCat.2368....0S
M  84,1966ApJS...13...65P;1988AJ.....95...26G;1990IRASF.C......0M;1990IRASF.C...0000M;1994PrivC.U..J....K;2006A&A...448.1235D;2006ApJS..164..334F;2007ApJS..173..185G;2008AJ....136..735L;2008ApJ...686..859B;2009ApJ...695....1T;2009ApJ...707..890T;2009MNRAS.397.1966T;2010AJ....139.2440R;2010MNRAS.402.2140S;2011Ap&SS.335..161B;2011ApJ...731L..41B;2011ApJ...737...45O;2012A&A...543A.161C;2012A&A...544A..18V;2012A&A...544A.101C;2012MNRAS.423..197B;2012yCat.1322....0Z;2012yCat.2311....0C;2013MNRAS.428.1880A;2013SSTSLC4.2....0C;2014A&A...565A.128C;2014A&A...570A..69B;2014ApJ...783..135A;2014ApJ...797...55N;2014ApJS..215...22K;2014MNRAS.438.1149G;2014MNRAS.440..696A;2014MNRAS.440..942C;2014yCat.2328....0C;2015A&A...573A.129P;2015A&A...581A..33D;2015A&C....10...99A;2015AAS...22533616H;2015ApJS..220....6B;2015MNRAS.446.2030Z;2016yCat.7275....0D;2018A&A...609A..37C;2018ApJS..234...18B;2018MNRAS.474.5363K;2019AJ....158..138S;2019ApJS..245...25J;2020ApJS..248...31L;2020arXiv201213084M;2021arXiv210804778P;2021yCat.2368....0S
2MASS J13000535+1632148,1998AJ....115.1693C;2007MNRAS.380.1608L;2008AJ....136..735L;2010AJ....139.2440R;2011A&A...527A.126P;2011Ap&SS.335..161B;2011ApJ...737...45O;2011MNRAS.414..500H;2012yCat.2311....0C;2013ApJ...769..116H;2013SSTSLC4.2....0C;2013wise.rept....1C;2014ApJS..214...23S;2014yCat.2328....0C;2015AAS...22533616H;2016yCat.7275....0D;2017A&A...600L...4A;2018ApJ...867..105T;2018ApJS..236...37P;2018MNRAS.474.5008D;2019AJ....158..138S;2019ApJ...870...31I;2019ApJS..240...30S;2020ApJS..249....3A;2020arXiv201213084M;2021arXiv210804778P;2021yCat.2368....0S
NGC   262,1990IRASF.C...0000M;1998AJ....115.1693C;2007ApJS..173..185G;2008A&A...488..401R;2008AJ....136..735L;2009MNRAS.398..109W;2010AJ....139.2440R;2010ApJS..187..172G;2011Ap&SS.335..161B;2011ApJ...737...45O;2011MNRAS.414..500H;2012A&A...544A..18V;2012yCat.1322....0Z;2012yCat.2311....0C;2013wise.rept....1C;2014ApJ...794..152M;2014yCat.2328....0C;2015A&C....10...99A;2015AAS...22533616H;2015ApJS..220....6B;2016MNRAS.456.3335S;2016yCat.7275....0D;2017A&A...600L...4A;2017ApJS..230...24B;2018ApJ...862...12G;2018ApJ...867..105T;2018ApJS..236...37P;2018MNRAS.474.5008D;2018MNRAS.474.5363K;2019AJ....158..138S;2020AJ....160..271D;2020ApJS..249....3A;2020arXiv201213084M;2021arXiv210804778P
IRAS 04385-0828,1988IRASP.C......0J;1990IRASF.C...0000M;1998AJ....115.1693C;2008AJ....136..735L;2009MNRAS.398..109W;2010AJ....139.2440R;2010ApJS..187..172G;2011MNRAS.414..500H;2012yCat.2311....0C;2013SSTSLC4.2....0C;2013wise.rept....1C;2014yCat.2328....0C;2015A&C....10...99A;2015AAS...22533616H;2016yCat.7275....0D;2017A&A...600L...4A;2017ApJS..232....4T;2018ApJ...867..105T;2018ApJS..236...37P;2018MNRAS.474.5363K;2019AJ....158..138S;2020arXiv201213084M;2021A&A...651A..69K;2021arXiv210804778P;2021yCat.2368....0S
NGC  4945,1988ApJS...68...91R;1988IRASP.C......0J;1990IRASF.C...0000M;2003AJ....126.1607S;2008AJ....136..735L;2012ApJ...756...27L;2012yCat.2311....0C;2013wise.rept....1C;2014yCat.2328....0C;2015A&C....10...99A;2016yCat.7275....0D;2018A&A...609A..37C;2018ApJ...864...40P;2018MNRAS.479.3509S;2019AJ....158..138S;2019ApJ...870...31I;2019ApJS..245...25J;2020arXiv201213084M;2021arXiv210804778P
IC 4553,1989AJ.....98..766S;1990IRASF.C......0M;1990IRASF.C...0000M;1998AJ....115.1693C;2002AJ....124..100D;2003AJ....126.1607S;2006AJ....131.1942C;2006ApJS..164...81M;2007AJ....133..496C;2007MNRAS.380.1608L;2008AJ....136..735L;2009MNRAS.398..109W;2011ApJ...737...45O;2011ApJ...743...94R;2011PASP..123.1011A;2012A&A...544A..18V;2012ApJ...756...27L;2012MNRAS.423..197B;2012yCat.2311....0C;2014A&A...570A.110Z;2014ApJS..212...18B;2014MNRAS.440..696A;2014yCat.2328....0C;2015A&C....10...99A;2015AAS...22533616H;2016yCat.7275....0D;2017ApJ...850...68C;2017ApJS..229...25C;2017ApJS..230...24B;2018MNRAS.474.5008D;2018MNRAS.474.5363K;2019AJ....158..138S;2020ApJ...901....3I;2020ApJS..247...53K;2020ApJS..249....3A;2020arXiv201213084M;2021MNRAS.504.3831B;2021arXiv210804778P;2021yCat.2368....0S
NGC  5252,1987ApJ...313..651E;1998AJ....115.1693C;2007MNRAS.380.1608L;2008AJ....136..735L;2010AJ....139.2440R;2011A&A...527A.126P;2011Ap&SS.335..161B;2011ApJ...737...45O;2012yCat.1322....0Z;2012yCat.2311....0C;2014ApJ...794..152M;2014yCat.2328....0C;2015AAS...22533616H;2015ApJ...810..166E;2015ApJS..220....6B;2016MNRAS.456.3335S;2016yCat.7275....0D;2017A&A...600L...4A;2017ApJS..230...24B;2018ApJ...867..105T;2018MNRAS.474.5008D;2019AJ....158..138S;2019ApJ...870...31I;2019ApJS..243...21L;2020AJ....160..271D;2020ApJS..247...53K;2020ApJS..249....3A;2020arXiv201213084M;2021arXiv210804778P;2021yCat.2368....0S
Mrk  279,1987ApJ...313..651E;1990IRASF.C...0000M;1998AJ....115.1693C;2008A&A...488..401R;2008AJ....136..735L;2009A&A...495..421B;2009MNRAS.398..109W;2010A&A...520A..36E;2010AJ....139.2440R;2011Ap&SS.335..161B;2011ApJ...737...45O;2012ApJ...756...27L;2012yCat.1322....0Z;2012yCat.2311....0C;2013SSTSLC4.2....0C;2013wise.rept....1C;2014ApJ...794..152M;2014yCat.2328....0C;2015A&C....10...99A;2015AAS...22533616H;2016A&A...588A..70B;2016MNRAS.456.3335S;2016yCat.7275....0D;2016yCat.9048....0M;2017A&A...600L...4A;2017ApJS..230...24B;2018ApJ...867..105T;2018ApJS..236...37P;2018MNRAS.473.4937S;2018MNRAS.474.5008D;2018MNRAS.477.3145J;2019AJ....158..138S;2019ApJ...870...31I;2020arXiv201213084M;2021arXiv210804778P;2021yCat.2368....0S
UGC 11680,1988IRASP.C......0J;1990IRASF.C......0M;1990IRASF.C...0000M;2010ApJS..187..172G
