id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"NGC   262" 0.015260233939595302 0.19701666860040276 0.019701666860040278 0.4016666728500277 0.040166667285002775 nan nan 3.7700000684708357 0.15 7.50999990850687 0.1501999981701374 10.700000450015068 0.21400000900030136 nan nan 24.153845814558174 3.2664968 30.176923252069034 5.5803224 27.472727678038858 5.038849 54.37291664841275 3.2623749989047646 47.00000040233135 2.8112497220986965 74.2 5.47 89.79583419387541 5.3877500516325245 98.3 5.43 180.0 6.630000000000001 309.0000011920929 26.213736908964584 276.16666995343707 16.570000197206223 672.0000003973643 40.32000002384186 649.9999761581421 25.999999046325684 826.3333249092102 36.22554340382625 1314.9999968210855 119.01260572436225 808.0000281333923 80.80000281333923 nan nan 1549.999976158142 173.49424335828328 nan nan nan nan 995.0000047683716 99.50000047683716 1330.0000429153442 179.99999999999997 711.0000252723694 110.0 nan nan
"IRAS 04385-0828" 0.015064 nan nan nan nan nan nan 1.610000035725534 0.08 3.9400001987814903 0.1 6.029999814927578 0.4699999999999999 nan nan 9.315000008791685 1.317953 14.285999909043312 2.3535292 19.233332739935978 2.1748564 52.87166693160931 3.1723000158965586 53.900000000000006 4.790763050913705 109.0 6.04 120.55555564496252 7.233333338697751 174.00000000000003 8.09781729850705 356.0 10.68 435.99999845027924 28.20017730440715 368.3333362473382 22.10000017484029 1264.2916792134445 75.85750075280667 1320.0 52.800000000000004 1644.9999785423279 66.2386782778763 2860.000023841858 174.45343218177163 nan nan nan nan 2335.000052452087 242.0743687382041 nan nan nan nan nan nan nan nan nan nan nan nan
"IC 4553" 0.0184 0.10450000263517722 0.025709918 0.4137499927310273 0.04368066 2.3400000017322604 0.08574671995101751 6.900000014528632 0.3731574734612721 13.989999971911312 0.5204325124355703 26.727499992400407 0.7608054936689671 41.05000005066395 1.2496499509862753 46.861562766355924 3.3918543768608713 54.84423075083357 4.2245739714632435 57.4653846054123 3.627409452259297 35.357272598249 2.196760190231626 nan nan nan nan 34.335909135301 2.06015454811806 nan nan nan nan 569.9999957680701 28.655889299425 468.66666534211896 28.119999920527135 4931.666711171469 295.90000267028813 5665.000200271606 510.0980000000001 7961.66659673055 288.4812181338717 103833.33333333334 4930.917298281934 139000.0 13900.0 75000.0 7500.0 112833.33333333334 2259.357928704525 nan nan 54900.001525878906 6700.0 86300.0 8630.0 30500.0 2436.4728605096343 12250.0 999.9999999999999 3885.0 312.4099870362662
"Mrk 1239" 0.019596890592891433 nan nan nan nan 1.7099999822676182 0.034199999645352364 4.285000031813979 0.24020823000000002 8.339999942108989 0.16679999884217978 9.800000116229057 0.55443664 nan nan 22.646153775545265 2.4207437 46.69230832503392 5.296225 88.99166869620483 7.1923574 180.77083152284223 10.846249891370533 234.0 8.61 277.0 10.200000000000001 260.83333292272357 15.649999975363414 344.0 10.32 500.0 15.0 675.4999876022339 47.64779638136479 537.1666764418284 32.2300005865097 920.7857037952969 55.24714222771781 nan nan 1175.000019073486 59.51942960076146 1369.9999833106995 84.18580640464282 nan nan nan nan 1070.0000524520874 240.0 nan nan nan nan nan nan nan nan nan nan nan nan
"NGC  7479" 0.007967227179902725 5.495000024437905 0.5495000024437905 9.944999785423278 0.9944999785423279 nan nan 6.850000005215406 1.3 16.200000420212746 3.1 25.299999862909317 4.5 nan nan 131.27692273029913 7.1631 152.33214182912238 9.199897 97.35833356777827 11.258773999999999 46.0458336075147 2.762750016450882 23.3 0.699 39.49999999999999 1.1849999999999998 83.11111183895007 4.986666710337004 nan nan 187.0 5.609999999999999 1221.416655222575 60.334984048026605 509.1666676714306 30.550000060285836 2331.0416261355076 139.86249756813046 2474.9999999999995 98.99999999999999 3772.5000023841862 228.63801168800453 14125.0 1448.1455264103295 14300.000190734863 1430.0000190734863 nan nan 24937.50006357829 1913.9209041925067 nan nan nan nan 26000.0 2600.0 17299.999237060547 1210.9999465942385 7510.000228881836 525.7000160217285 2690.000057220459 188.30000400543216
"NGC  3735" 0.00901 3.1900000758469105 0.31900000758469105 4.549999876568715 0.45499998765687155 nan nan 5.770000163465738 0.64 13.399999588727951 0.267999991774559 nan nan nan nan 87.28889044788149 4.7053164 119.80000117586718 7.5901253 70.23999933153391 6.3379807 50.12380991932892 3.0074285951597353 nan nan 12.125 0.36374999999999996 38.883333644208804 2.333000018652528 nan nan 49.5 1.4849999999999999 656.6666523615519 37.504966337806515 244.11904855569205 14.647142913341522 592.5833405653635 35.55500043392181 482.49999809265137 19.299999923706054 1068.3333190282185 50.91600927016963 6813.333237965901 236.71185014696667 nan nan nan nan 18483.33314259847 647.0904109937035 nan nan nan nan nan nan nan nan nan nan nan nan
"NGC  4477" 0.00449 0.2114214287972743 0.039775572068759105 0.8750952275180746 0.08750952275180746 32.5 1.11 103.00000100210309 2.4942735519297075 187.85000002384186 4.362479226311571 280.6499999463558 6.408634800017863 478.9999997615814 9.57999999523163 370.28235416201983 28.528055 459.76471068227994 56.026779999999995 289.8749983869493 33.343215 149.58250074982644 8.974950044989585 247.98332820733387 9.79086444515626 123.22500208616256 4.000010557798566 73.37777799268564 4.679194975208448 nan nan 62.48166827599208 3.4676118485926306 160.00000298023227 24.08318915758459 30.827778150637947 7.70637790116894 21.833333333333332 2.8198226894611653 18.7366669776539 2.550883503914392 nan nan 547.2500107288361 59.13351463726857 nan nan 594.5000052452087 80.89499 1237.4999737739563 171.13444737860706 1205.0000286102293 120.50000286102294 662.0000004768372 113.75851999999999 1180.0000214576723 118.00000214576724 458.49998712539673 39.0600819251573 163.33333611488342 17.112178898862258 44.94999953210354 7.827835177531031
"NGC  4941" 0.003703 3.8800000911578536 0.38800000911578536 4.346666624769568 0.43466666247695684 nan nan 8.65000020712614 0.21000000000000002 19.099999219179153 0.9 30.400000512599945 3.2 nan nan 108.65999708573024 17.336667 124.39333287378153 26.682392 90.2714291587472 20.922476 52.28500013649463 3.7133263122170184 112.40000220537186 3.928896155410575 78.24999761581421 2.4074052421642684 39.689393950908475 3.1468174642006366 138.19999797344207 7.457145901750883 120.05000149011612 4.66476151587624 184.00000017881393 26.127619485900357 117.65166775683561 10.7929842424153 314.7878801425298 23.318504649990793 312.8749934434891 12.514999737739563 527.0000050067903 33.38191875851357 1370.0000071525574 102.24022232603089 964.9999737739563 96.49999737739563 1850.000023841858 190.0 4190.00002861023 206.12435566909602 5330.0 983.0 nan nan 5250.000023841858 525.0000023841858 5580.0000826517735 400.3748310428148 2752.499997615814 198.55728880826814 965.9999907016754 139.28836805276393
"IRAS 11215-2806" 0.01374 nan nan 0.06274000188568607 0.013747727 nan nan 2.6599999982863665 0.05319999996572733 5.410000216215849 0.25999999999999995 6.98000006377697 0.5199999999999999 nan nan 7.889000000432134 1.3265746 9.843636325306514 2.4660697999999996 9.705555573519733 1.4378456000000002 11.762500274926424 0.7057500164955854 nan nan nan nan 26.37499966658652 1.582499979995191 nan nan nan nan 162.0000002384186 25.27968552019585 126.28571476255144 7.577142885753086 288.83332510789234 17.329999506473538 nan nan 340.50000178813934 20.52949098248663 565.9999923706054 40.163914151885145 nan nan nan nan 837.9999995231628 250.0 nan nan nan nan nan nan nan nan nan nan nan nan
"NGC  3281" 0.010731631725569235 0.04149999949731864 0.007500000000000001 0.291000003926456 0.029100000392645597 nan nan 5.280000157654285 0.12999999999999998 13.299999758601189 0.7 20.500000566244125 1.7000000000000002 nan nan 77.41750008426607 6.3945292 90.4777759893073 9.676260000000001 57.874999241903424 8.2807 81.79444484180875 4.907666690508525 66.19999999999999 1.9859999999999995 nan nan 163.00000072850122 9.780000043710073 268.5 8.055 nan nan 894.9999928474426 85.06615072988785 632.2618993463971 37.93571396078382 2048.9582951863604 122.93749771118162 2175.0 87.0 2630.000057220459 96.49130789869106 6827.500066757202 339.6796284736546 7340.000152587891 734.0000152587891 nan nan 7605.000114440918 381.0118108405565 nan nan nan nan 7010.000228881836 701.0000228881836 2589.9999141693115 181.29999399185184 1009.9999904632568 70.69999933242798 291.9999957084656 23.33452377915607
