                       id             redshift                   FUV               FUV_err                   NUV               NUV_err               u_prime            u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err              J_2mass           J_2mass_err             H_2mass          H_2mass_err             Ks_2mass         Ks_2mass_err                WISE1             WISE1_err                IRAC1            IRAC1_err               IRAC2             IRAC2_err                WISE2             WISE2_err                IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3            WISE3_err               WISE4           WISE4_err               MIPS1            MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err             PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err             PLW_ext         PLW_ext_err 
             LEDA   45656              0.15434    1.5462500450666994   0.21867277845533356    1.3824999914504588    0.1955150237889927    2.2646428385217274      0.236031930926575    2.052884589200123   0.21193949879974355    2.071785698977432   0.21377081170547427   3.2339285743156716   0.33080649975892745   2.3884615466858334    0.2435762406803414    3.440000031045393    0.5514852760350775   4.307368549665338    0.774166818005571    7.202500069979578    1.108855285886292    9.212222084469266    1.0743204763834358    9.669999592006207   1.0095775968158476  12.600000016391277    1.3154786218340289   13.189999919136365     1.538205100429951                  nan                  nan                 nan                  nan                 nan                 nan   30.40666672637065     3.54599621928121   73.09285679374422   8.575549830558797   68.50000006556512     7.37767579283585                 nan                 nan                 nan                 nan   51.30000039935112   7.254915631450755   86.30000054836273   12.61415478525906                 nan                 nan   54.20000106096268   7.665037658104956                 nan                 nan   44.70000043511391   7.482038518277745                 nan                 nan                 nan                 nan                 nan                 nan 
  2MASS J22255427+1958370                0.147                   nan                   nan                   nan                   nan                   nan                    nan  0.18843185293552064  0.023489479650473762   0.5004750020662284   0.05216926571043986   0.7952741355552462    0.1637241834764096   1.0672200098399895   0.15466928352397827   1.1899999735760503    0.3785643864442514                 nan                  nan      2.5433332969745    0.584624200425711    4.721111143222078    0.5505714393269209                  nan                  nan                 nan                   nan     7.93708336810892    0.9256150260963966                  nan                  nan                 nan                  nan                 nan                 nan   19.44999982143442    2.268240266270676   45.70833320568006   5.330461842317611   43.54999962598086    4.690478506731059                 nan                 nan                 nan                 nan                 nan                 nan  166.99999570846558   17.98644999361684                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             LEDA   90196               0.1622                   nan                   nan                   nan                   nan   0.08893749998151179   0.017639693839516322                  nan                   nan   0.4581640460277203   0.04910308491561237                  nan                   nan                  nan                   nan    1.254166631648938   0.30843047599065904  1.7425000260118395   0.5174582640396447   2.5518182665109634   0.5036047556955878    3.453295478513041   0.40271999627792654                4.055   0.4233544289363228                 nan                   nan    6.488000032939016    0.7566243217164426    9.905000000000001     1.03411235970759                 nan                  nan                 nan                 nan   32.18749999925494    3.753675282219774   151.7500008493662  17.696939099907755                 nan                  nan               167.0  23.901882771028728              1870.0  209.07235589623033                 nan                 nan                 nan                 nan              2040.0   274.7216773390844                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
  2MASX J10032788+5541535                0.146                   nan                   nan  0.014000000192027073  0.004222558607036329  0.035742857107834425   0.004779698522491583  0.12220713844206851  0.012462731672328847  0.28985714379814453  0.029559744647620175   0.4149285762520906   0.04231457814113364  0.49978571665373506  0.050969183208032474                  nan                   nan                 nan                  nan                  nan                  nan   0.7042499941557181   0.08212895675734153                  nan                  nan                 nan                   nan   0.6773333324394966    0.0789899615645993                  nan                  nan                 nan                  nan                 nan                 nan   2.324999987327804   0.3190826722403664   8.910833266749979  1.7743872047918132   8.711666718969742   0.9382752205296153                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
           QSO B1626+5529                0.133                   nan                   nan                   nan                   nan     2.264999959152192    0.23173745503426232    1.709999967715703   0.17554486281556303    1.758750033332035    0.1813339922973962    2.866250040824525    0.2923012977800074    2.258750013425015   0.24681879483345176    2.786153891625313   0.49540543904380857   3.533846179309946   0.6148826416595894    5.806363568725911   0.8161118397170053    8.926250116365651    1.0409707005977076    9.189999662339687   0.9594641329161079   11.19999960064888    1.1693142873045006    11.59166663537423    1.3518090106390082                  nan                  nan                 nan                  nan                 nan                 nan   15.34333325823148   1.7893247627065556  19.561110887262554   2.338852308077605  16.741666831324498   1.8739650979364366                 nan                 nan                 nan                 nan                 nan                 nan   18.74999968856573  3.9499018827322976                70.0  24.041630560342615                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             LEDA   29208              0.16012    0.5399999907240272   0.07636753105632647     0.626999995438382   0.08867118971568286    0.8841666577306265    0.09225647293043418   0.9740000265689257   0.10149758866278777   1.0100000072270632   0.11552488993319437    1.378500001737848   0.14151898298109028   1.2025714199158497    0.1231778396546237    1.504000014392659   0.39461395054270293   2.188000059686601  0.48163620590488027   3.8705881520667496   0.7025059087948068    9.037105191365669     1.053898512790199    9.449999779462814   0.9866089420672888  12.299999594688416    1.2841576582802259   13.016666829880949    1.5179911623252857                  nan                  nan                 nan                  nan                31.0   6.753517601961218  22.312500210199502    2.602062307587979   38.05666647056738   4.922131139734121   37.00833331545194    3.985919482821504                 nan                 nan                 nan                 nan   40.19999876618385    5.68513834625189  38.099999722838405   5.700054805771859                 nan                 nan   41.70000180602074   5.897270810505709                 nan                 nan   38.80000114440918   9.071626143534662                 nan                 nan                 nan                 nan                 nan                 nan 
  2MASS J14533151+1353587              0.13901                   nan                   nan                   nan                   nan   0.04196666729209634   0.005708065337692127  0.18433333025313914   0.01879838495932599  0.43999999373530346   0.04487137108074031   0.7250000101824602   0.07393578398550665   0.9396666525087009   0.09582757194828553   1.1909999884665012    0.2796154741093569  1.9019999890588224  0.37185488407504147   3.8379999808967113   0.5648030180714614    9.247948700732145    1.0784868799993248                  nan                  nan                 nan                   nan   19.729166599114738    2.3007964272965338                  nan                  nan                 nan                  nan                 nan                 nan  37.001515191070965    4.315081102310448  115.10000076293944  13.422851350907147               117.0    12.60128564869474               149.0  27.741124706831915               555.0    82.5436854035486                 nan                 nan   702.0000219345093   75.60771625458739               702.0  182.07701667151733                 nan                 nan  423.99999499320984   49.73690739825326                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
 SDSS J040208.86-050642.0              0.13929   0.04587499915942317  0.011590736428901951   0.05287500061967876  0.009891292127663922   0.07704000017838553   0.009168512320828269  0.13039999903412536  0.013343222899322838  0.15839999978197739  0.016275920892685064  0.18100000161211938   0.01864430224595086  0.18780000100377947  0.024386233142232108                  nan                   nan                 nan                  nan                  nan                  nan  0.15221428642395352  0.024556638269861566                0.132  0.03721934980624997                 nan                   nan  0.09723333255965706   0.02632609407727578                  nan                  nan               0.415  0.07847171464929259                 nan                 nan                 nan                  nan                 nan                 nan                 1.1  0.14866068747318506                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
 SDSS J161647.32+371621.2              0.15185  0.043333332238641255  0.009091081504746542   0.06386666548981641  0.009555077862341157   0.17299999308306724   0.017642606811639535    0.375333498936925   0.03877424867557059   0.8194399939384311   0.08356681038620828    0.335742500624292   0.06097729607609235    1.241790998090014   0.12663833062129684   1.2919999891892076   0.34451799241260117   1.584000000730157   0.3933072356607901   1.6911110788997676   0.5029896182949634   1.5677666697585178   0.18283144067407472                  nan                  nan                 nan                   nan    2.749649984644493   0.32066153576248313                  nan                  nan                 nan                  nan                 nan                 nan   22.03571467506034     2.56978384477627   99.86666672627132  11.646354591588716                 nan                  nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
          IRAS 15206+3342               0.1253                   nan                   nan                   nan                   nan    0.4242999944835901    0.04327027902978274   0.6847333376451085   0.06996854593620006   0.8783812513684097   0.09310841143293823   1.3925999985076487   0.14290677929026296   1.3137999728011587   0.13398183396541558   1.5192308122865283     0.264349435619398  1.7346153662611659   0.3062497676639086   2.3236364041539757   0.3526937344029465   3.3194317958029833    0.3871089423909429   3.6100000000000003  0.37689506497167086               5.105    0.5329776472798836    5.335795424079353    0.6222553287708478    9.709999999999999   1.0137537620152144   40.74999999999999    4.254424902381048   81.15000096559524  20.682256558057475   57.09722235368357   6.6586231374722935   292.2222201691734   34.07867416822685                 nan                  nan  354.00000071525574   41.47094418320696  1764.9999952316284  205.06455666299354                 nan                 nan                 nan                 nan  1900.0000031789143  247.28576474207807                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                 Ton  182                0.164    1.5580000123009086    0.2203344747573394     1.805999968200922   0.25540696486751224       2.9649999535953    0.31853139215820275   2.5858333489547176   0.26370429410438173    2.323749994199413   0.24279238004218326   2.9550000714759035    0.3013520605424741    2.404166608660792   0.24601863936900698   2.7381249819882214   0.48236219763061855    4.66000015148893    0.702677744303056     9.15533322840929   1.2043675748076883   19.109091180562977    2.2284838285615063    20.19999921321869   2.1089418326575506  26.799999177455902    2.7980020585119023   27.975757653785475     3.262505942021467                  nan                  nan                 nan                  nan                 nan                 nan    56.0878787144567    6.540914453358294    110.116666529576  12.841699707093586  100.23333333333332    10.82235492862395                 nan                 nan               259.0   88.39513561277002   254.0000081062317   35.92102563067089   243.5000034570694  26.225752983082806                 nan                 nan  259.99999046325684   36.76955127300132  136.30000220537187  22.172886731588285  166.99999570846558    30.0647631899251    72.9999989271164  12.381033819257176                 nan                 nan                 nan                 nan 
            MCG+13-07-002             0.131344    0.5880000147347649   0.08315575955134843    0.7403333438560367   0.10469894555582311                   nan                    nan   1.1599999852478504   0.15323511235271808   1.3100000214762986   0.16396951107653834   1.7449999577365816   0.28583255329826707   1.1099999537691474   0.11498260291746353                  nan                   nan                 nan                  nan    4.248333415792634   1.1000378279774758    7.309666604089241    0.8524462867160315                  nan                  nan                 nan                   nan    9.411499928832054    1.0975600668671934                  nan                  nan                 nan                  nan                34.0    6.04648658313239  25.331250016763804   2.9541060056809787     71.535713578122   8.342426092749223   72.99999988377094    7.862340605898123   98.39999999999999  21.592489434986415  173.00000000000003   38.95561576974494  156.00000321865082  22.061732028206247  141.00000262260437  15.741982321033916               303.0   73.60767623013243  209.00000631809235  29.557064347110874  118.00000071525574  24.964775218054807   228.0000001192093  32.385799365518125  118.00000071525574  15.467385095354791   49.19999837875366    9.82122183868655                 nan                 nan 
    2XMM J142930.6+425148                0.155                   nan                   nan                   nan                   nan   0.02800749984999129  0.0036206940728918083  0.09577750068956448  0.009767426899584713  0.19377250024490422  0.019760995198928585  0.32752499589605577  0.033401126905267704  0.42762500288517913  0.044759400546429795   0.5859999801032245   0.13952406254499541  0.7430000114254653   0.2268203860194337    1.019999966956675   0.2590444258567219   0.7615500015592552   0.08881122849222761                  nan                  nan                 nan                   nan   0.5917449957344215   0.06900873208285699                  nan                  nan                 nan                  nan                 nan                 nan   2.787500021227946  0.34536765019531124   7.709166721204917   1.400409872372133   5.895000005587936   0.6349109313629971                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
    2XMM J094506.4+035552              0.15591  0.019100000524000887  0.006190969202113158   0.03733333384540553  0.006587698922674638   0.09710833213224154   0.011052727362485588  0.21363333386640687  0.021786410762773822  0.43824999859983416   0.04469290589385131   0.5874166599824093  0.059904980237196065    0.685916672712968   0.07354465834277354                  nan                   nan                 nan                  nan                  nan                  nan   0.8288166603238011   0.09665580151988845                  nan                  nan                 nan                   nan   1.0784666585053009   0.12576974411877928                  nan                  nan                 nan                  nan                 nan                 nan   5.414444412150316   0.6481044190394278   19.11874994598329   2.886354297794235   18.08333370735248    1.947634645530074                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
