                         id  redshift                   FUV               FUV_err                   NUV               NUV_err               u_prime            u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err              J_2mass          J_2mass_err              H_2mass           H_2mass_err            Ks_2mass         Ks_2mass_err                WISE1            WISE1_err                IRAC1             IRAC1_err               IRAC2             IRAC2_err                WISE2             WISE2_err                IRAC3             IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3            WISE3_err               WISE4           WISE4_err               MIPS1            MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err          PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err         PACS_green     PACS_green_err               MIPS3           MIPS3_err           PACS_red       PACS_red_err             PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err 
                   3C 234.0   0.18494   0.10159999801544473  0.018660804704055844   0.07938000198919326  0.011226027539432037   0.12168760283278365    0.01300496253298136  0.19911266922463255  0.020305587715598938  0.46338666991990374   0.04737818145032102   0.5747533335428064   0.05916514111517512    0.604496665497815   0.06269676831027794   2.0773333342125015   0.6474204109388035                  nan                   nan   5.038461468827267   0.8306990756031514    11.51666669199864   1.3430625894002246   14.700000000000001    1.5347250568098512                25.4    2.6518378532632796    24.97916678947707    2.9130463984551622                 42.7     4.458010879304806                 nan                  nan               160.0    32.9460164511584  115.22500169277191   13.437428839080427  289.92499858140945  33.810774396825806               274.5    29.56455479116843               258.0  43.642639700183125               231.0   43.53412454615345                nan                 nan                 nan                 nan                 nan                 nan                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
  [VV2000] J235225.0+244009     0.212                   nan                   nan                   nan                   nan                   nan                    nan   0.1063071423621815  0.012360100477259085  0.23268571723227588  0.026280723208783042   0.3421714230041419  0.036397978460253395   0.4358499967825732   0.06078365259929631                  nan                  nan                  nan                   nan  3.9409091272814702   0.8076556758967239     7.76599996317178   0.9056634440125007                 9.29    0.9699044746777901                 nan                   nan   12.327777631415263    1.4376535667826469                 17.4    1.8166133325504357                 nan                  nan                 nan                 nan   27.31250019352883   3.1851574951283914   90.86875104531646  10.597026321798278                 nan                  nan                 nan                 nan              1020.0  130.87398519186308                nan                 nan                 nan                 nan              1450.0   336.8100354799423                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
 [VV2003c] J035734.0-053719   0.20373                   nan                   nan  0.029999999242136255   0.00898776960052636  0.026066666376007356  0.0064834181248235225  0.04456666627245593  0.005298289962832986  0.06335555533749154  0.007458502566195739  0.07691000064369291  0.009356360668211623   0.0813222213764675  0.021903039051804386                  nan                  nan                  nan                   nan                 nan                  nan   0.5563944441174261  0.06488618476415807  0.12849999999999998  0.013415793863950056               0.124   0.01306087669339237  0.34267083359421424    0.0442732483746074              0.10965  0.019449699869149652              0.7225  0.07543121452687873                 nan                 nan  1.3519999940134586  0.27464029583796484  6.2909999458491805  1.8378293543253321  3.7524999536946417  0.40415661378820483                 nan                 nan                 nan                 nan                nan                 nan                49.0   7.746612162745725                 nan                 nan                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
   SDSS J143417.15+020742.3   0.18029   0.04054999953950755  0.007907782338761646   0.06442500125558581  0.009111071053155314    0.0919666660289901   0.010171463882081544  0.13514999591279775  0.013782649328426816  0.22149999737545537   0.02288279897625067  0.30966666963649914  0.031579927823715985  0.27999999292660505   0.03187475417848905  0.20300000323913991  0.02070201955551546  0.24900000425986946  0.025393117612115216  0.3020000003743917  0.03079807790028103  0.42286666723904714  0.04931430389208878  0.34750000000000003   0.04027669921927565               0.293   0.03798131119379635    0.415666665261567   0.05004890384179597  0.47150000000000003   0.09823121957911345  1.7850000000000001  0.18803895872930165                 nan                 nan  1.9879166630997012   0.2621662177758672   6.725833370362718  1.5310513999903748    5.56499990016222   0.5993688322812123                 nan                 nan                 nan                 nan                nan                 nan                76.0   9.682974749528164                 nan                 nan                nan                nan                 nan                 nan                nan                nan   50.25000052452087  10.860622246840911                 nan                 nan 
            IRAS 11119+3257   0.18758                   nan                   nan  0.021899999410379678  0.004736676022459875  0.011293999887129758  0.0036572590086884683  0.10048888846843813  0.010778690437166234   0.5089999823313621  0.051908016846519967   1.3500000350177288   0.13767353043812683   1.7322222314154108   0.18249914730324698   3.6892307062561693   0.5084331189591492    7.196153872288191     1.060917676633691  15.454545193775132   1.8380504883226523   33.268332938353225   3.8797209797047016                34.25     3.575804979301864                 nan                   nan   49.258333685000736     5.744459482749543                 62.1    6.4834303420334525                 nan                  nan  166.99999785423282  25.312052323609354  103.47500069396837   12.067155027312273   293.6346103961651   34.24338575763361                 nan                  nan  347.99999499320984  42.837045476465114  1590.0000166893005  200.40521582713302                nan                 nan                 nan                 nan  1519.9999904632568  193.35200984236758                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
               LEDA  166692     0.181   0.02769999991869554  0.009534825846661979  0.030300000920154464  0.006985048185455873                   nan                    nan   0.1049999991664663  0.010707940893540756   0.3100000030826777   0.03161392129864794   0.8580000139772892   0.08749917627866159   0.8280000183731318   0.08518122037314954   2.9289999743923545    0.404215804433761    6.034000031650066    0.7815315262614363  15.050000417977571   1.7649434058579614     39.0041666460534    4.548628388233339                  nan                   nan                 nan                   nan    67.07916709209482    7.8227079292058965                  nan                   nan                 nan                  nan   229.0000010728836    35.8184659765575   181.1704538193616   21.127924019759792   452.0999940037728   52.72346633391696               430.5   46.366268989428086   527.9999985694885  56.516280706481375   883.0000081062317   98.55303213577983                nan                 nan                 nan                 nan  1450.0000476837158   342.2353011932401                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
    2MASS J14025120+2631175   0.18748     0.134333332728905   0.03766237046800091   0.22516666649607942  0.034161386393217745    0.4875769395417032    0.05046843285507275   0.5811538430862129   0.06006577974304547   0.7962307650954104    0.0811999241708882    1.274374983040616   0.13168263362652247   1.1520833456112691   0.11776230491419645   2.0111764315515757  0.41826823492896303    3.322352929150357    0.6419348482561369   5.739230626764206   0.8710842013159936   10.132499939724804   1.1816423944611647   10.300000198185444    1.0753515911089544  12.400000356137753    1.2945980442867813   12.883333467443785    1.5024419538783045                  nan                   nan                 nan                  nan                 nan                 nan   16.23636327778751   1.8934690644002348  27.066667005668084  3.3301005526717615  24.575000184774396     2.64680852260742                 nan                 nan                 nan                 nan                nan                 nan  29.899999499320984   5.319783802053797                 nan                 nan                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
               LEDA 3096524   0.17078                   nan                   nan  0.025950000235752668  0.008127362925147347   0.10939999992842786   0.011616092233016672  0.23043565806728905  0.024686198983399615   0.5460936986331979    0.1234460726762042   0.8053846182659841   0.08362681275135415    0.988564984263226   0.10323084553477155   1.4799999840119307  0.27659355625605153   2.3611763711361324   0.39057847954683317   4.518666708221039   0.6501411397288085   12.475000068483254   1.4548225057503537                  nan                   nan                 nan                   nan   18.683333331967393    2.1788323578812325                  nan                   nan                 nan                  nan                 nan                 nan  53.830303117000696    6.277638159203442  143.01515216538402  16.678289450206698               135.5   14.593796627334505               163.0   24.13565826738521               277.0   49.89529035891063                nan                 nan  268.99999380111694  28.972185994743494                 nan                 nan                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
            IRAS 13342+3932  0.178992                   nan                   nan                   nan                   nan   0.16308333215420134    0.01696206746995943   0.2996583357344207   0.03236033367185692   0.6034608348954862  0.062476714445080586   1.2101999949663877    0.1284205594761853   1.4404624904879406    0.1468989269519294   1.8835000577382743   0.4374651391959521    3.146500082220882    0.6512331490636208  5.3737501439172775   0.8569550426763062   11.622940536230313    1.355456142868128                10.95    1.1432135627257052                 nan                   nan   15.838964323892393    1.8471247807357494                 17.8    1.8583745585860783                 nan                  nan                 nan                 nan   57.49583336363236    6.705108769947635   183.0606046571876   21.34835159194709                 nan                  nan                 nan                 nan              1110.0   174.0028735394907                nan                 nan                 nan                 nan              1630.0   230.5168106668145                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
               LEDA  165618   0.20281   0.06956666766200215   0.01582419687909748   0.03433333282979826  0.008253955167192469   0.11703124937412213   0.012744533580727468  0.17285625017393613   0.01762794785366753  0.32749999809311703   0.03339857761956807   0.5273125061648898   0.05377553517392577   0.5540625015783007    0.0568097928127453                  nan                  nan   2.3206250480143353    0.7550185489106046    9.99142841569015   1.4660103198335972    42.01363631134683    4.899589845179782                 52.6      5.49160122368695   80.55000000000001     8.409666892927449    85.58181831890887      9.98046931381896                128.0    13.363592331405505                 nan                  nan               262.0  45.092460567150255   162.2500021755695    18.92143915248582  255.38888592190213  29.783206165774914               241.0   25.956494370388313   442.4999966621399   64.78088043906118              1210.0  145.70590241990885                nan                 nan                 nan                 nan               713.0    159.789517803891                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
                  Ton  1388     0.176     4.650000017136335     0.657609308926933                   nan                   nan     7.312857146774019     0.7457680258303436    5.626642909884962    0.6198938228503731    5.673333342807989    0.6010341985381313    7.529214114973521    0.8254947908169679    6.426666669237116    0.6553939750759281    5.802142999268004   0.7768839361473605    8.862143182860953    1.1851479999856762  16.307692401684246   1.9440700796627322    34.90833405752977    4.070976332372919                  nan                   nan                 nan                   nan   47.249999715273205     5.510249507424244                  nan                   nan                 nan                  nan                 nan                 nan   65.10833344012498    7.592871204858328  112.02878664063684  13.064689314788826  103.66666666666667   11.165241700125538                 nan                 nan                 nan                 nan  82.29999989271164  11.638977603157707    64.0499988079071   9.153701353710915                 nan                 nan  67.19999760389328  9.503514800286537                30.5  10.158671172943833  56.40000104904175  13.25932129421861  20.899999886751175   6.827744865814919                 nan                 nan 
 [VV2003c] J135355.9+664800   0.19827   0.06514999950013589  0.014257110859672833    0.1082500002667075  0.015562153709979277    0.0974083324460177    0.01130193934000723  0.14071666373638436  0.014535879650560992   0.1652999987224272  0.016990023399713342  0.19353333239754042  0.019925649454786865  0.18899999849963933  0.024384216594690936                  nan                  nan                  nan                   nan                 nan                  nan   0.2631766695775829  0.03111309351344647  0.31266666666666665   0.04922625767255159                0.19  0.030311219045099456    0.236833334648917  0.032246756380701055               0.2965   0.08367014103011898  1.3833333333333335  0.15615726403568655                 nan                 nan   1.697499998152877  0.22952900362232745   4.741666691824794  1.3713111180772979  11.261666599089901    1.212918612782021                 nan                 nan                 nan                 nan                nan                 nan                70.0    8.06225774829855                 nan                 nan                nan                nan                 nan                 nan                nan                nan                 nan                 nan                 nan                 nan 
