                    id               redshift                   FUV                FUV_err                   NUV               NUV_err             u_prime          u_prime_err             g_prime          g_prime_err             r_prime          r_prime_err             i_prime          i_prime_err             z_prime          z_prime_err              J_2mass           J_2mass_err              H_2mass           H_2mass_err             Ks_2mass         Ks_2mass_err                WISE1            WISE1_err               IRAC1            IRAC1_err               IRAC2            IRAC2_err               WISE2            WISE2_err               IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3           WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err             PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err             PLW_ext         PLW_ext_err 
             NGC   262   0.015260233939595302   0.19701666860040276   0.027862364474825513    0.4016666728500277   0.05680424562977863                 nan                  nan  3.7700000684708357   0.4057450001696891    7.50999990850687   0.7658727216111312  10.700000450015068    1.091190221801568                 nan                  nan   24.153845814558174     4.062521879417357   30.176923252069034     6.344010171614986   27.472727678038858    5.739120743242629    54.37291664841275    6.340917227186559   47.00000040233135     5.47659797485551                74.2    9.218313294741073   89.79583419387541   10.471903790839846                98.3   11.230040071166265               180.0   19.182202688951026   309.0000011920929   40.52122912868693  276.16666995343707   32.20629134916221   672.0000003973643   78.36799351306107   649.9999761581421   70.00713992490186   826.3333249092102   90.22503883877027  1314.9999968210855  177.35909967548056   808.0000281333923  114.26845981840857                 nan                 nan   1549.999976158142  232.64834351304896                 nan                 nan                 nan                 nan   995.0000047683716  140.71425013047252  1330.0000429153442  223.80572186954507   711.0000252723694  130.97790027089724                 nan                 nan 
       IRAS 04385-0828               0.015064                   nan                    nan                   nan                   nan                 nan                  nan   1.610000035725534  0.17978042482529127  3.9400001987814903   0.4064923316176848   6.029999814927578   0.7645318683222212                 nan                  nan    9.315000008791685    1.6139059333947845   14.285999909043312      2.75047224759066   19.233332739935978   2.9033103939248197    52.87166693160931    6.165842929569939  53.900000000000006    7.211345963826725               109.0   12.461605033060549  120.55555564496252   14.059072912442446  174.00000000000003    19.19204639948539               356.0    37.16749117172156  435.99999845027924   51.92504199792654   368.3333362473382   42.95467929852216  1264.2916792134445  147.44047925093562              1320.0   142.1683509083509  1644.9999785423279   177.3353089320979   2860.000023841858   335.0074646388559                 nan                 nan                 nan                 nan   2335.000052452087    336.336516675654                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
               IC 4553                 0.0184   0.10450000263517722   0.027752520409401456    0.4137499927310273   0.06016552686451646  2.3400000017322604   0.2492157700937644   6.900000014528632   0.7844402475682588  13.989999971911312   1.4926657335588518  26.727499992400407    2.778923812851752   41.05000005066395    4.290996392633662   46.861562766355924       5.7848713696055    54.84423075083357      6.92285502570085     57.4653846054123    6.795645930507244      35.357272598249    4.162586045868047                 nan                  nan                 nan                  nan     34.335909135301    4.004220688674389                 nan                  nan                 nan                  nan   569.9999957680701   63.79780516049827  468.66666534211896   54.65545560654914   4931.666711171469   575.1262270850153   5665.000200271606   762.3137426904841    7961.66659673055    846.819203366901  103833.33333333334   11494.67513736718            139000.0  19657.568516986023             75000.0  10606.601717798212  112833.33333333334  11507.315471521199                 nan                 nan  54900.001525878906    8661.99178453865             86300.0   12204.66304327981             30500.0   3903.703369878403             12250.0   1581.336460086847              3885.0  498.53008936271846 
              Mrk 1239   0.019596890592891433                   nan                    nan                   nan                   nan  1.7099999822676182  0.17438646555651802   4.285000031813979   0.4912354287774763   8.339999942108989   0.8505164489635286   9.800000116229057   1.1259662564017558                 nan                  nan   22.646153775545265     3.314888062868205    46.68461588712839    7.0600660659736185    88.99166869620483   11.442253971254335   180.77083152284223    21.08132045201755               234.0   24.933754229959035               277.0   29.518299409010677  260.83333292272357   30.418132336891404               344.0   35.914654390652295               500.0    52.20153254455275   675.4999876022339   82.66386654703602   537.1666764418284   62.64386099692464   920.7857037952969    107.381142885833                 nan                 nan   1175.000019073486   131.7148926592089  1369.9999833106995   160.7987858869375                 nan                 nan                 nan                 nan  1070.0000524520874  262.77176622018334                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             NGC  7479   0.007967227179902725     5.495000024437905     0.7771103559800574     9.944999785423278     1.406435357434312                 nan                  nan   6.850000005215406   1.4694301619044408  16.200000420212746    3.497770738077173  25.299999862909317    5.162450961571656                 nan                  nan   118.13333295285702    14.074972144722516   162.76538354129747      18.6580763875448   104.64545474811034   15.350137846771185     46.0458336075147    5.369820814469386                23.3   2.4325914165761584   39.49999999999999    4.123921071019667   83.11111183895007     9.69233790120051                 nan                  nan               187.0    19.52337317166273   1221.416655222575  136.23104182463942   509.1666676714306   59.37852691301592  2331.0416261355076   271.8438317375622  2474.9999999999995  266.56565795315794  3772.5000023841862  441.12685598196236             14125.0  2022.9388808518784  14300.000190734863   2022.325421167509                 nan                 nan   24937.50006357829   3143.546137996822                 nan                 nan                 nan                 nan             26000.0  3676.9552621700473  17299.999237060547   2111.734028393302   7510.000228881836   916.7123546801896   2690.000057220459   328.3563530478838 
             NGC  3735                0.00901    3.1900000758469105    0.45113413712339023     4.549999876568715    0.6434671534239386                 nan                  nan   5.770000163465738   0.8617012352688991  13.399999588727951   1.3665371877011823                 nan                  nan                 nan                  nan    87.28889044788149     9.916325245791986   119.80000117586718    14.182045158829451    70.23999933153391    9.460791426435282    50.12380991932892    5.845390488519533                 nan                  nan              12.125   1.2658871642054044  38.883333644208804    4.534536959812026                 nan                  nan                49.5    5.167951721910723   656.6666523615519   75.62230770901714  244.11904855569205   28.46892857487289   592.5833405653635   69.10649905046729  482.49999809265137   51.96684018342023  1068.3333190282185  118.34610600040246   6813.333237965901   721.2819130656953                 nan                 nan                 nan                 nan   18483.33314259847   1958.331442989871                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             NGC  4477                0.00449    0.2114214287972743    0.04504538088354741    0.8750952275180746   0.12375715391240304                32.5   3.4343267171310305  103.00000100210309     10.5977074226546  187.85000002384186   19.284902128078688   280.6499999463558   28.787407398008167   478.9999997615814    48.84860691590485    348.5157901519223    45.710858651470154   481.31250496953726     73.80120336903283    304.7999983032544   45.105992169138766   149.58250074982644   17.444167323657982  247.98332820733387   26.661176592027736  123.22500208616256   12.955465867881697   73.37777799268564    8.702749487802954                 nan                  nan   62.48166827599208    7.145902366952067  160.00000298023227  28.913664754519505  30.827778150637947   8.300107192842422  21.833333333333332   3.566278795109048    18.7366669776539  3.1650645403937068                 nan                 nan   547.2500107288361   80.57045547707402                 nan                 nan   594.5000052452087  100.39074643345188  1237.4999737739563   211.1896326302185  1205.0000286102293  170.41273831205538   662.0000004768372  131.61854306633137  1180.0000214576723  166.87720339459835  458.49998712539673   60.23215405362728  163.33333611488342  23.655960211558554   44.94999953210354   9.026628836168758 
             NGC  4941               0.003703    3.8800000911578536     0.5487148750924281     4.346666624769568    0.6147114891863609                 nan                  nan    8.65000020712614   0.8901264156471387  19.099999219179153   2.1114212516043414  30.400000512599945    4.413796587028085                 nan                  nan   108.65999708573024    20.460448976882155   124.39333287378153     29.43954917243364     90.2714291587472    22.78682319223553    52.28500013649463      6.4129560027912  112.40000220537186   11.906881621888916   78.24999761581421     8.18695433410675  39.689393950908475    5.065070589330639  138.19999797344207   15.703547987591657  120.05000149011612    12.87944209109109  184.00000017881393  31.956415641589643  117.65166775683561  15.965827824346388   314.7878801425298   39.17482296013499   312.8749934434891   33.69766807448632   527.0000050067903   62.38303096813724  1370.0000071525574  170.94462043965086   964.9999737739563    136.471605060081   1850.000023841858  265.18861378677013    4190.00002861023   466.9563709786358              5330.0  1118.2030227109924                 nan                 nan   5250.000023841858   742.4621236176228  5580.0000826517735   686.7779951021294   2752.499997615814   339.3929276040392   965.9999907016754  169.50754937511957 
       IRAS 11215-2806                0.01374                   nan                    nan   0.06274000188568607   0.01511168673684999                 nan                  nan  2.6599999982863665  0.27126783794837916   5.410000216215849   0.6002341404773268    6.98000006377697     0.87040450877926                 nan                  nan    7.889000000432134     1.543425858094046    9.843636325306514    2.6552724944007116    9.705555573519733   1.7347559077132897   11.762500274926424    1.371731465324012                 nan                  nan                 nan                  nan   26.37499966658652   3.0758270856485366                 nan                  nan                 nan                  nan   162.0000002384186   30.02503123682765  126.28571476255144   14.72731855573185  288.83332510789234   33.68346448664667                 nan                 nan  340.50000178813934    39.7600617728045   565.9999923706054   69.40244890229201                 nan                 nan                 nan                 nan   837.9999995231628   263.6710829651371                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             NGC  3281   0.010731631725569235   0.04149999949731864    0.00857161009278738     0.291000003926456    0.0411536152203418                 nan                  nan   5.280000157654285   0.5437683483325346  13.299999758601189   1.5029637173890515  20.500000566244125   2.6631748407042477                 nan                  nan    77.41750008426607    10.041150177276805     90.4777759893073    13.247350190408373   57.874999241903424   10.102729723322465    81.79444484180875    9.538789462763283   66.19999999999999    6.911482908898783                 nan                  nan  163.00000072850122    19.00890326215279               268.5    28.03222297642483                 nan                  nan   894.9999928474426  123.47671793487719   632.2618993463971   73.73377440064725  2048.9582951863604   238.9475450755181              2175.0  234.25466911035093   2630.000057220459   280.1420630854927   6827.500066757202   762.5810262625841   7340.000152587891  1038.0327763610383                 nan                 nan   7605.000114440918   850.6058237553184                 nan                 nan                 nan                 nan   7010.000228881836   991.3637395923192  2589.9999141693115  316.14977997053217  1009.9999904632568  123.28621055480254   291.9999957084656   37.37833563626715 
               IC 3639   0.011018278109241386                   nan                    nan                   nan                   nan                 nan                  nan  10.499999858438969   1.0707940834180356  18.699999898672104    1.935691081268746   22.80000038444996   3.6108724950223845                 nan                  nan    36.22307642721213    5.3461305143848445    37.25384619946663     7.197811567000822    36.59999991456667    6.156752451692415     41.5214285412005    4.842189048579936                50.7    6.583684378826191                50.4    6.258250554268342    48.6976193341471   5.6790695146180035                89.7   10.670955908446066               416.0    56.54599897428641    687.333325823148  100.72601932414831   429.1666693886121  50.049004081519485  1959.1666531562803  228.47613017078677              1800.0  193.86593305684215  2469.9999761581425  327.03095516242064    7769.99997138977  1139.2292454963665                 nan                 nan                 nan                 nan  12216.666762034098  1610.5460017153964                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
             NGC  4235                0.00742                   nan                    nan     0.546166668452012    0.1408828557301271   7.599999975599348   0.7793484434278799  35.547499682009224   3.6251478907599672  52.766665195425354    5.381165109973823    64.6999990567565   6.5981311543967225                 nan                  nan                  nan                   nan                  nan                   nan                  nan                  nan    59.87500065416097     6.98256497036487   86.95000095367432    9.077846609064245  62.699999046325686    6.546072081520394   42.62500058114529    5.260126360920464   54.44999824762344    10.09449928013579    35.8499997138977   3.9259013878808333                 nan                 nan   47.55624984875322   5.745686577491885   79.79999936819077  11.844388839523694  63.849999991059306    6.87685545774782                 nan                 nan               316.0   54.41553087125035   349.0000069141388  49.356054304627904                 nan                 nan               646.0   150.5628108132948   648.9999890327454  109.34354053918793                 nan                 nan   825.5000114440918  189.24720565577414   726.9999831914902  122.85068288242171  309.00000780820847   46.38491158782486                 nan                 nan 
             NGC  1056   0.005221233106985634                   nan                    nan                   nan                   nan                 nan                  nan   6.850000005215406    0.788241714650088  16.599999740719795   1.8427153643248793   25.39999969303608    2.767959509108168                 nan                  nan      66.300000064075    12.655706898098913    84.00833234190941     16.83609232081931    62.12500001614293   14.624129553440834     57.1222215609418    6.661538520970934                55.5    7.905656202997953   60.94999857544899     6.60700751198849  36.323939481490484    4.236062874956859  158.85000166893005   16.699199241346598  378.99999260902405    42.59674217562187   330.6666705211004  43.706028874004964  197.16666465997696  22.993386737988416  356.53750016959384  41.579060243945996               295.0  31.772472362093573   481.9166661500931   61.71545038718103   5430.833349227905   626.5953737925506                 nan                 nan                 nan                 nan  10247.500158945719  1229.9771550284686                 nan                 nan                 nan                 nan                 nan                 nan   4989.999771118164   609.1070972865232                 nan                 nan   779.9999713897705  113.89907617571104 
