                       id              redshift                   FUV               FUV_err                  NUV               NUV_err              u_prime          u_prime_err             g_prime          g_prime_err             r_prime          r_prime_err             i_prime          i_prime_err             z_prime          z_prime_err             J_2mass          J_2mass_err             H_2mass         H_2mass_err            Ks_2mass        Ks_2mass_err               WISE1            WISE1_err               IRAC1           IRAC1_err               IRAC2           IRAC2_err               WISE2            WISE2_err               IRAC3           IRAC3_err               IRAC4           IRAC4_err               IRAS1           IRAS1_err               WISE3            WISE3_err               WISE4            WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err             PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err             PLW_ext         PLW_ext_err 
                 Mrk  279              0.030601    3.8799999747425318    0.5487148586288154    4.335000179708004    0.6130616047032863                  nan                  nan  3.0900000128895044   0.6221583406148079   6.930000148713589   0.9433180908960156   9.879999794065952    1.370636333717822                 nan                  nan  24.056249763816595   3.2537719393997713  37.149999756366014   4.768775980821723  48.742857362542836   6.010712060647441   23.53500015735626   2.7446290752544185                51.9   5.418519078124576                62.6   6.535631874578005  30.099999952316285    3.510233035136042   79.19999999999999   8.268722755057155               113.0  11.797546355068922                 nan                 nan  133.89583115776384   15.614803008024989   359.1666646401087    41.88567087497017   361.0000014305115   38.88089006158192                 nan                 nan              1260.0  140.78295351355575   851.9999980926514  120.49099524444787                 nan                 nan              2200.0  268.54422354614144                 nan                 nan                 nan                 nan   822.0000267028809  116.24835860342604  342.00000762939453   41.74642113709555  131.99999928474426  16.560193178575087                 nan                 nan 
                UGC 11680                 0.026   0.24799998936941847   0.03579161853754161   0.7010000117588788   0.15702869703682185                  nan                  nan                 nan                  nan                 nan                  nan                 nan                  nan                 nan                  nan  16.649999655783176   1.8144489225252571    16.5500002913177  1.9284773555804384  13.599999714642763  1.5393504894792804   2.513999992515892   0.2931802604000322  27.599999999999998  3.7508932269527477                25.0  3.5639304145844375  1.2330000463407487  0.14379127913109863  26.599999999999998  3.7830807551518113                78.5  10.672178784109644  238.50000274181366  30.156798786980875   0.886999987415038  0.10344108514690947  0.6140000041341409  0.07160408975081983                 nan                 nan   505.7500008344651   61.85089393421602  2879.9999594688416   356.6342690851621                 nan                 nan                 nan                 nan   4707.500061988831   590.2538161106698                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                  Z 218-7               0.02734  0.017866666288076278   0.00554997108920207  0.06800000119255856  0.009616652392790295    0.877000013133511  0.08943680360777802  3.4050000831484795  0.35796683592819545   6.624999921768904   0.7317145925937447   7.410000078380108   0.9168865860159217                 nan                  nan  10.910000093281269   1.5912514655688375  15.209999866783619  2.2188827871962813  13.000000268220901   2.186321140424159   9.658958238636453    1.126418416876177                 nan                 nan                 nan                 nan   7.518958323293676   0.8768536856494421                 nan                 nan                 nan                 nan                 nan                 nan   39.80833327248693   4.6424095265168175  156.58333607017994   18.260598003192285   180.9999942779541    19.4942959855437               269.0  28.084424508969384  1374.9999928474429   157.4800695431161                 nan                 nan                 nan                 nan   2359.999961853028   279.3586372379829                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                 Mrk  493               0.03102    0.9840000129770488   0.13915861637274438   1.5449999773409218   0.21849599218216562    2.130000008037314  0.24631078061473166   4.134999995585531   0.4703001625584728  7.0574997225776315    0.845566681699549   6.880000117234886    0.923549701205696  13.000000268220901    1.438749481102042   11.54199989978224   2.8629490056992584   12.47833338048723  3.1362379079857217  14.087500050663948  2.7503775659607768  20.583333364083913   2.4004085336307517               23.75  2.4795727958662557  26.799999999999997   2.798002144388027  24.518181806938216   2.8592867733065597  37.699999999999996  3.9359955538592772                60.4   6.305945131381972                 nan                 nan     67.039999063313    7.818140191373044   153.8888888789548   17.946374164087587               154.0  16.586307605974273  230.33333289623258  41.317365301285754   713.3333311080933   83.46456876322998                 nan                 nan                 nan                 nan   1326.666671435038   234.8546288063781                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                 Mrk  883               0.03787   0.18725000336416997   0.03495176231812806  0.34100000630132854   0.04822468336806497   1.0386000154539943   0.1059168349123537   2.807999961078167  0.28636093191410705   4.690000042319298   0.4845214172997027   7.165000191889703   0.7306895158668328    9.38500021584332   0.9570859847131518   8.872856918190207   1.4663137493186267  11.697856775884118  2.2255108631846174  10.200769067383728  1.9859901505503537   8.893333228596797   1.0889346407052534                 nan                 nan                 nan                 nan  6.4491666583220155   0.7520956109303178                 nan                 nan                 nan                 nan                 nan                 nan    31.0499998233148   3.6210211060940733  172.04761766393977    20.06402764442339                 nan                 nan               217.0  23.736773158961604  1065.0000071525574  126.65899144277745                 nan                 nan                 nan                 nan   1159.999973773956  171.30382188251315                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                NGC  2622               0.02866   0.09434999992663506  0.020633692069127747  0.22325000099954195   0.03157231792133593   1.3500000059138983  0.13767352747010686   5.562499864026904    0.567265907020608   7.300000172108412   0.7495332048200589   10.80000028014183    1.151694430181303  25.499999523162842    2.600499903304281  15.999999642372131   2.6495280723555434   22.19333400328954  3.8295486119778444  20.769231451245453  3.5105000581945998   12.32205121902367   1.4369857580789382                 nan                 nan                 nan                 nan   9.272333224181397    1.081330579663551                 nan                 nan                 nan                 nan                 nan                 nan   34.08095265811398    3.974487909599254   95.23333343636422   11.106019721064046    99.7999981045723  10.748788750896658                 nan                 nan               428.0   60.52834046956847                 nan                 nan                 nan                 nan              1030.0  177.04519197086375                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                NGC   863               0.02609    0.3630000117961317    0.0513359539823683   0.5997500104624778   0.08481745988294419   2.8650000458583236   0.2921738228055163   4.900000058114529   0.5456189198471987  20.250000059604645    2.408448631964577  31.333333502213158    3.476748169106118   48.84999990463257    4.981742055054543  28.500000547085488    4.914519382563428  37.535714650792734  7.5782115545920155  53.223076921242935   7.763179736261275   26.65000003737708    3.107897364311424                 nan                 nan                 nan                 nan  20.522727351703427   2.3933407187761717                 nan                 nan                 nan                 nan               192.0   44.64000448028652   71.78666705886523    8.371692046230379    223.166665718411   26.025481846741528  240.25000339746475  25.875717264199448               221.0  44.218774293279544   510.9999961853027   62.72864147272595   545.0000166893005    77.0746415095572                 nan                 nan              1460.0  216.60101569475614                 nan                 nan                 nan                 nan  1879.9999952316284   265.8721490517923   1189.500018954277  145.19698136281676   544.5000045001507   75.71692491736505  212.49999850988388  28.841159788024655 
                 Mrk  926               0.04702    1.3060000026598573   0.18469629162208684   1.4124999579507858    0.1997576597385428    2.109999923656384  0.21517861568806376   4.742499906569719   0.6613721042020224   7.839999860152602   1.0186049242508821   9.429999627172947   1.3385622621622122   18.89999955892563   1.9274293311571362   11.20266659806172   1.7729064815081725   15.63333353648583   2.789984080056036  17.894999722817115    2.83457422866667   69.22619089512598    8.073091779457148               62.35   6.509531108305729                63.5     6.6295946331582   83.83690471762704    9.776979168424244                83.2   8.686335015413578   88.35000000000001   9.224010800622471                 nan                 nan  114.47083487858376    13.34947863079603   239.9166639695565   27.978850527564976  213.00000077486035     22.940802161848                 nan                 nan                 nan                 nan    606.000006198883   85.70134275646402                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan   712.9999995231628  100.83342692976672  324.99998807907104   42.16930071170214  127.00000405311584   17.00852757574607                 nan                 nan 
          IRAS 15480-0344              0.030128                   nan                   nan                  nan                   nan                  nan                  nan   1.610000035725534  0.18444782771928275   3.590000094845891   0.3726674211813196   5.849999841302633   0.8819438652388305                 nan                  nan    9.22583342374613   2.0093680489218775  11.826666382451853   3.064245298864797  13.060000073164701  2.7505704013252634  19.666666680408845   2.2935077469084177  17.166666666666668  2.7828202770650576                24.6    3.66742416417845  26.283333516617617     3.06513706743145  35.233333333333334  4.8618517982120535                98.9  11.763885412566717               185.0    33.3097583299549  148.77083290119964   17.349511400059274   551.5476155564897    64.32095228053042               562.0   60.52925243219183               729.0   74.38716287102231              1070.0   137.1518866075126                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
                NGC  1142              0.028847    0.7334999972954392   0.10373256441758387   1.2894999817945063     0.182362836293365   3.0125000054202973  0.33615444787937665  11.856666682722667     1.25202064620971   19.56499981507659   2.1933404153572402   34.39999989941717   3.6120215857843685   48.27500048577785    5.174616577031054   63.72099991999566    7.436757316158493   80.74863681747493   9.226009349912605   66.55500013008714   7.618819161854943   38.46666656434536    4.952268621374973               12.45  1.2998181603593637  14.249999999999998  1.4877436775197532   35.06961512218874    4.388351270602291                22.2  2.3177480449781425  36.699999999999996  3.8315924887701716   274.2500021457672   35.12307902456209    177.983334650596    21.97727665523535   440.2556031659302   52.288331111294994    574.999988079071   78.20006306205461   650.2500095367432   76.07117313779491    5305.00009059906   591.5371996091528                 nan                 nan                 nan                 nan  11375.000143051147  1334.9180896208488                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan 
