                       id             redshift                   FUV               FUV_err                   NUV               NUV_err               u_prime           u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime           z_prime_err              J_2mass          J_2mass_err              H_2mass           H_2mass_err            Ks_2mass         Ks_2mass_err                WISE1            WISE1_err                IRAC1            IRAC1_err               IRAC2            IRAC2_err               WISE2            WISE2_err                IRAC3            IRAC3_err               IRAC4            IRAC4_err               IRAS1           IRAS1_err               WISE3           WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err            PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err            PLW_ext         PLW_ext_err 
             LEDA   45656              0.15434    1.5462500450666994   0.21867277845533356    1.3824999914504588    0.1955150237889927    2.2646428385217274     0.236031930926575    2.052884589200123   0.21193949879974355    2.071785698977432   0.21377081170547427   3.2339285743156716   0.33080649975892745   2.3884615466858334    0.2435762406803414    3.440000031045393   0.5514852760350775    4.307368549665338     0.774166818005571   7.202500069979578    1.108855285886292    9.212222084469266   1.0743204763834358    9.669999592006207   1.0095775968158476  12.600000016391277   1.3154786218340289  13.189999919136365    1.538205100429951                  nan                  nan                 nan                  nan                 nan                 nan   30.40666672637065    3.54599621928121   73.09285679374422   8.575549830558797   68.77499975363413   7.407294165679095                 nan                 nan                 nan                 nan   51.30000039935112   7.254915631450755   86.30000054836273   12.61415478525906                 nan                 nan   54.20000106096268   7.665037658104956                 nan                 nan   44.70000043511391   7.482038518277745                nan                 nan                 nan                 nan                nan                 nan 
  2MASS J22255427+1958370                0.147                   nan                   nan                   nan                   nan                   nan                   nan  0.18843185293552064  0.023489479650473762   0.5004750020662284   0.05216926571043986   0.7952741355552462    0.1637241834764096   1.0672200098399895   0.15466928352397827   1.1899999735760503   0.3785643864442514                  nan                   nan     2.5433332969745    0.584624200425711    4.721111143222078   0.5505714393269209                  nan                  nan                 nan                  nan    7.93708336810892   0.9256150260963966                  nan                  nan                 nan                  nan                 nan                 nan   19.44999982143442   2.268240266270676   45.70833320568006   5.330461842317611   43.69999999205272   4.706634040579608                 nan                 nan                 nan                 nan                 nan                 nan  166.99999570846558   17.98644999361684                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
             LEDA   90196               0.1622                   nan                   nan                   nan                   nan   0.08893749998151179  0.017639693839516322                  nan                   nan   0.4581640460277203   0.04910308491561237                  nan                   nan                  nan                   nan    1.254166631648938  0.30843047599065904   1.7425000260118395    0.5174582640396447  2.5518182665109634   0.5036047556955878    3.453295478513041  0.40271999627792654                4.055   0.4233544289363228                 nan                  nan   6.488000032939016   0.7566243217164426    9.905000000000001     1.03411235970759                 nan                  nan                 nan                 nan   32.18749999925494   3.753675282219774   151.7500008493662  17.696939099907755                 nan                 nan               167.0  23.901882771028728              1870.0  209.07235589623033                 nan                 nan                 nan                 nan              2040.0   274.7216773390844                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
  2MASX J10032788+5541535                0.146                   nan                   nan  0.014000000192027073  0.004222558607036329  0.035742857107834425  0.004779698522491583  0.12220713844206851  0.012462731672328847  0.28985714379814453  0.029559744647620175   0.4149285762520906   0.04231457814113364  0.49978571665373506  0.050969183208032474                  nan                  nan                  nan                   nan                 nan                  nan   0.7042499941557181  0.08212895675734153                  nan                  nan                 nan                  nan  0.6773333324394966   0.0789899615645993                  nan                  nan                 nan                  nan                 nan                 nan   2.324999987327804  0.3190826722403664   8.910833266749979  1.7743872047918132   8.194166736590365  0.8825387666735723                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
             LEDA   29208              0.16012    0.5399999907240272   0.07636753105632647     0.626999995438382   0.08867118971568286    0.8841666577306265   0.09225647293043418   0.9740000265689257   0.10149758866278777   1.0100000072270632   0.11552488993319437    1.378500001737848   0.14151898298109028   1.2025714199158497    0.1231778396546237    1.504000014392659  0.39461395054270293    2.188000059686601   0.48163620590488027  3.8705881520667496   0.7025059087948068    9.037105191365669    1.053898512790199    9.449999779462814   0.9866089420672888  12.299999594688416   1.2841576582802259  13.016666829880949   1.5179911623252857                  nan                  nan                 nan                  nan                31.0   6.753517601961218  22.312500210199502   2.602062307587979   38.05666647056738   4.922131139734121   36.36666696270307  3.9168099016065923                 nan                 nan                 nan                 nan   40.19999876618385    5.68513834625189  38.099999722838405   5.700054805771859                 nan                 nan   41.70000180602074   5.897270810505709                 nan                 nan   38.80000114440918   9.071626143534662                nan                 nan                 nan                 nan                nan                 nan 
 SDSS J143417.15+020742.3              0.18029   0.04054999953950755  0.007907782338761646   0.06442500125558581  0.009111071053155314    0.0919666660289901  0.010171463882081544  0.13514999591279775  0.013782649328426816  0.22149999737545537   0.02288279897625067  0.30966666963649914  0.031579927823715985  0.27999999292660505   0.03187475417848905  0.20300000323913991  0.02070201955551546  0.24900000425986946  0.025393117612115216  0.3020000003743917  0.03079807790028103  0.42286666723904714  0.04931430389208878  0.34750000000000003  0.04027669921927565               0.293  0.03798131119379635   0.415666665261567  0.05004890384179597  0.47150000000000003  0.09823121957911345  1.7850000000000001  0.18803895872930165                 nan                 nan  1.9879166630997012  0.2621662177758672   6.725833370362718  1.5310513999903748    5.56499990016222  0.5993688322812123                 nan                 nan                 nan                 nan                 nan                 nan                76.0   9.682974749528164                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan  50.25000052452087  10.860622246840911                 nan                 nan                nan                 nan 
             LEDA 3096524              0.17078                   nan                   nan  0.025950000235752668  0.008127362925147347   0.10939999992842786  0.011616092233016672  0.23043565806728905  0.024686198983399615   0.5460936986331979    0.1234460726762042   0.8053846182659841   0.08362681275135415    0.988564984263226   0.10323084553477155   1.4799999840119307  0.27659355625605153   2.3611763711361324   0.39057847954683317   4.518666708221039   0.6501411397288085   12.475000068483254   1.4548225057503537                  nan                  nan                 nan                  nan  18.683333331967393   2.1788323578812325                  nan                  nan                 nan                  nan                 nan                 nan  53.830303117000696   6.277638159203442  143.01515216538402  16.678289450206698               135.5  14.593796627334505               163.0   24.13565826738521               277.0   49.89529035891063                 nan                 nan  268.99999380111694  28.972185994743494                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
 SDSS J161647.32+371621.2              0.15185  0.043333332238641255  0.009091081504746542   0.06386666548981641  0.009555077862341157   0.17299999308306724  0.017642606811639535    0.375333498936925   0.03877424867557059   0.8194399939384311   0.08356681038620828    0.335742500624292   0.06097729607609235    1.241790998090014   0.12663833062129684   1.2919999891892076  0.34451799241260117    1.584000000730157    0.3933072356607901  1.6911110788997676   0.5029896182949634   1.5677666697585178  0.18283144067407472                  nan                  nan                 nan                  nan   2.749649984644493  0.32066153576248313                  nan                  nan                 nan                  nan                 nan                 nan   22.03571467506034    2.56978384477627   99.86666672627132  11.646354591588716                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
          IRAS 13342+3932             0.178992                   nan                   nan                   nan                   nan   0.16308333215420134   0.01696206746995943   0.2996583357344207   0.03236033367185692   0.6034608348954862  0.062476714445080586   1.2101999949663877    0.1284205594761853   1.4404624904879406    0.1468989269519294   1.8835000577382743   0.4374651391959521    3.146500082220882    0.6512331490636208  5.3737501439172775   0.8569550426763062   11.622940536230313    1.355456142868128                10.95   1.1432135627257052                 nan                  nan  15.838964323892393   1.8471247807357494                 17.8   1.8583745585860783                 nan                  nan                 nan                 nan   57.49583336363236   6.705108769947635   183.0606046571876   21.34835159194709                 nan                 nan                 nan                 nan              1110.0   174.0028735394907                 nan                 nan                 nan                 nan              1630.0   230.5168106668145                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
                 Ton  182                0.164    1.5580000123009086    0.2203344747573394     1.805999968200922   0.25540696486751224       2.9649999535953   0.31853139215820275   2.5858333489547176   0.26370429410438173    2.323749994199413   0.24279238004218326   2.9550000714759035    0.3013520605424741    2.404166608660792   0.24601863936900698   2.7381249819882214  0.48236219763061855     4.66000015148893     0.702677744303056    9.15533322840929   1.2043675748076883   19.109091180562977   2.2284838285615063    20.19999921321869   2.1089418326575506  26.799999177455902   2.7980020585119023  27.975757653785475    3.262505942021467                  nan                  nan                 nan                  nan                 nan                 nan    56.0878787144567   6.540914453358294    110.116666529576  12.841699707093586  100.23333333333332   10.82235492862395                 nan                 nan               259.0   88.39513561277002   254.0000081062317   35.92102563067089   243.5000034570694  26.225752983082806                 nan                 nan  259.99999046325684   36.76955127300132  136.30000220537187  22.172886731588285  166.99999570846558    30.0647631899251   72.9999989271164  12.381033819257176                 nan                 nan                nan                 nan 
