                       id  redshift                   FUV               FUV_err                   NUV               NUV_err              u_prime           u_prime_err              g_prime           g_prime_err              r_prime           r_prime_err              i_prime           i_prime_err              z_prime          z_prime_err             J_2mass          J_2mass_err             H_2mass          H_2mass_err            Ks_2mass         Ks_2mass_err               WISE1            WISE1_err               IRAC1            IRAC1_err               IRAC2            IRAC2_err               WISE2            WISE2_err  IRAC3            IRAC3_err               IRAC4           IRAC4_err               IRAS1          IRAS1_err               WISE3           WISE3_err               WISE4           WISE4_err               MIPS1           MIPS1_err               IRAS2           IRAS2_err               IRAS3           IRAS3_err           PACS_blue       PACS_blue_err               MIPS2           MIPS2_err               IRAS4           IRAS4_err          PACS_green      PACS_green_err               MIPS3           MIPS3_err            PACS_red        PACS_red_err            PSW_ext         PSW_ext_err             PMW_ext         PMW_ext_err            PLW_ext         PLW_ext_err 
             LEDA   45656   0.15434    1.5462500450666994   0.21867277845533356    1.3824999914504588    0.1955150237889927    2.259999979287386    0.2304756799021134    2.054999931715429   0.21173154507451694   2.0650000078603625   0.21058950671298485   3.2500000670552254   0.33143627522184904    2.409999957308173  0.24577273620144308   3.440555586065683   0.5441270260908115   4.307777905422781   0.7631968978084797   7.200666734327872   1.0923350884916223   9.212222084469266   1.0743204763834358   9.669999592006207   1.0095775968158476  12.600000016391277   1.3154786218340289  13.189999919136365    1.538205100429951    nan                  nan                 nan                 nan                 nan                nan   30.40666672637065    3.54599621928121   73.09285679374422   8.575549830558797   68.77499975363413   7.407294165679095                 nan                 nan                 nan                 nan   51.30000039935112   7.254915631450755   86.30000054836273   12.61415478525906                 nan                 nan   54.20000106096268   7.665037658104956                 nan                 nan   44.70000043511391   7.482038518277745                nan                 nan                 nan                 nan                nan                 nan 
  2MASX J10032788+5541535     0.146                   nan                   nan  0.014000000192027073  0.004222558607036329  0.03730000025825575  0.004330461891375883  0.13299999409355223  0.013563391303814959  0.31800000579096377  0.032429764697014855   0.4560000088531524  0.046503058866814134   0.5510000046342611  0.05619119551239625                 nan                  nan                 nan                  nan                 nan                  nan  0.7042499941557181  0.08212895675734153                 nan                  nan                 nan                  nan  0.6773333324394966   0.0789899615645993    nan                  nan                 nan                 nan                 nan                nan   2.324999987327804  0.3190826722403664   8.910833266749979  1.7743872047918132   8.194166736590365  0.8825387666735723                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
             LEDA   29208   0.16012    0.5366666591726243   0.07589612678753847    0.6333333294605836    0.0895668584026065   0.8959999831859022   0.09137442796887445   0.9850000496953726   0.10045068948573134                  nan                   nan    1.394999970216304   0.14226264139188577    1.229999994393438  0.12543587946262313   1.504210540779719   0.3883638712831132  2.1868421647109484   0.4748923874394383  3.8706249179085717   0.6921830737978482   9.037105191365669    1.053898512790199   9.449999779462814   0.9866089420672888  12.299999594688416   1.2841576582802259  13.016666829880949   1.5179911623252857    nan                  nan                 nan                 nan                31.0  6.753517601961218  22.312500210199502   2.602062307587979   38.05666647056738   4.922131139734121   36.36666696270307  3.9168099016065923                 nan                 nan                 nan                 nan   40.19999876618385    5.68513834625189  38.099999722838405   5.700054805771859                 nan                 nan   41.70000180602074   5.897270810505709                 nan                 nan   38.80000114440918   9.071626143534662                nan                 nan                 nan                 nan                nan                 nan 
             LEDA 3096524   0.17078                   nan                   nan  0.025880000248434953  0.008969823873693727  0.10939999992842786  0.011616092233016672  0.27700000888823223  0.031627362098195555   0.6710000161547214    0.2300248000433841                  nan                   nan    1.134999969508499  0.11574773984902104   1.479999984439928  0.27203675784239056   2.360624901484698   0.3842206404842318   4.517857184899705   0.6389134021923607  12.475000068483254   1.4548225057503537                 nan                  nan                 nan                  nan  18.683333331967393   2.1788323578812325    nan                  nan                 nan                 nan                 nan                nan  53.830303117000696   6.277638159203442  143.01515216538402  16.678289450206698               135.5  14.593796627334505               163.0   24.13565826738521               277.0   49.89529035891063                 nan                 nan  268.99999380111694  28.972185994743494                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
 SDSS J161647.32+371621.2   0.15185  0.043333332238641255  0.009091081504746542   0.06386666548981641  0.009555077862341157  0.17299999308306724  0.017642606811639535                  nan                   nan                  nan                   nan                  nan                   nan   1.3200000394135714   0.1346141191782609   1.309999989138709   0.3380251659151973   1.593333332695895  0.38325856053816787  1.7062499682651833   0.4934702461975699   1.551222223917074   0.1809020433175081                 nan                  nan                 nan                  nan    2.73238887363191  0.31864856160316407    nan                  nan                 nan                 nan                 nan                nan  22.041667045901217  2.5704780045369384   99.86666672627132  11.646354591588716                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
                 Ton  182     0.164    1.5580000123009086    0.2203344747573394     1.805999968200922   0.25540696486751224   2.9899999499320984    0.3049213618069044    2.580000029411167      0.26310940990075   2.3374999582301825     0.263323107538749   3.0700000934302807    0.3130798076626535   2.4999999441206455  0.25495096998104083   2.740714266630156   0.4654193419471468   4.658571577497891    0.683463877187897    9.15461527900054   1.1722925531672292  19.075000303983686    2.224508183333767   20.19999921321869   2.1089418326575506  26.799999177455902   2.7980020585119023  27.936666777233285    3.257947201607404    nan                  nan                 nan                 nan                 nan                nan    56.1533331995209  6.5485476924325186  110.06666651103232  12.835868753036195  100.23333333333332   10.82235492862395                 nan                 nan               259.0   88.39513561277002   254.0000081062317   35.92102563067089   243.5000034570694  26.225752983082806                 nan                 nan  259.99999046325684   36.76955127300132  136.30000220537187  22.172886731588285  166.99999570846558    30.0647631899251   72.9999989271164  12.381033819257176                 nan                 nan                nan                 nan 
    2XMM J094506.4+035552   0.15591                   nan                   nan   0.03735000063898042   0.00728149887298751  0.08569999772589654  0.009183403296283286  0.20900000527035445  0.021313902104290645   0.4290000069886446   0.04383389168169501   0.5709999823011458  0.058230801040293545   0.6510000093840063  0.06638923502396268                 nan                  nan                 nan                  nan                 nan                  nan  0.8288166603238011  0.09665580151988845                 nan                  nan                 nan                  nan  1.0784666585053009  0.12576974411877928    nan                  nan                 nan                 nan                 nan                nan   5.414444412150316  0.6481044190394278   19.11874994598329   2.886354297794235  17.683333455522856  1.9045532999501174                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
                 Mrk 1014   0.16349    0.8897499938029796    0.1258296508357551    1.1000000328446429   0.15556349650597442    1.802499988116324   0.18381965225311797    1.799999998183921   0.19467922512528463    2.124999969964847   0.24053326062776517   2.6550000184215605   0.34567361517493606    2.674999996088445   0.2727975435783121   4.187727283517068   1.0928269154284096   6.443181837146932   1.7067648341835178  11.302222083840105   2.0120393613567407  14.143156235478818    1.649361273007167  18.766667122642197   2.0005710712058185  22.666666666666668   2.5462557391349714  20.288133354888608    2.365982592571237   28.2   2.9441664355127752                46.4   4.844302220134495                 nan                nan   85.81071357386452  10.007162858231053  453.98213918719966    52.9429602943905   232.5000036507845  25.041016746376965   578.4999935626985    130.581856689384   2328.333290417989   321.6342792904646   2369.999885559082   335.1685980980337                 nan                 nan    2211.66664759318  309.12933151152214  2089.9999141693115   295.5706223976845                 nan                 nan  1289.9999618530273  182.43354415133265  472.9999899864197   57.73700684010716  180.99999924500784  24.670021821511316                nan                 nan 
             LEDA 2816291   0.14671   0.07060000098135788   0.01149667741157564   0.09657499867898878  0.013657767291798966   0.1449999981559813  0.014807092714383395  0.21399999968707561   0.02182380348626497   0.2739999908953905  0.027942626005996833  0.38899999344721437  0.039670371147496226  0.37299998803064227   0.0380386843507624                 nan                  nan  0.5508750255103223  0.17979052051321864                 nan                  nan  0.5617769140088931  0.06551388322441001               0.655  0.06937650899259779  0.9974999999999999  0.10414205742638273   1.044791680163568  0.12184260054336724   2.75  0.29337234020950237  11.950000000000001  1.2476166278148109                 nan                nan  10.637500150832865  1.2405350332183214   39.58472273217307   4.616332280441808  44.325000384449964   4.773948642931266                 nan                 nan               480.0   74.97839688870388                 nan                 nan               477.0   51.37447226006317                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                nan                 nan                 nan                 nan                nan                 nan 
  2MASS J13234951+6541480    0.1678                   nan                   nan                   nan                   nan    1.230000052601099    0.1254358853986631   1.2600000482052565   0.12849529665852905   1.5799999819137156    0.1739655126445567   1.9474999862723053    0.3760685526277474   1.5700000027815502  0.16046495014925588  1.8783333556105692  0.36232768453682246  2.6616666776438556   0.5327707712408684   4.899090875617482   0.7060530873217571   7.600384548117335   0.8863495336479543   7.969999685883522   0.8320923959654477  10.700000450015068   1.1171128434363813  11.211666522050898    1.307493763022526    nan                  nan                 nan                 nan                 nan                nan  21.523333504547676  2.5100304456345923    46.7555558025837   5.452587934032413   44.18333321114382  4.7586906214109765                 nan                 nan                 nan                 nan   83.89999717473984  11.865251388758145  131.50000298023224  14.770663757530022               100.0   34.48187929913333   78.10000330209732  11.045008389120953                92.3   19.08095647497787   67.00000166893005  13.743725922629798                nan                 nan                 nan                 nan                nan                 nan 
