Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.1200000850949436e-05 8.909546e-06
GALEX:NUV 0.23119646641474512 5.980000059935264e-05 8.132036e-06
SDSS:g' 0.48199694202385923 0.0010999999940395355 5e-05
SDSS:r' 0.6246977662012919 0.0023799999617040157 9e-05
SDSS:i' 0.7634912086792645 0.0037899999879300594 0.00016
SDSS:u 0.3519021246126397 0.00044585714100061784 2.238303e-05
SDSS:g 0.48199694202385923 0.0016043333380366676 2.7e-05
SDSS:r 0.6246977662012919 0.0034501249610912055 4.1521078e-05
SDSS:i 0.7634912086792645 0.005435749983007554 5.351635e-05
SDSS:z 0.9017941824088558 0.007280500103661325 9.818859e-05
2MASS:J 1.239016606050587 0.003978181799704378 0.0006708949
2MASS:H 1.649477072902339 0.005174545634707267 0.0008724677
2MASS:Ks 2.1637853338145083 0.004741000244393945 0.0010060815
WISE:W1 3.3500107051067167 0.005709999918260358 0.00038832973
WISE:W2 4.600019302768061 0.007574545431204818 0.0004521062
WISE:W3 11.559823320737255 0.03518749866634607 0.001532971
WISE:W4 22.09066818952177 0.11175000201910734 0.008185353
Spitzer/MIPS:24 23.674678828081813 0.09759999811649323 0.0003
"W1 (WISE)" 3.364789264408224 0.0062050000000000004 0.00018587630295441106
"W2 (WISE)" 4.60334111987928 0.007872500000000001 0.00022895032212250763
"W3 (WISE)" 11.679173363783782 0.037025 0.0009198864060306576
"W4 (WISE)" 22.043563088235295 0.10695 0.004058263175300488
"3.6 microns (IRAC)" 3.5520433412322276 0.00577 2.0223748416156684e-06
"4.5 microns (IRAC)" 4.494639550224888 0.009045000000000001 2.823349075123372e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0131 7.058987179475538e-06
"8.0 microns (IRAC)" 7.86856845144357 0.022949999999999998 6.317372871692789e-06
"24 microns (MIPS)" 23.60570535433071 0.10250000000000001 0.00010651206504429439
