Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001806666647704939 2.657066e-05
GALEX:NUV 0.23119646641474512 0.0002916666562668979 1.9052559e-05
SDSS:u 0.3519021246126397 0.0002902857169309365 1.0583005e-05
SDSS:g 0.48199694202385923 0.0004091428584485714 1.6431675e-05
SDSS:r 0.6246977662012919 0.0003729999963460224 2.2045408e-05
SDSS:i 0.7634912086792643 0.00045071428758092225 8.888194e-06
SDSS:z 0.9017941824088558 0.0006768571329303086 2.1587033e-05
2MASS:J 1.239016606050587 0.0004539090838410299 0.00015558278
2MASS:H 1.649477072902339 0.0006942727380770851 0.00023459329
2MASS:Ks 2.1637853338145083 0.0010164444101974368 0.00026837474
:=3.6um 3.599986286565157 0.0047900001518428326 0.0001
:=4.5um 4.499969349004068 0.006899999920278788 0.00013
WISE:W1 3.3500107051067167 0.004504166776314378 0.00030298517
WISE:W2 4.600019302768061 0.007280833243081967 0.0004597826
WISE:W3 11.559823320737255 0.014300000108778476 0.0009219545
WISE:W4 22.09066818952177 0.03562222172816595 0.004104875
"W1 (WISE)" 3.364789264408224 0.004665000000000001 0.00014357144562899684
"W2 (WISE)" 4.60334111987928 0.0073975 0.00021280592097025873
"W3 (WISE)" 11.679173363783782 0.015225 0.0004952696235385328
"W4 (WISE)" 22.043563088235295 0.034725 0.002467128898132402
"3.6 microns (IRAC)" 3.5520433412322276 0.005203333333333333 0.000108665587929206
"4.5 microns (IRAC)" 4.494639550224888 0.0069299999999999995 0.00011316717722025233
"5.8 microns (IRAC)" 5.732169369024856 0.009016666666666666 0.000336982195375364
"8.0 microns (IRAC)" 7.868568451443569 0.011133333333333334 0.00022315985302020613
"24 microns (MIPS)" 23.60570535433071 0.034175 0.002384218496698656
"70 microns (MIPS)" 71.37915666666667 0.034 0.01124364709513777
"160 microns (MIPS)" 156.14190520833333 0.0152 0.00758
