Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.009449999779462814 0.00051
SDSS:r' 0.6246977662012919 0.008679999969899654 0.00019
SDSS:i' 0.7634912086792645 0.014999999664723873 0.0003
2MASS:J 1.239016606050587 0.010241666963944832 0.0006928203
2MASS:H 1.6494770729023385 0.01525833341293037 0.0010392305
2MASS:Ks 2.1637853338145083 0.028890908441760323 0.0018330304
WISE:W1 3.3500107051067167 0.06272500070432822 0.0042201895
WISE:W2 4.600019302768061 0.0862500003228585 0.0051283524
WISE:W3 11.559823320737255 0.1240000029404958 0.0060000005
WISE:W4 22.09066818952177 0.21610000282526015 0.012041596
Spitzer/MIPS:70 71.41996807699637 0.12300000339746475 0.006
Herschel/PACS:70 69.99917297095358 0.11900000274181366 0.004
Herschel/PACS:100 100.00081990726842 0.07819999754428864 0.0035
Herschel/PACS:160 160.0002444361424 0.04500000178813934 0.013
:=1.4GHz 214137.47000000003 0.0024900001008063555 0.00044
"2-10 keV (XMM)" 0.0002067534193103448 7.415e-07 3.467207089286707e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 2.585e-06 1.346337624817787e-07
"W1 (WISE)" 3.3533831991051453 0.06283333333333334 0.00141928503127455
"W2 (WISE)" 4.60510688172043 0.0861 0.001722960533500405
"W3 (WISE)" 11.574998378378377 0.12866666666666668 0.002104203887459578
"W4 (WISE)" 22.0435630882353 0.19999999999999998 0.004773300744767712
"12 microns (IRAS)" 11.99169832 0.16549999999999998 0.032617326683834776
"25 microns (IRAS)" 24.982704833333333 0.2095 0.031852943349084714
"60 microns (IRAS)" 59.958491599999995 0.17633333333333334 0.06761131562098167
"100 microns (IRAS)" 99.93081933333333 0.121 0.036
"24 microns (MIPS)" 23.60570535433071 0.18899999999999997 0.019000337703314645
"70 microns (MIPS)" 71.37915666666667 0.11 0.022
"160 microns (MIPS)" 156.14190520833333 0.033 0.0066
1.4GHz 214137.47 0.0036 0.0005
