Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.925999914528803e-05 1.36850285e-05
GALEX:NUV 0.23119646641474514 0.0001286000042455271 1.1661904e-05
SDSS:u' 0.3519021246126397 0.0003330000035930425 3e-06
SDSS:z' 0.9017941824088558 0.0016899999463930726 2e-05
2MASS:J 1.239016606050587 0.0017892307727239453 0.00038884446
2MASS:H 1.6494770729023385 0.0019353846034321648 0.0006153048
2MASS:Ks 2.163785333814508 0.00218250002944842 0.0005680669
WISE:W1 3.3500107051067167 0.001803636381571943 0.00012806249
WISE:W2 4.600019302768061 0.001654166670050472 0.00013747727
WISE:W3 11.559823320737255 0.025729999504983427 0.0014933185
WISE:W4 22.09066818952177 0.1141000010073185 0.009486834
IRAS:12 11.59021333024047 0.10599999874830246 0.029
IRAS:25 23.880234028994742 0.17900000512599945 0.045
IRAS:60 61.84986032885642 0.3919999897480011 0.051
IRAS:100 101.94941780588996 2.1600000858306885 0.54
Spitzer/MIPS:24 23.674678828081813 0.10899999737739563 0.001
:=1.4GHz 214137.47 0.0035700000589713454 0.0005220153
"W1 (WISE)" 3.3533831991051453 0.0019066666666666668 5.517263814609558e-05
"W2 (WISE)" 4.60510688172043 0.0017200000000000002 7.697395663469561e-05
"W3 (WISE)" 11.574998378378377 0.02683333333333333 0.0007426600837529912
"W4 (WISE)" 22.0435630882353 0.10713333333333334 0.004202261296016706
"3.6 microns (IRAC)" 3.5520433412322276 0.00164 2.5540947515705053e-05
"4.5 microns (IRAC)" 4.494639550224888 0.0016099999999999999 2.946082144136514e-05
"5.8 microns (IRAC)" 5.732169369024856 0.002 9.556610277708304e-05
"8.0 microns (IRAC)" 7.86856845144357 0.0126 8.372908694115803e-05
"25 microns (IRAS)" 24.982704833333333 0.179 0.0265
"60 microns (IRAS)" 59.958491599999995 0.392 0.051
"24 microns (MIPS)" 23.60570535433071 0.1065 0.0001513481086766531
"70 microns (MIPS)" 71.37915666666667 0.421 0.006
1.4GHz 214137.47 0.0043 0.0005
