Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 7.235000036113585e-06 3.683748e-06
SDSS:u' 0.3519021246126397 4.633333446690813e-05 2.9444864e-06
SDSS:g' 0.48199694202385923 0.00020600000182942799 2.4494898e-06
SDSS:r' 0.6246977662012919 0.000530666671693325 5.7445627e-06
SDSS:z' 0.9017941824088558 0.001213333336636424 1.7320508e-05
2MASS:J 1.239016606050587 0.0018716666963882744 0.0002523886
2MASS:H 1.6494770729023382 0.0033377776853740215 0.0004106093
2MASS:Ks 2.1637853338145083 0.006243750132853165 0.0005529015
:=3.6um 3.599986286565157 0.01209999993443489 0.0002
:=4.5um 4.499969349004068 0.015699999406933784 0.0003
WISE:W1 3.3500107051067163 0.010839666726921375 0.00074838556
WISE:W2 4.600019302768061 0.015494199915944288 0.0010863444
WISE:W3 11.559823320737253 0.031942929340792556 0.0018350001
WISE:W4 22.09066818952177 0.09000999906745094 0.009691548
Spitzer/MIPS:24 23.674678828081813 0.09533333281675975 0.0008124038
Spitzer/MIPS:70 71.41996807699637 0.20499999821186066 0.011
Spitzer/MIPS:160 155.8983140925637 0.18199999630451202 0.033
:=1.4GHz 214137.47 0.007633333249638478 0.0011267654
"2-10 keV (XMM)" 0.00020675341931034483 8e-08 4.14e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 2.01e-07 4.97e-09
"W1 (WISE)" 3.3533831991051453 0.011433333333333332 0.00025218344513468764
"W2 (WISE)" 4.60510688172043 0.0164 0.0003306041137070136
"W3 (WISE)" 11.574998378378377 0.036033333333333334 0.0007569768820776498
"W4 (WISE)" 22.0435630882353 0.0914 0.004144984921564854
"60 microns (IRAS)" 59.958491599999995 0.26 0.039
"24 microns (MIPS)" 23.60570535433071 0.0906 0.00010751413860511556
1.4GHz 214137.47 0.0081 0.0009
